ENLIGHTEN Version,1.7.2
Measurement ID,20190716-221529-871210-WP-00438
Serial Number,WP-00438
Label,acetone 2mm HDPE
Integration Time,2000
Timestamp,2019-07-16 22:15:29.871210
Note,
Temperature,-99
CCD C0,807.1400146484375
CCD C1,0.11761099845170975
CCD C2,-1.6414700439781882e-05
CCD C3,2.3293600381890656e-09
CCD Offset,0
CCD Gain,8.0
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1952

Wavenumber,Processed
349.43,0.00
351.23,0.00
353.04,0.00
354.84,6640.00
356.64,5515.00
358.44,6746.00
360.24,5685.00
362.04,6742.00
363.84,5761.00
365.64,6824.00
367.43,5866.00
369.23,6990.00
371.02,5574.00
372.81,6715.00
374.60,5963.00
376.39,6762.00
378.18,5948.00
379.97,6923.00
381.76,5683.00
383.55,6656.00
385.33,5639.00
387.11,6623.00
388.90,5858.00
390.68,6602.00
392.46,5630.00
394.24,6668.00
396.02,5708.00
397.80,6629.00
399.58,5698.00
401.35,6504.00
403.13,5566.00
404.90,6467.00
406.68,5360.00
408.45,6509.00
410.22,5713.00
411.99,6489.00
413.76,5522.00
415.53,6542.00
417.30,5498.00
419.06,6692.00
420.83,5683.00
422.59,6668.00
424.35,5618.00
426.12,6482.00
427.88,5557.00
429.64,6703.00
431.40,5691.00
433.16,6586.00
434.91,5633.00
436.67,6384.00
438.43,5736.00
440.18,6879.00
441.93,5497.00
443.69,6474.00
445.44,5767.00
447.19,6507.00
448.94,5464.00
450.69,6266.00
452.43,5581.00
454.18,6446.00
455.92,5543.00
457.67,6280.00
459.41,5247.00
461.16,6070.00
462.90,5295.00
464.64,6289.00
466.38,5337.00
468.12,6333.00
469.85,5209.00
471.59,6367.00
473.33,5147.00
475.06,6169.00
476.80,5243.00
478.53,6044.00
480.26,5185.00
481.99,5980.00
483.72,5208.00
485.45,6037.00
487.18,5065.00
488.91,6019.00
490.63,5206.00
492.36,5999.00
494.08,5069.00
495.80,6053.00
497.53,5172.00
499.25,5864.00
500.97,4978.00
502.69,5924.00
504.41,4808.00
506.12,5910.00
507.84,5091.00
509.56,5737.00
511.27,4840.00
512.98,5793.00
514.70,4922.00
516.41,5840.00
518.12,4844.00
519.83,5798.00
521.54,4929.00
523.25,5841.00
524.95,4927.00
526.66,5758.00
528.36,4949.00
530.07,5886.00
531.77,4993.00
533.47,5712.00
535.18,4899.00
536.88,5723.00
538.58,4800.00
540.27,5840.00
541.97,4726.00
543.67,5806.00
545.36,4817.00
547.06,5369.00
548.75,4726.00
550.45,5625.00
552.14,4648.00
553.83,5608.00
555.52,4718.00
557.21,5416.00
558.90,4476.00
560.58,5658.00
562.27,4449.00
563.96,5495.00
565.64,4472.00
567.32,5399.00
569.01,4867.00
570.69,5264.00
572.37,4443.00
574.05,5091.00
575.73,4436.00
577.41,5333.00
579.08,4506.00
580.76,5077.00
582.44,4390.00
584.11,5196.00
585.78,4552.00
587.46,5180.00
589.13,4422.00
590.80,5491.00
592.47,4464.00
594.14,5165.00
595.81,4517.00
597.47,5209.00
599.14,4536.00
600.80,5303.00
602.47,4299.00
604.13,5241.00
605.79,4314.00
607.46,5207.00
609.12,4347.00
610.78,5023.00
612.44,4400.00
614.09,5047.00
615.75,4433.00
617.41,5222.00
619.06,4403.00
620.72,5179.00
622.37,4176.00
624.02,4932.00
625.67,4421.00
627.33,5316.00
628.97,4364.00
630.62,4890.00
632.27,4515.00
633.92,5120.00
635.57,4284.00
637.21,4984.00
638.86,4402.00
640.50,4953.00
642.14,4359.00
643.78,5128.00
645.42,4315.00
647.06,5176.00
648.70,4292.00
650.34,4907.00
651.98,4247.00
653.62,4807.00
655.25,4229.00
656.89,4880.00
658.52,4153.00
660.15,4805.00
661.79,4067.00
663.42,4645.00
665.05,4177.00
666.68,4924.00
668.31,4129.00
669.93,4701.00
671.56,4042.00
673.19,4756.00
674.81,4062.00
676.43,4801.00
678.06,4093.00
679.68,4455.00
681.30,4055.00
682.92,4640.00
684.54,4083.00
686.16,4567.00
687.78,4003.00
689.40,4761.00
691.01,3992.00
692.63,4754.00
694.24,3962.00
695.86,4523.00
697.47,4090.00
699.08,4445.00
700.69,3965.00
702.30,4700.00
703.91,4024.00
705.52,4517.00
707.13,3971.00
708.74,4762.00
710.34,4077.00
711.95,4806.00
713.55,4064.00
715.15,4678.00
716.76,4119.00
718.36,4761.00
719.96,3839.00
721.56,4539.00
723.16,4023.00
724.76,4544.00
726.35,3965.00
727.95,4608.00
729.55,3971.00
731.14,4619.00
732.73,4098.00
734.33,4674.00
735.92,3913.00
737.51,4880.00
739.10,4029.00
740.69,4840.00
742.28,4002.00
743.87,4703.00
745.46,3846.00
747.04,4629.00
748.63,4042.00
750.21,4694.00
751.80,4014.00
753.38,4995.00
754.96,4059.00
756.54,4890.00
758.12,4224.00
759.70,4914.00
761.28,4318.00
762.86,5328.00
764.44,4571.00
766.01,5202.00
767.59,4718.00
769.16,5553.00
770.74,4989.00
772.31,5756.00
773.88,5133.00
775.45,5940.00
777.02,5221.00
778.59,6242.00
780.16,5538.00
781.73,6283.00
783.30,5674.00
784.86,6336.00
786.43,5623.00
787.99,5942.00
789.56,5474.00
791.12,6235.00
792.68,5348.00
794.24,5824.00
795.80,5227.00
797.36,6006.00
798.92,4939.00
800.48,5621.00
802.04,4989.00
803.59,5720.00
805.15,4918.00
806.70,5634.00
808.26,4670.00
809.81,5397.00
811.36,4551.00
812.91,5489.00
814.46,4745.00
816.01,5252.00
817.56,4693.00
819.11,5360.00
820.66,4663.00
822.20,5346.00
823.75,4704.00
825.30,5393.00
826.84,4494.00
828.38,5277.00
829.93,4580.00
831.47,5434.00
833.01,4566.00
834.55,5651.00
836.09,4567.00
837.63,5366.00
839.16,4822.00
840.70,5252.00
842.24,4483.00
843.77,5371.00
845.31,4741.00
846.84,5551.00
848.37,4779.00
849.90,5526.00
851.44,4587.00
852.97,5585.00
854.50,4732.00
856.03,5598.00
857.55,4814.00
859.08,5682.00
860.61,4929.00
862.13,5649.00
863.66,4744.00
865.18,5612.00
866.70,5001.00
868.23,5668.00
869.75,4970.00
871.27,5901.00
872.79,4955.00
874.31,5586.00
875.83,4973.00
877.35,5629.00
878.86,4900.00
