ENLIGHTEN Version,1.7.2
Measurement ID,20190716-221623-575978-WP-00438
Serial Number,WP-00438
Label,alkanes 2mm HDPE
Integration Time,2000
Timestamp,2019-07-16 22:16:23.575978
Note,
Temperature,-99
CCD C0,807.1400146484375
CCD C1,0.11761099845170975
CCD C2,-1.6414700439781882e-05
CCD C3,2.3293600381890656e-09
CCD Offset,0
CCD Gain,8.0
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1952

Wavenumber,Processed
349.43,0.00
351.23,0.00
353.04,0.00
354.84,6825.00
356.64,5278.00
358.44,6614.00
360.24,5482.00
362.04,6740.00
363.84,5583.00
365.64,6511.00
367.43,5590.00
369.23,6748.00
371.02,5584.00
372.81,6662.00
374.60,5427.00
376.39,6455.00
378.18,5578.00
379.97,6602.00
381.76,5369.00
383.55,6476.00
385.33,5526.00
387.11,6467.00
388.90,5547.00
390.68,6421.00
392.46,5383.00
394.24,6337.00
396.02,5589.00
397.80,6280.00
399.58,5419.00
401.35,6425.00
403.13,5060.00
404.90,6203.00
406.68,5300.00
408.45,6330.00
410.22,5434.00
411.99,6269.00
413.76,5481.00
415.53,6286.00
417.30,5512.00
419.06,6255.00
420.83,5300.00
422.59,6391.00
424.35,5577.00
426.12,6382.00
427.88,5518.00
429.64,6307.00
431.40,5473.00
433.16,6186.00
434.91,5281.00
436.67,6385.00
438.43,5419.00
440.18,6340.00
441.93,5407.00
443.69,6236.00
445.44,5480.00
447.19,6189.00
448.94,5075.00
450.69,6128.00
452.43,5206.00
454.18,6024.00
455.92,5386.00
457.67,6306.00
459.41,5214.00
461.16,5770.00
462.90,5168.00
464.64,5763.00
466.38,5086.00
468.12,5968.00
469.85,4974.00
471.59,5974.00
473.33,5035.00
475.06,5711.00
476.80,4884.00
478.53,5717.00
480.26,4787.00
481.99,5655.00
483.72,4827.00
485.45,5712.00
487.18,4943.00
488.91,5600.00
490.63,4729.00
492.36,5551.00
494.08,4842.00
495.80,5624.00
497.53,4929.00
499.25,5506.00
500.97,4646.00
502.69,5436.00
504.41,4668.00
506.12,5501.00
507.84,4451.00
509.56,5433.00
511.27,4641.00
512.98,5470.00
514.70,4630.00
516.41,5405.00
518.12,4364.00
519.83,5278.00
521.54,4377.00
523.25,5316.00
524.95,4356.00
526.66,5247.00
528.36,4355.00
530.07,5277.00
531.77,4353.00
533.47,5247.00
535.18,4394.00
536.88,5077.00
538.58,4240.00
540.27,5158.00
541.97,4217.00
543.67,5273.00
545.36,4222.00
547.06,5111.00
548.75,4307.00
550.45,5168.00
552.14,4354.00
553.83,5037.00
555.52,4282.00
557.21,4979.00
558.90,4332.00
560.58,4811.00
562.27,4227.00
563.96,4906.00
565.64,4239.00
567.32,5006.00
569.01,4183.00
570.69,4944.00
572.37,4102.00
574.05,4958.00
