ENLIGHTEN Version,1.7.2
Measurement ID,20190716-221830-127462-WP-00438
Serial Number,WP-00438
Label,cyclohexane 4mm HDPE
Integration Time,2000
Timestamp,2019-07-16 22:18:30.127462
Note,
Temperature,-99
CCD C0,807.1400146484375
CCD C1,0.11761099845170975
CCD C2,-1.6414700439781882e-05
CCD C3,2.3293600381890656e-09
CCD Offset,0
CCD Gain,8.0
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1952

Wavenumber,Processed
349.43,0.00
351.23,0.00
353.04,0.00
354.84,6980.00
356.64,5968.00
358.44,7068.00
360.24,5926.00
362.04,7073.00
363.84,6253.00
365.64,7184.00
367.43,6135.00
369.23,7037.00
371.02,6124.00
372.81,6984.00
374.60,6121.00
376.39,6966.00
378.18,6040.00
379.97,7142.00
381.76,6157.00
383.55,7056.00
385.33,5813.00
387.11,6844.00
388.90,5792.00
390.68,6873.00
392.46,5915.00
394.24,7078.00
396.02,5943.00
397.80,7045.00
399.58,6103.00
401.35,7002.00
403.13,5811.00
404.90,7013.00
406.68,5959.00
408.45,7010.00
410.22,6035.00
411.99,6917.00
413.76,5939.00
415.53,7046.00
417.30,5863.00
419.06,6943.00
420.83,5987.00
422.59,6869.00
424.35,6118.00
426.12,7128.00
427.88,6168.00
429.64,7048.00
431.40,5963.00
433.16,6894.00
434.91,6027.00
436.67,6706.00
438.43,5957.00
440.18,6827.00
441.93,6033.00
443.69,6899.00
445.44,5971.00
447.19,6837.00
448.94,5905.00
450.69,6905.00
452.43,5783.00
454.18,6839.00
455.92,5775.00
457.67,6889.00
459.41,5599.00
461.16,6511.00
462.90,5815.00
464.64,6551.00
466.38,5784.00
468.12,6418.00
469.85,5777.00
471.59,6536.00
473.33,5547.00
475.06,6518.00
476.80,5445.00
478.53,6499.00
480.26,5595.00
481.99,6469.00
483.72,5471.00
485.45,6667.00
487.18,5546.00
488.91,6290.00
490.63,5470.00
492.36,6249.00
494.08,5414.00
495.80,6177.00
497.53,5316.00
499.25,6402.00
500.97,5378.00
502.69,6275.00
504.41,5342.00
506.12,6275.00
507.84,5188.00
509.56,6155.00
511.27,5150.00
512.98,6134.00
514.70,5220.00
516.41,6200.00
518.12,5163.00
519.83,6051.00
521.54,5347.00
523.25,6103.00
524.95,5079.00
526.66,5983.00
528.36,5146.00
530.07,5963.00
531.77,5158.00
533.47,6057.00
535.18,5238.00
536.88,6079.00
538.58,5073.00
540.27,6064.00
541.97,5023.00
543.67,5899.00
545.36,5114.00
547.06,6051.00
548.75,5192.00
550.45,6059.00
552.14,5176.00
553.83,5793.00
555.52,5209.00
557.21,5805.00
558.90,5169.00
560.58,6083.00
562.27,5131.00
563.96,5955.00
565.64,5064.00
567.32,5837.00
569.01,5045.00
570.69,5645.00
572.37,5028.00
574.05,5958.00
575.73,4844.00
577.41,5693.00
579.08,4877.00
580.76,5693.00
582.44,4931.00
584.11,5766.00
585.78,5068.00
587.46,5744.00
589.13,5049.00
590.80,5890.00
592.47,5010.00
594.14,5826.00
595.81,5241.00
597.47,5734.00
599.14,5135.00
600.80,5726.00
602.47,5000.00
604.13,5642.00
605.79,4941.00
607.46,5769.00
609.12,4816.00
610.78,5791.00
612.44,4945.00
614.09,5808.00
615.75,4919.00
617.41,6065.00
619.06,4854.00
620.72,5669.00
622.37,4932.00
624.02,5797.00
625.67,4951.00
627.33,5696.00
628.97,4777.00
630.62,5824.00
632.27,4858.00
633.92,5670.00
635.57,4903.00
637.21,5598.00
638.86,4720.00
640.50,5326.00
642.14,4842.00
643.78,5309.00
645.42,4730.00
647.06,5717.00
648.70,4899.00
650.34,5447.00
651.98,4638.00
