ENLIGHTEN Version,1.7.2
Measurement ID,20190716-221606-798853-WP-00438
Serial Number,WP-00438
Label,ethanol 2mm HDPE
Integration Time,2000
Timestamp,2019-07-16 22:16:06.798853
Note,
Temperature,-99
CCD C0,807.1400146484375
CCD C1,0.11761099845170975
CCD C2,-1.6414700439781882e-05
CCD C3,2.3293600381890656e-09
CCD Offset,0
CCD Gain,8.0
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1952

Wavenumber,Processed
349.43,0.00
351.23,0.00
353.04,0.00
354.84,6649.00
356.64,5394.00
358.44,6729.00
360.24,5728.00
362.04,6667.00
363.84,5707.00
365.64,6664.00
367.43,5788.00
369.23,6873.00
371.02,5648.00
372.81,6980.00
374.60,5588.00
376.39,6447.00
378.18,5562.00
379.97,6510.00
381.76,5614.00
383.55,6477.00
385.33,5495.00
387.11,6467.00
388.90,5499.00
390.68,6436.00
392.46,5403.00
394.24,6636.00
396.02,5393.00
397.80,6378.00
399.58,5682.00
401.35,6621.00
403.13,5402.00
404.90,6345.00
406.68,5523.00
408.45,6696.00
410.22,5498.00
411.99,6400.00
413.76,5659.00
415.53,6534.00
417.30,5689.00
419.06,6616.00
420.83,5672.00
422.59,6656.00
424.35,5662.00
426.12,6499.00
427.88,5867.00
429.64,6654.00
431.40,5723.00
433.16,6458.00
434.91,5637.00
436.67,6482.00
438.43,5639.00
440.18,6609.00
441.93,5373.00
443.69,6455.00
445.44,5620.00
447.19,6594.00
448.94,5397.00
450.69,6332.00
452.43,5391.00
454.18,6271.00
455.92,5249.00
457.67,6323.00
459.41,5513.00
461.16,5940.00
462.90,5263.00
464.64,6257.00
466.38,5326.00
468.12,6230.00
469.85,5134.00
471.59,5917.00
473.33,5172.00
475.06,5952.00
476.80,5044.00
478.53,5831.00
480.26,4942.00
481.99,5917.00
483.72,4987.00
485.45,5942.00
487.18,4937.00
488.91,5816.00
490.63,4863.00
492.36,5302.00
494.08,4889.00
495.80,5648.00
497.53,4939.00
499.25,5579.00
500.97,4654.00
502.69,5471.00
504.41,4596.00
506.12,5594.00
507.84,4778.00
509.56,5449.00
511.27,4636.00
512.98,5781.00
514.70,4826.00
516.41,5577.00
518.12,4604.00
519.83,5500.00
521.54,4477.00
523.25,5338.00
524.95,4610.00
526.66,5542.00
528.36,4546.00
530.07,5168.00
531.77,4490.00
533.47,5434.00
535.18,4616.00
536.88,5475.00
538.58,4426.00
540.27,5559.00
541.97,4477.00
543.67,5459.00
545.36,4370.00
547.06,5315.00
548.75,4530.00
550.45,5227.00
552.14,4305.00
553.83,5103.00
555.52,4395.00
557.21,5036.00
558.90,4525.00
560.58,5233.00
562.27,4506.00
563.96,5280.00
565.64,4543.00
567.32,5248.00
569.01,4374.00
570.69,5115.00
572.37,4332.00
574.05,5322.00
575.73,4454.00
577.41,5168.00
579.08,4491.00
580.76,5154.00
582.44,4407.00
584.11,5064.00
585.78,4248.00
587.46,4937.00
589.13,4360.00
590.80,5227.00
592.47,4215.00
594.14,5093.00
595.81,4331.00
597.47,5043.00
599.14,4252.00
600.80,5029.00
602.47,4263.00
604.13,5148.00
605.79,4508.00
607.46,4958.00
609.12,4451.00
610.78,4950.00
612.44,4130.00
614.09,5001.00
615.75,4364.00
617.41,4927.00
619.06,4380.00
620.72,4909.00
622.37,4089.00
624.02,4896.00
625.67,4448.00
627.33,5062.00
628.97,4183.00
630.62,4987.00
632.27,4301.00
633.92,5091.00
635.57,4249.00
637.21,4761.00
638.86,4240.00
640.50,4928.00
642.14,4205.00
643.78,5108.00
645.42,4077.00
647.06,4894.00
648.70,4085.00
650.34,4805.00
651.98,3982.00
653.62,4733.00
655.25,4173.00
656.89,4734.00
658.52,4002.00
660.15,4584.00
661.79,3888.00
663.42,4690.00
665.05,3989.00
666.68,4458.00
668.31,4064.00
669.93,4591.00
671.56,3988.00
673.19,4512.00
674.81,3827.00
676.43,4554.00
678.06,3881.00
679.68,4623.00
681.30,3944.00
682.92,4475.00
684.54,3842.00
686.16,4476.00
687.78,4015.00
689.40,4479.00
691.01,4041.00
692.63,4552.00
694.24,3904.00
695.86,4670.00
697.47,3820.00
699.08,4563.00
700.69,3894.00
702.30,4546.00
703.91,3592.00
705.52,4407.00
707.13,3671.00
708.74,4461.00
710.34,3909.00
711.95,4640.00
713.55,3942.00
715.15,4641.00
716.76,3877.00
718.36,4375.00
719.96,3804.00
721.56,4640.00
723.16,3678.00
724.76,4526.00
726.35,3923.00
727.95,4458.00
729.55,3959.00
731.14,4685.00
732.73,3874.00
734.33,4504.00
735.92,3824.00
737.51,4525.00
739.10,3770.00
740.69,4736.00
742.28,3757.00
743.87,4611.00
745.46,3729.00
747.04,4431.00
748.63,3801.00
750.21,4357.00
751.80,3755.00
753.38,4522.00
754.96,3999.00
756.54,4624.00
758.12,3741.00
759.70,4585.00
761.28,3979.00
762.86,4665.00
764.44,3804.00
766.01,4716.00
767.59,3997.00
769.16,4926.00
770.74,3998.00
772.31,4683.00
773.88,4031.00
775.45,4690.00
777.02,3942.00
778.59,4541.00
780.16,4127.00
781.73,4839.00
783.30,4015.00
784.86,4634.00
786.43,4107.00
787.99,4753.00
789.56,4154.00
791.12,4737.00
792.68,4209.00
794.24,4871.00
795.80,4105.00
797.36,4750.00
798.92,4089.00
800.48,4917.00
802.04,4137.00
803.59,4856.00
805.15,4283.00
806.70,4829.00
808.26,4242.00
809.81,4761.00
811.36,4006.00
812.91,5003.00
814.46,4088.00
816.01,5144.00
817.56,4397.00
819.11,5101.00
820.66,4334.00
822.20,5101.00
823.75,4426.00
825.30,4955.00
826.84,4365.00
828.38,5129.00
829.93,4500.00
831.47,5118.00
833.01,4204.00
834.55,5100.00
836.09,4504.00
837.63,5036.00
839.16,4474.00
840.70,5245.00
842.24,4529.00
843.77,5077.00
845.31,4591.00
846.84,5381.00
848.37,4522.00
849.90,5461.00
851.44,4942.00
852.97,5420.00
854.50,4765.00
856.03,5427.00
857.55,4859.00
859.08,5687.00
860.61,4888.00
862.13,5713.00
863.66,4877.00
865.18,5782.00
866.70,5195.00
868.23,5892.00
869.75,5326.00
871.27,6168.00
872.79,5569.00
874.31,6456.00
875.83,5756.00
877.35,6290.00
878.86,5707.00
880.38,6301.00
881.89,5743.00
883.41,6710.00
884.92,5663.00
886.44,6518.00
887.95,5588.00
889.46,6180.00
890.97,5348.00
892.48,6023.00
893.99,5396.00
895.50,6092.00
897.01,5111.00
898.51,5990.00
900.02,5055.00
901.52,5753.00
903.03,4937.00
904.53,5684.00
906.04,4622.00
907.54,5335.00
909.04,4765.00
910.54,5512.00
912.04,4490.00
913.54,5219.00
915.04,4655.00
916.53,5335.00
918.03,4762.00
919.53,5331.00
921.02,4545.00
922.52,5110.00
924.01,4526.00
925.50,5036.00
927.00,4401.00
928.49,5186.00
929.98,4305.00
931.47,5044.00
932.96,4398.00
934.44,5124.00
935.93,4137.00
937.42,4751.00
938.90,4151.00
940.39,4922.00
941.87,4044.00
943.36,4980.00
944.84,4136.00
946.32,4825.00
947.80,4196.00
949.29,4820.00
950.77,4112.00
952.24,4801.00
953.72,4080.00
955.20,4825.00
956.68,3935.00
958.15,4632.00
959.63,3964.00
961.10,4599.00
962.58,4083.00
964.05,4591.00
965.52,3998.00
967.00,4758.00
968.47,3909.00
969.94,4654.00
971.41,3968.00
972.87,4806.00
974.34,3971.00
975.81,4666.00
977.28,4023.00
978.74,4651.00
