ENLIGHTEN Version,1.7.2
Measurement ID,20190716-221639-311870-WP-00438
Serial Number,WP-00438
Label,ibuprofen 2mm HDPE
Integration Time,2000
Timestamp,2019-07-16 22:16:39.311870
Note,
Temperature,-99
CCD C0,807.1400146484375
CCD C1,0.11761099845170975
CCD C2,-1.6414700439781882e-05
CCD C3,2.3293600381890656e-09
CCD Offset,0
CCD Gain,8.0
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1952

Wavenumber,Processed
349.43,0.00
351.23,0.00
353.04,0.00
354.84,9050.00
356.64,7828.00
358.44,9172.00
360.24,8135.00
362.04,9438.00
363.84,8059.00
365.64,9220.00
367.43,8485.00
369.23,9502.00
371.02,8245.00
372.81,9414.00
374.60,8077.00
376.39,9114.00
378.18,8190.00
379.97,9354.00
381.76,7990.00
383.55,9350.00
385.33,7972.00
387.11,9043.00
388.90,7806.00
390.68,9147.00
392.46,7788.00
394.24,8811.00
396.02,7671.00
397.80,8853.00
399.58,7972.00
401.35,8924.00
403.13,7837.00
404.90,8785.00
406.68,8019.00
408.45,8922.00
410.22,7826.00
411.99,9026.00
413.76,8262.00
415.53,9388.00
417.30,7991.00
419.06,9363.00
420.83,8111.00
422.59,9174.00
424.35,8019.00
426.12,9090.00
427.88,8059.00
429.64,9162.00
431.40,8085.00
433.16,9145.00
434.91,8172.00
436.67,9159.00
438.43,7897.00
440.18,8942.00
441.93,8016.00
443.69,8969.00
445.44,7767.00
447.19,8848.00
448.94,7855.00
450.69,8647.00
452.43,7642.00
454.18,8478.00
455.92,7672.00
457.67,8716.00
459.41,7398.00
461.16,8199.00
462.90,7544.00
464.64,8238.00
466.38,7342.00
468.12,8321.00
469.85,7314.00
471.59,8199.00
473.33,7277.00
475.06,8306.00
476.80,7371.00
478.53,8308.00
480.26,7214.00
481.99,8099.00
483.72,7483.00
485.45,8270.00
487.18,7332.00
488.91,8108.00
490.63,7545.00
492.36,8431.00
494.08,7253.00
495.80,7936.00
497.53,7230.00
499.25,8382.00
500.97,7235.00
502.69,8194.00
504.41,7131.00
506.12,7983.00
507.84,7224.00
509.56,8302.00
511.27,7288.00
512.98,8031.00
514.70,7236.00
516.41,8025.00
518.12,6947.00
519.83,7849.00
521.54,7069.00
523.25,8068.00
524.95,6954.00
526.66,7584.00
528.36,7045.00
530.07,7708.00
531.77,6918.00
533.47,7510.00
535.18,7169.00
536.88,7707.00
538.58,6963.00
540.27,7904.00
541.97,6757.00
543.67,7692.00
545.36,6783.00
547.06,7539.00
548.75,6709.00
550.45,7767.00
552.14,6734.00
553.83,7448.00
555.52,6736.00
557.21,7714.00
558.90,6750.00
560.58,7651.00
562.27,6630.00
563.96,7726.00
565.64,6630.00
567.32,7541.00
569.01,6862.00
570.69,7702.00
572.37,6831.00
574.05,7656.00
575.73,6649.00
577.41,7566.00
579.08,6825.00
580.76,7482.00
582.44,6747.00
584.11,7805.00
585.78,7021.00
587.46,7654.00
589.13,6753.00
590.80,7675.00
592.47,6680.00
594.14,7642.00
595.81,6998.00
597.47,7724.00
599.14,6851.00
600.80,7573.00
602.47,6948.00
604.13,7619.00
605.79,6792.00
607.46,7472.00
609.12,6704.00
610.78,7491.00
612.44,6753.00
614.09,7713.00
615.75,6890.00
617.41,7833.00
619.06,6858.00
620.72,7723.00
622.37,6866.00
624.02,8197.00
625.67,7155.00
627.33,7888.00
628.97,7099.00
630.62,8084.00
632.27,7223.00
633.92,7931.00
635.57,7147.00
637.21,7866.00
638.86,7136.00
640.50,7683.00
642.14,6826.00
643.78,7708.00
645.42,6885.00
647.06,7511.00
648.70,6708.00
650.34,7333.00
651.98,6710.00
653.62,7421.00
655.25,6693.00
656.89,7282.00
658.52,6632.00
660.15,7298.00
661.79,6644.00
663.42,7301.00
665.05,6535.00
666.68,7247.00
668.31,6236.00
669.93,7101.00
671.56,6294.00
673.19,7069.00
674.81,6146.00
676.43,6975.00
678.06,6124.00
679.68,6819.00
681.30,5996.00
682.92,6786.00
684.54,6291.00
686.16,6808.00
687.78,6044.00
689.40,6598.00
691.01,5877.00
692.63,6797.00
694.24,5921.00
695.86,6803.00
697.47,6051.00
699.08,6704.00
700.69,5893.00
702.30,6758.00
703.91,5995.00
705.52,6786.00
707.13,5993.00
708.74,6525.00
710.34,6008.00
711.95,6815.00
713.55,5908.00
715.15,6707.00
716.76,5983.00
718.36,6862.00
719.96,5973.00
721.56,6751.00
723.16,5849.00
724.76,6707.00
726.35,6066.00
727.95,6626.00
729.55,6242.00
731.14,6903.00
732.73,5998.00
734.33,6921.00
735.92,6350.00
737.51,7364.00
739.10,6424.00
740.69,7074.00
742.28,6148.00
743.87,7275.00
745.46,6383.00
747.04,7172.00
748.63,6661.00
750.21,7343.00
751.80,6392.00
753.38,7574.00
754.96,6593.00
756.54,7485.00
758.12,6478.00
759.70,7437.00
761.28,6581.00
762.86,7220.00
764.44,6746.00
766.01,7310.00
767.59,6752.00
769.16,7483.00
770.74,6733.00
772.31,7903.00
773.88,7080.00
775.45,7837.00
777.02,6880.00
778.59,7776.00
780.16,7273.00
781.73,8209.00
783.30,7094.00
784.86,8108.00
786.43,7372.00
787.99,8145.00
789.56,7270.00
791.12,8029.00
792.68,7420.00
794.24,8104.00
795.80,7200.00
797.36,8113.00
798.92,7030.00
800.48,8169.00
802.04,7366.00
803.59,8036.00
805.15,7405.00
806.70,8273.00
808.26,7480.00
809.81,8621.00
811.36,7728.00
812.91,8712.00
814.46,8112.00
816.01,9127.00
817.56,8410.00
819.11,9422.00
820.66,8593.00
822.20,9527.00
823.75,8675.00
825.30,9790.00
826.84,8721.00
828.38,9854.00
829.93,8961.00
831.47,9874.00
833.01,8892.00
834.55,10044.00
836.09,8971.00
837.63,9794.00
839.16,8963.00
840.70,10030.00
842.24,8893.00
843.77,9870.00
845.31,8803.00
846.84,9406.00
848.37,8261.00
849.90,9642.00
851.44,8362.00
852.97,9182.00
854.50,8132.00
856.03,9080.00
857.55,8276.00
859.08,8918.00
860.61,7859.00
862.13,8497.00
863.66,7563.00
865.18,8772.00
866.70,7826.00
868.23,8830.00
869.75,7935.00
871.27,8745.00
872.79,7580.00
874.31,8596.00
875.83,7890.00
877.35,8625.00
878.86,8029.00
880.38,8782.00
881.89,7961.00
883.41,8666.00
884.92,7757.00
886.44,8913.00
887.95,7525.00
889.46,8847.00
890.97,7742.00
892.48,8464.00
893.99,7368.00
895.50,8287.00
897.01,7390.00
898.51,8493.00
900.02,7589.00
901.52,8272.00
903.03,7510.00
904.53,7986.00
906.04,7211.00
907.54,8076.00
909.04,7308.00
910.54,8151.00
912.04,6927.00
913.54,8207.00
915.04,7207.00
916.53,7837.00
918.03,6972.00
919.53,7957.00
921.02,7028.00
922.52,8027.00
924.01,7197.00
925.50,7733.00
927.00,6942.00
928.49,7962.00
929.98,7230.00
931.47,7790.00
932.96,6845.00
934.44,7820.00
935.93,7024.00
937.42,7857.00
938.90,6695.00
940.39,7881.00
941.87,7233.00
943.36,8038.00
944.84,7204.00
946.32,7750.00
947.80,7012.00
949.29,7731.00
950.77,7002.00
952.24,7751.00
953.72,6930.00
955.20,7704.00
956.68,6910.00
958.15,7810.00
959.63,6702.00
961.10,7447.00
962.58,6616.00
964.05,7367.00
965.52,6787.00
967.00,7326.00
968.47,6522.00
969.94,7306.00
