ENLIGHTEN Version,1.7.2
Measurement ID,20190904-111350-167384-WP-00438
Serial Number,WP-00438
Label,11:13:50 WP-00438
Integration Time,400
Timestamp,13:50.2
Note,
Temperature,0
CCD C0,807.1400146
CCD C1,0.117610998
CCD C2,-1.64E-05
CCD C3,2.33E-09
CCD Offset,0
CCD Gain,8
Laser Wavelength,785
Laser Enable,TRUE
Laser Power,100
Laser Temperature,0
Pixel Count,1952
,
Wavenumber,Processed
349.43,0
351.23,0
353.04,0
354.84,16201
356.64,14806
358.44,16530
360.24,15235
362.04,16587
363.84,15515
365.64,17276
367.43,15654
369.23,17326
371.02,15807
372.81,17076
374.6,16030
376.39,16967
378.18,15505
379.97,17007
381.76,15718
383.55,17141
385.33,15741
387.11,16991
388.9,16121
390.68,17118
392.46,15910
394.24,17298
396.02,16093
397.8,17093
399.58,16128
401.35,17269
403.13,16068
404.9,17697
406.68,16559
408.45,17797
410.22,16965
411.99,18137
413.76,17295
415.53,18540
417.3,17411
419.06,18998
420.83,18221
422.59,19387
424.35,18643
426.12,20110
427.88,19318
429.64,20244
431.4,20075
433.16,20738
434.91,20043
436.67,21569
438.43,20410
440.18,21945
441.93,20897
443.69,21894
445.44,20925
447.19,21933
448.94,20936
450.69,21808
452.43,20541
454.18,21564
455.92,20295
457.67,20779
459.41,19443
461.16,20571
462.9,19109
464.64,19690
466.38,18715
468.12,18987
469.85,17770
471.59,18729
473.33,17680
475.06,18121
476.8,17538
478.53,17705
480.26,16888
481.99,17438
483.72,16611
485.45,17166
487.18,16462
488.91,17200
490.63,16157
492.36,16981
494.08,16178
495.8,16623
497.53,16071
499.25,16750
500.97,16030
502.69,16517
504.41,15830
506.12,16693
507.84,16080
509.56,16618
511.27,15827
512.98,16922
514.7,15988
516.41,16811
518.12,15902
519.83,16834
521.54,15885
523.25,16957
524.95,15927
526.66,16693
528.36,15859
530.07,16742
531.77,15648
533.47,16713
535.18,15823
536.88,17171
538.58,15950
540.27,16596
541.97,16151
543.67,17077
545.36,16434
547.06,16846
548.75,16305
550.45,17017
552.14,16350
553.83,17394
555.52,16401
557.21,17144
558.9,16773
560.58,17694
562.27,16615
563.96,17450
565.64,17167
567.32,18100
569.01,17336
570.69,18527
572.37,17396
574.05,18821
575.73,18039
577.41,19089
579.08,18455
580.76,19888
582.44,18819
584.11,20081
585.78,19426
587.46,20803
589.13,20181
590.8,21084
592.47,20158
594.14,21621
595.81,21167
597.47,22504
599.14,21561
600.8,22916
602.47,21472
604.13,22748
605.79,21847
607.46,22939
609.12,21838
610.78,22578
612.44,21668
614.09,22556
615.75,21105
617.41,22185
619.06,21162
620.72,21803
622.37,20626
624.02,20904
625.67,20069
627.33,20326
628.97,19264
630.62,20046
632.27,18866
633.92,19524
635.57,18333
637.21,18573
638.86,17624
640.5,18204
642.14,17274
643.78,17460
645.42,16663
647.06,17346
648.7,16502
650.34,17012
651.98,16058
653.62,16819
655.25,15596
656.89,16362
658.52,15571
660.15,15806
661.79,15283
663.42,15578
665.05,15041
666.68,15623
668.31,14867
669.93,15248
671.56,14633
673.19,14933
674.81,14650
676.43,14829
678.06,14112
679.68,14508
681.3,14353
682.92,14363
684.54,14011
686.16,14147
687.78,13936
689.4,14243
691.01,13676
692.63,14277
694.24,13797
695.86,14067
697.47,13410
699.08,13993
700.69,13628
702.3,14039
703.91,13628
705.52,13941
707.13,13359
708.74,13760
710.34,13481
711.95,13830
713.55,13230
715.15,13659
716.76,13201
718.36,13677
719.96,12916
721.56,13687
723.16,13139
724.76,13500
726.35,12955
727.95,13531
729.55,12917
731.14,13555
732.73,12948
734.33,13632
735.92,13084
737.51,13348
739.1,12750
740.69,13135
742.28,12998
743.87,13233
745.46,12776
747.04,13266
748.63,12854
750.21,13032
751.8,12715
753.38,13260
754.96,12767
756.54,13104
758.12,12514
759.7,12920
761.28,12429
762.86,13080
764.44,12554
766.01,13108
767.59,12674
769.16,13518
770.74,12720
772.31,13034
773.88,12731
775.45,13199
777.02,12639
778.59,13272
780.16,12582
781.73,13224
783.3,12787
784.86,13193
786.43,12825
787.99,13623
789.56,12681
791.12,13215
792.68,12692
794.24,13296
795.8,12738
797.36,13409
798.92,12841
800.48,13460
802.04,12644
803.59,13350
805.15,12681
806.7,13600
808.26,12835
809.81,13407
811.36,13024
812.91,13578
814.46,13401
816.01,14004
817.56,13530
819.11,14342
820.66,13615
822.2,14137
823.75,13603
825.3,14583
826.84,13937
828.38,14323
829.93,13832
831.47,14408
833.01,13913
834.55,14651
836.09,14053
837.63,14945
839.16,13905
840.7,14900
842.24,14156
843.77,14709
845.31,13823
846.84,14550
848.37,13905
849.9,14497
851.44,13988
852.97,14636
854.5,13700
856.03,14782
857.55,14128
859.08,14663
860.61,13889
862.13,14726
863.66,14060
865.18,14539
866.7,13957
868.23,14636
869.75,13980
