ENLIGHTEN Version,1.7.2
Measurement ID,20190904-111613-685064-WP-00438
Serial Number,WP-00438
Label,11:16:13 WP-00438
Integration Time,1000
Timestamp,16:13.7
Note,
Temperature,0
CCD C0,807.1400146
CCD C1,0.117610998
CCD C2,-1.64E-05
CCD C3,2.33E-09
CCD Offset,0
CCD Gain,8
Laser Wavelength,785
Laser Enable,TRUE
Laser Power,100
Laser Temperature,0
Pixel Count,1952
,
Wavenumber,Processed
349.43,0
351.23,0
353.04,0
354.84,9649
356.64,8777
358.44,9758
360.24,8958
362.04,10120
363.84,9143
365.64,9984
367.43,9037
369.23,10214
371.02,8663
372.81,9694
374.6,8713
376.39,9428
378.18,8475
379.97,9316
381.76,8375
383.55,9094
385.33,8280
387.11,9199
388.9,8312
390.68,8858
392.46,8038
394.24,8920
396.02,8209
397.8,8849
399.58,8165
401.35,8941
403.13,8095
404.9,9145
406.68,8615
408.45,9488
410.22,8850
411.99,9901
413.76,9131
415.53,10205
417.3,9745
419.06,10468
420.83,9722
422.59,10454
424.35,9754
426.12,10069
427.88,9598
429.64,10093
431.4,9283
433.16,9867
434.91,8893
436.67,9540
438.43,8547
440.18,9058
441.93,8263
443.69,8890
445.44,8059
447.19,8545
448.94,7706
450.69,8146
452.43,7461
454.18,8301
455.92,7290
457.67,8056
459.41,7338
461.16,7738
462.9,6981
464.64,7536
466.38,7133
468.12,7613
469.85,6928
471.59,7362
473.33,6855
475.06,7864
476.8,7122
478.53,7715
480.26,7242
481.99,7917
483.72,7284
485.45,8060
487.18,7783
488.91,8269
490.63,7535
492.36,8795
494.08,8170
495.8,8368
497.53,7862
499.25,8657
500.97,7917
502.69,8717
504.41,7967
506.12,8786
507.84,7965
509.56,8623
511.27,7973
512.98,8463
514.7,7892
516.41,8312
518.12,7652
519.83,8299
521.54,7237
523.25,8271
524.95,7461
526.66,7911
528.36,7408
530.07,7674
531.77,7293
533.47,7688
535.18,6980
536.88,7628
538.58,6831
540.27,7577
541.97,6825
543.67,7480
545.36,6819
547.06,7336
548.75,6811
550.45,7653
552.14,6773
553.83,7382
555.52,6835
557.21,7411
558.9,6977
560.58,7509
562.27,6905
563.96,7655
565.64,6851
567.32,7930
569.01,7217
570.69,8091
572.37,7509
574.05,8318
575.73,7379
577.41,8276
579.08,7681
580.76,8225
582.44,7844
584.11,8435
585.78,7642
587.46,8535
589.13,7716
590.8,8570
592.47,7853
594.14,8377
595.81,7719
597.47,8009
599.14,7665
600.8,8081
602.47,7447
604.13,8021
605.79,7467
607.46,8136
609.12,7506
610.78,8300
612.44,7817
614.09,8947
615.75,8313
617.41,9508
619.06,9013
620.72,9889
622.37,9791
624.02,10654
625.67,10083
627.33,11188
628.97,10793
630.62,11825
632.27,10906
633.92,12077
635.57,11119
637.21,11393
638.86,10681
640.5,10860
642.14,10031
643.78,10092
645.42,9344
647.06,9716
648.7,8946
650.34,9429
651.98,8682
653.62,9182
655.25,8559
656.89,9029
658.52,8405
660.15,8858
661.79,8220
663.42,8908
665.05,8372
666.68,8679
668.31,8033
669.93,8727
671.56,7766
673.19,8264
674.81,7609
676.43,8070
678.06,7474
679.68,7747
681.3,7304
682.92,7608
684.54,6881
686.16,7561
687.78,7023
689.4,7344
691.01,7178
692.63,7355
694.24,6834
695.86,7329
697.47,6907
699.08,7203
700.69,6955
702.3,7353
703.91,6810
705.52,7184
707.13,6879
708.74,7282
710.34,6712
711.95,7146
713.55,6854
715.15,7119
716.76,6552
718.36,7307
719.96,6543
721.56,7234
723.16,6762
724.76,7249
726.35,7115
727.95,7562
729.55,7291
731.14,7995
732.73,7779
734.33,8624
735.92,7950
737.51,9290
739.1,8591
740.69,9814
742.28,9439
743.87,10639
745.46,10148
747.04,10599
748.63,10169
750.21,10854
751.8,10211
753.38,10921
754.96,9835
756.54,10329
758.12,9773
759.7,10238
761.28,9503
762.86,9908
764.44,9400
766.01,10215
767.59,9817
769.16,10664
770.74,10223
772.31,11144
773.88,10923
775.45,12098
777.02,11592
778.59,12819
780.16,12345
781.73,13368
783.3,12446
784.86,13444
786.43,12646
787.99,13197
789.56,12445
791.12,12709
792.68,11932
794.24,12578
795.8,11502
797.36,12386
798.92,11524
800.48,12323
802.04,11905
803.59,12559
805.15,12254
806.7,13337
808.26,13020
809.81,14106
811.36,14129
812.91,15486
814.46,15149
816.01,16881
817.56,16446
819.11,18203
820.66,17791
822.2,19097
823.75,18469
825.3,20101
826.84,19355
828.38,20605
829.93,19781
831.47,21006
833.01,19776
834.55,20581
836.09,19247
837.63,20327
839.16,18757
840.7,19391
842.24,17769
843.77,18144
845.31,16317
846.84,16518
848.37,14995
849.9,15505
851.44,13907
852.97,14238
854.5,12919
856.03,13095
857.55,11748
859.08,12150
860.61,11299
862.13,11970
863.66,10623
865.18,11617
866.7,10432
868.23,11120
869.75,10424
871.27,11354
872.79,10332
874.31,11539
875.83,10495
877.35,11152
878.86,10665
880.38,11408
881.89,10782
883.41,11307
884.92,10892
886.44,11466
887.95,10122
889.46,11167
890.97,10075
892.48,10959
893.99,9862
895.5,10432
897.01,9591
898.51,10170
900.02,9298
901.52,9747
903.03,8722
904.53,9498
906.04,8942
907.54,9042
909.04,8350
910.54,9103
912.04,8158
913.54,8908
915.04,8574
916.53,9044
918.03,8136
919.53,8851
921.02,8598
922.52,9008
924.01,8479
925.5,9033
927,8605
928.49,9313
929.98,9057
931.47,9496
932.96,9087
934.44,9914
935.93,9692
937.42,10327
938.9,10016
940.39,10681
941.87,10573
943.36,11235
944.84,10892
946.32,11544
947.8,11041
949.29,11620
950.77,11088
952.24,11588
953.72,10633
955.2,11131
956.68,10480
958.15,10589
959.63,9878
961.1,9804
962.58,9315
964.05,9222
965.52,8409
967,8768
968.47,7851
969.94,8339
971.41,7695
972.87,8147
974.34,7487
975.81,7741
977.28,7574
978.74,8068
980.21,7496
981.67,8311
983.13,7710
984.6,8405
986.06,8141
987.52,8593
988.98,8587
990.44,9341
991.9,9025
993.36,9808
994.82,9481
996.27,10464
997.73,10106
999.18,10643
1000.64,10272
1002.09,10793
1003.55,10493
1005,10445
1006.45,9569
1007.9,9863
1009.35,8952
1010.8,9258
1012.25,8157
1013.7,8492
1015.14,8056
1016.59,7668
1018.04,7370
1019.48,7963
1020.93,6799
1022.37,7138
1023.81,6556
1025.25,7010
1026.7,6530
1028.14,6983
1029.58,6272
1031.02,6836
1032.45,6310
1033.89,6625
1035.33,6196
1036.77,6792
1038.2,6500
1039.64,7042
1041.07,6631
1042.5,7347
1043.94,7056
1045.37,7214
1046.8,7168
1048.23,8098
1049.66,7646
1051.09,8309
1052.52,8192
1053.95,9132
1055.37,9067
1056.8,9692
1058.23,9556
1059.65,10293
1061.08,10002
1062.5,10739
1063.92,9950
1065.34,10652
1066.76,10285
1068.19,10543
1069.61,9780
1071.02,10240
1072.44,9480
1073.86,9728
1075.28,8894
1076.69,9447
1078.11,8514
1079.53,9045
1080.94,8469
1082.35,9001
1083.77,8583
1085.18,8974
1086.59,8367
1088,9039
1089.41,8687
1090.82,9137
1092.23,8844
1093.64,9291
1095.04,9063
1096.45,9668
1097.86,9298
1099.26,9886
1100.67,9519
1102.07,10090
1103.47,9771
1104.88,10409
1106.28,10198
1107.68,10997
1109.08,10867
1110.48,11508
1111.88,11270
1113.28,12193
1114.67,11647
1116.07,12391
1117.47,12093
1118.86,13270
1120.26,12303
1121.65,13228
1123.05,12641
1124.44,13571
1125.83,12660
1127.22,13485
1128.61,12574
1130,13198
1131.39,12142
1132.78,12314
1134.17,11324
1135.56,11339
1136.94,10647
1138.33,10466
1139.72,9700
1141.1,10184
1142.48,9126
1143.87,9390
1145.25,8492
1146.63,9204
1148.01,8635
1149.39,9236
1150.77,8591
1152.15,8970
1153.53,9024
1154.91,9282
1156.29,9331
1157.66,10316
1159.04,10312
1160.41,11395
1161.79,11399
1163.16,12976
1164.54,12963
1165.91,13999
1167.28,13977
1168.65,15338
1170.02,15351
1171.39,16567
1172.76,16843
1174.13,17746
1175.5,18051
1176.86,19670
1178.23,20001
1179.6,21471
1180.96,22371
1182.33,23935
1183.69,23959
1185.05,25083
1186.42,24583
1187.78,25207
1189.14,24506
1190.5,24695
1191.86,23430
1193.22,22927
1194.58,21589
1195.94,21104
1197.29,19923
1198.65,20215
1200.01,18784
1201.36,18669
1202.72,18112
1204.07,18004
1205.42,16675
1206.78,17191
1208.13,16281
1209.48,16296
1210.83,14870
1212.18,14929
1213.53,13786
1214.88,13846
1216.23,12693
1217.58,12882
1218.92,11440
1220.27,11744
1221.61,11074
1222.96,11039
1224.3,10143
1225.65,10408
1226.99,9623
1228.33,9965
1229.67,9138
1231.01,9019
1232.36,8376
1233.7,8956
1235.03,8150
1236.37,8316
1237.71,7875
1239.05,8260
1240.38,7787
1241.72,7999
1243.06,7630
1244.39,8237
1245.72,7867
1247.06,8184
1248.39,7721
1249.72,8295
1251.05,7770
1252.39,8252
1253.72,7699
1255.05,8365
1256.37,7788
1257.7,8179
1259.03,7764
1260.36,7855
1261.68,7858
1263.01,8452
1264.33,7692
1265.66,8341
1266.98,7989
1268.31,8250
1269.63,8027
1270.95,8407
1272.27,8266
1273.59,9208
1274.91,8840
1276.23,9501
1277.55,9108
1278.87,9868
1280.19,9845
1281.51,10450
1282.82,10091
1284.14,10942
1285.45,10677
1286.77,11343
1288.08,10790
1289.39,12073
1290.71,11643
1292.02,12900
1293.33,12531
1294.64,13217
1295.95,12827
1297.26,13379
1298.57,12723
1299.88,13109
1301.19,12232
1302.49,12426
1303.8,11560
1305.11,11362
1306.41,10286
1307.72,10403
1309.02,9382
1310.32,9796
1311.63,8966
1312.93,8988
1314.23,8322
1315.53,8537
1316.83,7845
1318.13,8250
1319.43,7882
1320.73,8192
1322.03,7716
1323.32,7924
1324.62,7875
1325.92,7934
1327.21,7670
1328.51,8193
1329.8,7631
1331.1,8099
1332.39,7595
1333.68,7901
1334.97,7513
1336.27,8043
1337.56,7472
1338.85,7769
1340.14,7456
1341.42,8080
1342.71,7471
1344,7998
1345.29,7495
1346.57,7783
1347.86,7373
1349.15,7539
1350.43,7037
1351.71,7402
1353,7026
1354.28,7203
1355.56,6621
1356.85,6866
1358.13,6637
1359.41,6752
1360.69,6354
1361.97,6604
1363.25,6214
