ENLIGHTEN Version,1.7.2
Measurement ID,20190716-221548-479565-WP-00438
Serial Number,WP-00438
Label,isopropanol 2mm HDPE
Integration Time,2000
Timestamp,2019-07-16 22:15:48.479565
Note,
Temperature,-99
CCD C0,807.1400146484375
CCD C1,0.11761099845170975
CCD C2,-1.6414700439781882e-05
CCD C3,2.3293600381890656e-09
CCD Offset,0
CCD Gain,8.0
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1952

Wavenumber,Processed
349.43,0.00
351.23,0.00
353.04,0.00
354.84,6557.00
356.64,5442.00
358.44,6608.00
360.24,5458.00
362.04,6312.00
363.84,5485.00
365.64,6677.00
367.43,5537.00
369.23,6634.00
371.02,5670.00
372.81,6661.00
374.60,5510.00
376.39,6552.00
378.18,5636.00
379.97,6296.00
381.76,5562.00
383.55,6560.00
385.33,5465.00
387.11,6416.00
388.90,5495.00
390.68,6281.00
392.46,5381.00
394.24,6520.00
396.02,5400.00
397.80,6276.00
399.58,5595.00
401.35,6265.00
403.13,5486.00
404.90,6532.00
406.68,5447.00
408.45,6528.00
410.22,5466.00
411.99,6442.00
413.76,5498.00
415.53,6396.00
417.30,5625.00
419.06,6579.00
420.83,5553.00
422.59,6499.00
424.35,5586.00
426.12,6474.00
427.88,5420.00
429.64,6493.00
431.40,5480.00
433.16,6562.00
434.91,5478.00
436.67,6430.00
438.43,5774.00
440.18,6614.00
441.93,5492.00
443.69,6444.00
445.44,5284.00
447.19,6322.00
448.94,5431.00
450.69,6364.00
452.43,5422.00
454.18,6241.00
455.92,5410.00
457.67,6039.00
459.41,5110.00
461.16,5940.00
462.90,5302.00
464.64,5911.00
466.38,5232.00
468.12,5914.00
469.85,5208.00
471.59,6087.00
473.33,5081.00
475.06,6005.00
476.80,5070.00
478.53,5900.00
480.26,5135.00
481.99,5874.00
483.72,5020.00
485.45,5886.00
487.18,4956.00
488.91,5791.00
490.63,4986.00
492.36,5604.00
494.08,5052.00
495.80,5751.00
497.53,4798.00
499.25,5702.00
500.97,4884.00
502.69,5566.00
504.41,4803.00
506.12,5410.00
507.84,4711.00
509.56,5521.00
511.27,4778.00
512.98,5534.00
514.70,4568.00
516.41,5208.00
518.12,4643.00
519.83,5254.00
521.54,4629.00
523.25,5540.00
524.95,4580.00
526.66,5333.00
528.36,4653.00
530.07,5370.00
531.77,4493.00
533.47,5320.00
535.18,4605.00
536.88,5473.00
538.58,4523.00
540.27,5394.00
541.97,4535.00
543.67,5277.00
545.36,4267.00
547.06,5290.00
548.75,4459.00
550.45,5335.00
552.14,4285.00
553.83,5168.00
555.52,4345.00
557.21,5090.00
558.90,4464.00
560.58,5131.00
562.27,4345.00
563.96,5166.00
565.64,4565.00
567.32,5164.00
569.01,4371.00
570.69,5085.00
572.37,4253.00
574.05,4948.00
575.73,4363.00
577.41,4934.00
579.08,4338.00
580.76,5027.00
582.44,4296.00
584.11,5088.00
585.78,4366.00
587.46,4803.00
589.13,4375.00
590.80,5117.00
592.47,4387.00
594.14,5211.00
595.81,4464.00
597.47,5055.00
599.14,4128.00
600.80,4980.00
602.47,4300.00
604.13,5008.00
605.79,4132.00
607.46,4897.00
609.12,4490.00
610.78,4992.00
612.44,4248.00
614.09,4869.00
615.75,4205.00
617.41,5122.00
619.06,4081.00
620.72,4803.00
622.37,4157.00
624.02,4956.00
625.67,4451.00
627.33,5004.00
628.97,4173.00
630.62,4749.00
632.27,4279.00
633.92,4884.00
635.57,4107.00
637.21,4655.00
638.86,4128.00
640.50,4776.00
642.14,4153.00
643.78,4772.00
645.42,3913.00
647.06,4720.00
648.70,3949.00
650.34,4859.00
651.98,4283.00
653.62,4689.00
655.25,3808.00
656.89,4681.00
658.52,4126.00
660.15,4526.00
661.79,3941.00
663.42,4721.00
665.05,4020.00
