ENLIGHTEN Version,1.7.2
Measurement ID,20190904-090912-257914-WP-00340
Serial Number,WP-00340
Label,09:09:12 WP-00340
Integration Time,500
Timestamp,09:12.3
Note,
Temperature,9.993816972
CCD C0,801.7174072
CCD C1,0.141220003
CCD C2,-5.61E-06
CCD C3,-8.54E-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785
Laser Enable,TRUE
Laser Power,100
Laser Temperature,0
Pixel Count,1024
,
Wavenumber,Processed
265.63,72
267.83,87
270.02,127
272.22,156
274.41,198
276.6,238
278.8,303
280.99,394
283.18,475
285.37,624
287.55,692
289.74,847
291.93,991
294.11,1080
296.3,1212
298.48,1296
300.66,1341
302.84,1437
305.02,1494
307.2,1429
309.38,1514
311.56,1489
313.74,1506
315.91,1489
318.09,1519
320.26,1556
322.43,1482
324.61,1484
326.78,1543
328.95,1537
331.12,1530
333.28,1533
335.45,1572
337.62,1577
339.78,1588
341.95,1577
344.11,1621
346.27,1554
348.43,1562
350.59,1600
352.75,1602
354.91,1565
357.07,1589
359.23,1611
361.38,1605
363.54,1621
365.69,1604
367.84,1634
370,1613
372.15,1627
374.3,1621
376.45,1620
378.59,1607
380.74,1626
382.89,1688
385.03,1638
387.18,1649
389.32,1699
391.46,1687
393.6,1653
395.74,1602
397.88,1712
400.02,1710
402.16,1682
404.29,1689
406.43,1685
408.57,1661
410.7,1705
412.83,1671
414.96,1663
417.09,1682
419.22,1676
421.35,1668
423.48,1690
425.61,1712
427.73,1706
429.86,1720
431.98,1737
434.11,1655
436.23,1695
438.35,1720
440.47,1680
442.59,1722
444.71,1670
446.82,1695
448.94,1672
451.05,1672
453.17,1684
455.28,1669
457.39,1685
459.51,1690
461.62,1701
463.73,1708
465.83,1718
467.94,1674
470.05,1672
472.15,1684
474.26,1684
476.36,1714
478.47,1746
480.57,1717
482.67,1742
484.77,1744
486.87,1729
488.97,1785
491.06,1730
493.16,1795
495.25,1738
497.35,1771
499.44,1706
501.53,1729
503.62,1708
505.71,1720
507.8,1668
509.89,1627
511.98,1666
514.07,1634
516.15,1667
518.24,1612
520.32,1588
522.4,1590
524.48,1613
526.56,1647
528.64,1620
530.72,1589
532.8,1609
534.88,1600
536.95,1579
539.03,1613
541.1,1612
543.17,1592
545.24,1595
547.32,1663
549.39,1600
551.45,1636
553.52,1653
555.59,1596
557.66,1634
559.72,1590
561.78,1640
563.85,1593
565.91,1642
567.97,1623
570.03,1585
572.09,1613
574.15,1585
576.21,1629
578.26,1588
580.32,1636
582.37,1653
584.42,1615
586.48,1638
588.53,1644
590.58,1674
592.63,1648
594.68,1647
596.72,1634
598.77,1655
600.82,1666
602.86,1676
604.9,1706
606.95,1628
608.99,1653
611.03,1669
613.07,1665
615.11,1631
617.15,1638
619.18,1636
621.22,1657
623.25,1605
625.29,1639
627.32,1651
629.35,1678
631.38,1665
633.41,1656
635.44,1642
637.47,1629
639.5,1621
641.52,1610
643.55,1644
645.57,1637
647.6,1653
649.62,1648
651.64,1640
653.66,1632
655.68,1621
657.7,1623
659.71,1632
661.73,1623
663.75,1588
665.76,1668
667.77,1624
669.79,1638
671.8,1632
673.81,1602
675.82,1604
677.83,1651
679.83,1687
681.84,1657
683.84,1676
685.85,1653
687.85,1625
689.86,1619
691.86,1668
693.86,1648
695.86,1693
697.86,1638
699.85,1663
701.85,1721
703.85,1687
705.84,1705
707.84,1636
709.83,1701
711.82,1705
713.81,1691
715.8,1728
717.79,1726
719.78,1761
721.76,1777
723.75,1769
725.74,1798
727.72,1735
729.7,1735
731.68,1729
733.67,1706
735.65,1735
737.62,1731
739.6,1742
741.58,1740
743.56,1706
745.53,1724
747.51,1750
749.48,1720
751.45,1735
753.42,1718
755.39,1790
757.36,1744
759.33,1719
761.3,1714
763.26,1756
765.23,1760
767.19,1771
769.16,1765
771.12,1773
773.08,1744
775.04,1778
777,1822
778.96,1796
780.92,1808
782.87,1807
784.83,1828
786.78,1838
788.74,1849
790.69,1868
792.64,1794
794.59,1882
796.54,1846
798.49,1809
800.44,1832
802.38,1822
804.33,1813
806.27,1828
808.22,1798
810.16,1910
812.1,1811
814.04,1884
815.98,1811
817.92,1899
819.86,1870
821.8,1847
823.73,1856
825.67,1851
827.6,1849
829.53,1891
831.47,1864
833.4,1882
835.33,1900
837.26,1857
839.18,1893
841.11,1857
843.04,1870
844.96,1851
846.89,1913
848.81,1911
850.73,1879
852.65,1901
854.57,1914
856.49,1879
858.41,1874
860.33,1941
862.24,1895
864.16,1950
866.07,1941
867.99,1933
869.9,1980
871.81,1948
873.72,1944
875.63,1938
877.54,1973
879.44,1889
881.35,1926
883.26,1957
885.16,1946
887.06,1920
888.97,1912
890.87,1935
892.77,1931
894.67,1965
896.57,1889
898.46,1907
900.36,1906
902.26,1891
904.15,1912
906.04,1896
907.94,1889
909.83,1885
911.72,1908
913.61,1897
915.5,1849
917.38,1908
919.27,1927
921.16,1880
923.04,1897
924.92,1877
926.81,1857
928.69,1916
930.57,1897
932.45,1899
934.33,1847
936.2,1865
938.08,1848
939.96,1874
941.83,1811
943.71,1844
945.58,1873
947.45,1875
949.32,1822
951.19,1881
953.06,1845
954.93,1843
956.79,1847
958.66,1830
960.52,1809
962.39,1794
964.25,1789
966.11,1807
967.97,1819
969.83,1822
971.69,1851
973.55,1860
975.41,1800
977.26,1851
979.12,1866
980.97,1851
982.82,1855
984.68,1902
986.53,1838
988.38,1858
990.23,1851
992.07,1910
993.92,1893
995.77,1876
997.61,1902
999.46,1862
1001.3,1884
1003.14,1923
1004.98,1838
1006.82,1885
1008.66,1910
1010.5,1920
1012.34,1897
1014.17,1879
1016.01,1937
1017.84,1937
1019.68,1896
1021.51,1930
1023.34,1948
1025.17,1956
1027,1990
1028.83,1955
1030.65,1919
1032.48,1979
1034.31,1960
1036.13,1998
1037.95,2020
