ENLIGHTEN Version,1.7.2
Measurement ID,20190904-085911-272806-WP-00340
Serial Number,WP-00340
Label,08:59:11 WP-00340
Integration Time,500
Timestamp,59:11.3
Note,
Temperature,9.993816972
CCD C0,801.7174072
CCD C1,0.141220003
CCD C2,-5.61E-06
CCD C3,-8.54E-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785
Laser Enable,TRUE
Laser Power,100
Laser Temperature,0
Pixel Count,1024
,
Wavenumber,Processed
265.63,146
267.83,161
270.02,183
272.22,215
274.41,251
276.6,308
278.8,373
280.99,462
283.18,567
285.37,681
287.55,778
289.74,959
291.93,1083
294.11,1318
296.3,1485
298.48,1731
300.66,1969
302.84,2166
305.02,2306
307.2,2292
309.38,2279
311.56,2151
313.74,2024
315.91,1931
318.09,1848
320.26,1823
322.43,1847
324.61,1844
326.78,1864
328.95,1844
331.12,1825
333.28,1845
335.45,1830
337.62,1759
339.78,1757
341.95,1785
344.11,1801
346.27,1895
348.43,2005
350.59,2254
352.75,2346
354.91,2485
357.07,2517
359.23,2549
361.38,2454
363.54,2283
365.69,2085
367.84,1885
370,1762
372.15,1754
374.3,1729
376.45,1744
378.59,1815
380.74,1877
382.89,1844
385.03,1796
387.18,1750
389.32,1706
391.46,1644
393.6,1617
395.74,1628
397.88,1620
400.02,1670
402.16,1731
404.29,1790
406.43,1929
408.57,2127
410.7,2478
412.83,2802
414.96,3109
417.09,3346
419.22,3403
421.35,3288
423.48,3093
425.61,2842
427.73,2690
429.86,2543
431.98,2433
434.11,2351
436.23,2151
438.35,1971
440.47,1830
442.59,1704
444.71,1583
446.82,1522
448.94,1436
451.05,1438
453.17,1390
455.28,1396
457.39,1394
459.51,1364
461.62,1368
463.73,1362
465.83,1295
467.94,1322
470.05,1313
472.15,1316
474.26,1327
476.36,1364
478.47,1360
480.57,1440
482.67,1456
484.77,1493
486.87,1627
488.97,1762
491.06,1866
493.16,1948
495.25,2013
497.35,1969
499.44,1910
501.53,1745
503.62,1624
505.71,1581
507.8,1551
509.89,1611
511.98,1651
514.07,1632
516.15,1514
518.24,1396
520.32,1275
522.4,1072
524.48,990
526.56,922
528.64,884
530.72,839
532.8,845
534.88,801
536.95,808
539.03,778
541.1,799
543.17,766
545.24,762
547.32,789
549.39,769
551.45,764
553.52,787
555.59,782
557.66,768
559.72,776
561.78,795
563.85,784
565.91,781
567.97,793
570.03,831
572.09,839
574.15,917
576.21,1019
578.26,1154
580.32,1291
582.37,1415
584.42,1476
586.48,1501
588.53,1393
590.58,1335
592.63,1174
594.68,1042
596.72,953
598.77,865
600.82,845
602.86,828
604.9,801
606.95,792
608.99,759
611.03,785
613.07,795
615.11,780
617.15,802
619.18,868
621.22,955
623.25,1137
625.29,1569
627.32,2271
629.35,3215
631.38,4127
633.41,4674
635.44,4357
