ENLIGHTEN Version,1.7.2
Measurement ID,20190904-085454-219501-WP-00340
Serial Number,WP-00340
Label,08:54:54 WP-00340
Integration Time,200
Timestamp,54:54.2
Note,
Temperature,10.01085411
CCD C0,801.7174072
CCD C1,0.141220003
CCD C2,-5.61E-06
CCD C3,-8.54E-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785
Laser Enable,TRUE
Laser Power,100
Laser Temperature,0
Pixel Count,1024
,
Wavenumber,Processed
265.63,155
267.83,204
270.02,267
272.22,350
274.41,440
276.6,554
278.8,683
280.99,884
283.18,1151
285.37,1425
287.55,1718
289.74,2020
291.93,2334
294.11,2633
296.3,2903
298.48,3131
300.66,3314
302.84,3479
305.02,3550
307.2,3582
309.38,3639
311.56,3631
313.74,3672
315.91,3699
318.09,3675
320.26,3704
322.43,3729
324.61,3728
326.78,3712
328.95,3741
331.12,3769
333.28,3799
335.45,3833
337.62,3813
339.78,3835
341.95,3818
344.11,3844
346.27,3904
348.43,3883
350.59,3934
352.75,3873
354.91,3925
357.07,3951
359.23,3977
361.38,3902
363.54,3922
365.69,3898
367.84,3896
370,3915
372.15,3967
374.3,3990
376.45,3923
378.59,3941
380.74,3919
382.89,3973
385.03,4001
387.18,4020
389.32,4081
391.46,4092
393.6,4057
395.74,4058
397.88,4117
400.02,4119
402.16,4212
404.29,4195
406.43,4310
408.57,4339
410.7,4328
412.83,4414
414.96,4514
417.09,4533
419.22,4609
421.35,4667
423.48,4756
425.61,4843
427.73,4963
429.86,5013
431.98,5094
434.11,5180
436.23,5264
438.35,5350
440.47,5439
442.59,5489
444.71,5522
446.82,5538
448.94,5521
451.05,5445
453.17,5265
455.28,5221
457.39,5098
459.51,4960
461.62,4824
463.73,4691
465.83,4524
467.94,4490
470.05,4453
472.15,4372
474.26,4282
476.36,4202
478.47,4227
480.57,4114
482.67,4141
484.77,4135
486.87,4041
488.97,4084
491.06,4093
493.16,4115
495.25,4057
497.35,4048
499.44,4014
501.53,3999
503.62,3943
505.71,3902
507.8,3960
509.89,3936
511.98,3934
514.07,3922
516.15,3923
518.24,3905
520.32,3908
522.4,3908
524.48,3877
526.56,3829
528.64,3894
530.72,3875
532.8,3892
534.88,3919
536.95,3860
539.03,3880
541.1,3908
543.17,3928
545.24,3869
547.32,3920
549.39,3978
551.45,3923
553.52,3960
555.59,3938
557.66,3974
559.72,4054
561.78,4029
563.85,4047
565.91,4082
567.97,4202
570.03,4162
572.09,4206
574.15,4225
576.21,4315
578.26,4360
580.32,4393
582.37,4499
584.42,4485
586.48,4550
588.53,4666
590.58,4724
592.63,4785
594.68,4917
596.72,4988
598.77,5064
600.82,5127
602.86,5251
604.9,5285
606.95,5365
608.99,5389
611.03,5312
613.07,5193
615.11,5169
617.15,5136
619.18,5035
621.22,4914
623.25,4826
625.29,4744
627.32,4636
629.35,4623
631.38,4581
633.41,4484
635.44,4428
637.47,4371
639.5,4274
641.52,4168
643.55,4102
645.57,4033
647.6,3999
649.62,3981
651.64,3893
653.66,3900
655.68,3903
657.7,3822
659.71,3803
661.73,3862
663.75,3836
665.76,3852
667.77,3793
669.79,3835
671.8,3774
673.81,3793
675.82,3814
677.83,3732
679.83,3780
681.84,3727
683.84,3792
685.85,3746
687.85,3738
689.86,3750
691.86,3735
693.86,3719
695.86,3713
697.86,3764
699.85,3736
701.85,3738
703.85,3707
705.84,3710
707.84,3759
709.83,3727
711.82,3732
713.81,3733
715.8,3782
717.79,3679
719.78,3757
721.76,3753
723.75,3736
725.74,3763
727.72,3754
729.7,3720
731.68,3700
733.67,3693
735.65,3662
737.62,3651
739.6,3672
741.58,3613
743.56,3754
745.53,3763
747.51,3794
749.48,3742
751.45,3793
753.42,3736
755.39,3698
757.36,3710
759.33,3670
761.3,3657
763.26,3568
765.23,3658
767.19,3626
769.16,3622
771.12,3639
773.08,3611
775.04,3635
777,3702
778.96,3713
780.92,3763
782.87,3868
784.83,3896
786.78,3906
788.74,3837
790.69,3853
792.64,3725
794.59,3700
796.54,3717
798.49,3656
800.44,3637
802.38,3663
804.33,3689
806.27,3687
808.22,3672
810.16,3742
812.1,3694
814.04,3689
815.98,3795
817.92,3803
819.86,3891
821.8,3871
823.73,3913
825.67,3961
827.6,3907
829.53,3974
831.47,3973
833.4,3971
835.33,3968
837.26,3989
839.18,3985
841.11,3930
843.04,3910
844.96,3854
