ENLIGHTEN Version,1.7.2
Measurement ID,20190904-090011-179297-WP-00340
Serial Number,WP-00340
Label,09:00:11 WP-00340
Integration Time,500
Timestamp,00:11.2
Note,
Temperature,9.993816972
CCD C0,801.7174072
CCD C1,0.141220003
CCD C2,-5.61E-06
CCD C3,-8.54E-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785
Laser Enable,TRUE
Laser Power,100
Laser Temperature,0
Pixel Count,1024
,
Wavenumber,Processed
265.63,158
267.83,181
270.02,204
272.22,287
274.41,342
276.6,431
278.8,517
280.99,649
283.18,811
285.37,993
287.55,1172
289.74,1461
291.93,1653
294.11,1933
296.3,2110
298.48,2327
300.66,2549
302.84,2726
305.02,2801
307.2,2833
309.38,2873
311.56,2779
313.74,2733
315.91,2577
318.09,2597
320.26,2573
322.43,2561
324.61,2629
326.78,2625
328.95,2612
331.12,2598
333.28,2629
335.45,2570
337.62,2566
339.78,2547
341.95,2526
344.11,2583
346.27,2685
348.43,2759
350.59,2907
352.75,3053
354.91,3133
357.07,3111
359.23,3090
361.38,3088
363.54,2922
365.69,2755
367.84,2610
370,2625
372.15,2593
374.3,2565
376.45,2608
378.59,2677
380.74,2621
382.89,2743
385.03,2692
387.18,2618
389.32,2529
391.46,2480
393.6,2477
395.74,2488
397.88,2594
400.02,2608
402.16,2602
404.29,2687
406.43,2754
408.57,2921
410.7,3101
412.83,3272
414.96,3498
417.09,3635
419.22,3727
421.35,3605
423.48,3529
425.61,3373
427.73,3276
429.86,3135
431.98,3055
434.11,2964
436.23,2840
438.35,2760
440.47,2591
442.59,2568
444.71,2480
446.82,2447
448.94,2418
451.05,2404
453.17,2405
455.28,2381
457.39,2376
459.51,2386
461.62,2338
463.73,2353
465.83,2369
467.94,2373
470.05,2410
472.15,2450
474.26,2389
476.36,2424
478.47,2448
480.57,2522
482.67,2519
484.77,2562
486.87,2612
488.97,2771
491.06,2821
493.16,2962
495.25,2863
497.35,2903
499.44,2841
501.53,2812
503.62,2702
505.71,2658
507.8,2652
509.89,2686
511.98,2665
514.07,2667
516.15,2622
518.24,2585
520.32,2468
522.4,2275
524.48,2321
526.56,2258
528.64,2239
530.72,2220
532.8,2224
534.88,2150
536.95,2188
539.03,2125
541.1,2211
543.17,2167
545.24,2205
547.32,2243
549.39,2279
551.45,2209
553.52,2220
555.59,2174
557.66,2239
559.72,2307
561.78,2283
563.85,2228
565.91,2239
567.97,2305
570.03,2249
572.09,2287
574.15,2340
576.21,2353
578.26,2452
580.32,2593
582.37,2679
584.42,2694
586.48,2656
588.53,2673
590.58,2591
592.63,2505
594.68,2450
596.72,2458
598.77,2372
600.82,2342
602.86,2255
604.9,2352
606.95,2228
608.99,2283
611.03,2302
613.07,2322
615.11,2317
617.15,2387
619.18,2349
621.22,2406
623.25,2556
625.29,2823
627.32,3287
629.35,3891
631.38,4513
633.41,4794
635.44,4635
637.47,4476
639.5,3925
641.52,3297
643.55,2821
645.57,2547
647.6,2536
649.62,2532
651.64,2435
653.66,2538
655.68,2629
657.7,2720
659.71,2735
661.73,2821
663.75,2880
665.76,2979
667.77,2920
669.79,2918
671.8,2895
673.81,2793
675.82,2638
677.83,2572
679.83,2540
681.84,2521
683.84,2458
685.85,2397
687.85,2410
689.86,2386
691.86,2448
693.86,2391
695.86,2414
697.86,2461
699.85,2496
701.85,2644
703.85,2642
705.84,2741
707.84,2783
709.83,2721
711.82,2643
713.81,2554
715.8,2561
717.79,2517
719.78,2448
721.76,2488
723.75,2459
725.74,2547
727.72,2500
729.7,2465
731.68,2585
733.67,2656
735.65,2662
737.62,2737
739.6,2855
741.58,3125
743.56,3453
745.53,3953
747.51,4372
749.48,4769
751.45,5018
753.42,4828
755.39,4545
757.36,3995
759.33,3552
761.3,3223
763.26,3063
765.23,3105
767.19,2956
769.16,3059
771.12,2988
773.08,3005
775.04,3175
777,3551
778.96,4187
780.92,4948
782.87,5760
784.83,6432
786.78,6531
788.74,6095
790.69,5450
792.64,4750
794.59,4177
796.54,3822
798.49,3711
800.44,3544
802.38,3528
804.33,3511
806.27,3729
808.22,3677
810.16,4006
812.1,4301
814.04,4640
815.98,5115
817.92,5650
819.86,6158
821.8,6607
823.73,6870
825.67,7145
827.6,7149
829.53,7389
831.47,7506
833.4,7545
835.33,7585
837.26,7762
839.18,7655
841.11,7126
843.04,6746
844.96,6183
846.89,5614
848.81,5024
850.73,4589
852.65,4231
854.57,3873
856.49,3721
858.41,3570
860.33,3374
862.24,3219
864.16,3196
866.07,3078
867.99,3082
869.9,3116
871.81,3230
873.72,3325
875.63,3556
877.54,3519
879.44,3612
881.35,3756
883.26,3838
885.16,3856
887.06,3858
888.97,3780
890.87,3725
892.77,3626
894.67,3527
896.57,3364
898.46,3184
900.36,3040
902.26,2977
904.15,2884
906.04,2816
907.94,2752
909.83,2787
911.72,2869
913.61,2816
915.5,2808
917.38,2923
919.27,2932
921.16,3048
923.04,2998
924.92,2911
926.81,2880
928.69,2879
930.57,2764
932.45,2816
934.33,2981
936.2,3154
938.08,3365
939.96,3670
941.83,3957
943.71,4114
945.58,4307
947.45,4294
949.32,4419
951.19,4516
953.06,4613
954.93,4556
956.79,4317
958.66,4033
960.52,3588
962.39,3298
964.25,3069
966.11,2911
967.97,2871
969.83,2791
971.69,2742
973.55,2662
975.41,2650
977.26,2629
979.12,2650
980.97,2621
982.82,2629
984.68,2624
986.53,2739
988.38,2765
990.23,2897
992.07,3073
993.92,3424
995.77,3977
997.61,4570
999.46,5151
1001.3,5462
1003.14,5446
1004.98,5129
1006.82,4585
1008.66,3917
1010.5,3522
1012.34,3047
1014.17,2891
1016.01,2895
1017.84,2802
1019.68,2723
1021.51,2722
1023.34,2664
1025.17,2563
1027,2500
1028.83,2500
1030.65,2530
1032.48,2575
1034.31,2620
1036.13,2610
1037.95,2570
1039.77,2646
1041.6,2721
1043.42,2654
1045.24,2692
1047.05,2882
1048.87,2899
1050.69,3084
1052.5,3369
1054.32,3820
1056.13,4235
1057.94,4758
1059.75,5045
1061.56,5057
1063.37,5119
1065.18,4777
1066.99,4592
1068.8,4250
1070.6,4047
1072.41,3958
1074.21,3759
1076.01,3614
1077.81,3489
1079.61,3359
1081.41,3369
1083.21,3375
1085.01,3358
1086.81,3462
1088.6,3567
1090.4,3756
1092.19,3713
1093.98,3702
1095.77,3676
1097.56,3411
1099.35,3409
1101.14,3474
1102.93,3323
1104.72,3392
1106.5,3523
1108.29,3854
1110.07,4198
1111.85,4661
1113.63,5102
1115.41,5281
1117.19,5409
1118.97,5519
1120.75,5646
1122.53,5739
1124.3,5695
1126.08,5764
1127.85,5524
1129.62,5293
1131.39,4790
1133.17,4320
1134.93,3891
1136.7,3434
1138.47,3278
1140.24,3127
1142,2958
1143.77,3047
1145.53,2855
1147.29,2838
1149.06,2998
1150.82,2930
1152.58,2909
1154.34,2949
1156.09,3027
1157.85,3004
1159.61,3211
1161.36,3329
1163.11,3487
1164.87,3683
1166.62,4020
1168.37,4092
1170.12,4236
1171.87,4340
1173.62,4607
1175.36,5081
1177.11,6160
1178.85,7674
1180.6,8979
1182.34,10160
1184.08,10824
1185.82,10822
1187.56,10060
1189.3,9243
1191.04,7958
1192.78,6875
1194.51,6125
1196.25,5570
1197.98,5370
1199.71,5321
1201.45,5637
1203.18,5990
1204.91,6050
1206.64,5952
1208.36,5660
1210.09,5112
1211.82,4610
1213.54,4183
1215.27,3831
1216.99,3859
1218.71,3767
1220.43,3752
1222.15,3782
1223.87,3575
1225.59,3338
1227.31,3082
1229.02,2982
1230.74,2658
1232.45,2691
1234.16,2772
1235.88,2728
1237.59,2684
1239.3,2705
1241.01,2842
1242.71,2925
1244.42,3089
1246.13,3151
1247.83,3243
1249.54,3281
1251.24,3375
1252.94,3333
1254.64,3272
1256.34,3190
1258.04,3085
1259.74,3004
1261.44,2838
1263.13,2807
1264.83,2844
1266.52,2810
1268.22,2863
1269.91,2871
1271.6,2938
1273.29,3093
1274.98,3220
1276.67,3438
1278.35,3704
1280.04,3858
1281.73,4128
1283.41,4406
1285.09,4592
1286.78,5159
1288.46,5605
1290.14,6341
1291.82,6866
1293.49,6920
1295.17,6974
1296.85,6557
1298.52,5886
1300.2,5016
1301.87,4422
1303.54,4067
1305.21,3858
1306.88,3679
1308.55,3655
1310.22,3439
1311.89,3302
1313.56,3177
1315.22,3129
1316.89,3109
1318.55,3118
1320.21,3160
1321.87,3240
1323.53,3363
1325.19,3437
1326.85,3386
1328.51,3289
1330.16,3293
1331.82,3232
1333.47,3135
1335.13,3221
1336.78,3230
1338.43,3314
1340.08,3610
1341.73,3748
1343.38,3761
1345.03,3645
1346.67,3404
1348.32,3328
1349.96,3177
1351.61,2901
1353.25,2792
1354.89,2703
1356.53,2688
1358.17,2728
1359.81,2735
1361.45,2875
1363.08,2831
1364.72,2950
1366.35,3032
1367.99,3013
1369.62,2840
1371.25,2669
1372.88,2669
1374.51,2469
1376.14,2448
1377.77,2370
1379.39,2401
1381.02,2385
1382.64,2350
1384.27,2239
1385.89,2365
1387.51,2313
1389.13,2332
1390.75,2281
1392.37,2302
1393.99,2330
1395.6,2393
1397.22,2321
1398.83,2465
1400.45,2399
1402.06,2538
1403.67,2667
1405.28,2871
1406.89,3020
1408.5,3257
1410.11,3565
1411.71,3932
1413.32,4235
1414.92,4548
1416.53,4620
1418.13,4688
1419.73,4602
1421.33,4434
1422.93,4324
1424.53,4024
1426.13,4136
1427.72,4094
1429.32,4349
1430.91,4706
1432.51,5061
1434.1,5525
1435.69,5964
1437.28,6316
1438.87,6564
1440.46,6702
1442.05,6831
1443.64,6839
1445.22,6953
1446.81,6972
1448.39,7058
1449.97,6903
1451.55,6794
1453.14,6572
1454.72,6428
1456.29,6199
1457.87,6166
1459.45,6042
1461.02,6076
1462.6,5922
1464.17,5620
1465.75,5260
1467.32,4865
1468.89,4621
1470.46,4247
1472.03,3955
1473.59,3704
1475.16,3643
1476.73,3432
1478.29,3378
1479.86,3116
1481.42,2975
1482.98,2842
1484.54,2616
1486.1,2475
1487.66,2450
1489.22,2425
1490.77,2279
1492.33,2365
1493.88,2254
1495.44,2194
1496.99,2285
1498.54,2228
1500.09,2208
1501.64,2218
1503.19,2194
1504.74,2077
1506.29,2072
1507.83,2086
1509.38,2068
1510.92,2087
1512.47,2078
1514.01,2100
1515.55,2079
1517.09,2064
1518.63,1971
1520.16,1989
1521.7,1990
1523.24,2026
1524.77,1984
1526.31,2159
1527.84,2064
1529.37,1969
1530.9,2080
1532.43,2062
1533.96,2056
1535.49,2068
1537.02,2079
1538.54,2003
1540.07,2073
1541.59,2062
1543.11,2116
1544.64,2083
1546.16,2115
1547.68,2073
1549.2,1986
1550.71,2022
1552.23,1979
1553.75,1986
1555.26,1929
1556.78,2028
1558.29,1986
1559.8,1971
1561.31,1951
1562.82,2053
1564.33,2075
1565.84,2185
1567.35,2249
1568.85,2337
1570.36,2460
1571.86,2524
1573.36,2681
1574.87,2606
1576.37,2525
1577.87,2405
1579.37,2294
1580.87,2073
1582.36,2017
1583.86,1969
1585.35,2012
1586.85,1929
1588.34,1975
1589.83,1999
1591.32,2030
1592.81,2053
1594.3,2186
1595.79,2274
1597.28,2382
1598.76,2517
1600.25,2871
1601.73,3308
1603.22,3759
1604.7,4529
1606.18,5241
1607.66,6006
1609.14,6667
1610.62,6873
1612.1,6707
1613.57,6382
1615.05,5731
1616.52,4924
1617.99,4210
1619.47,3584
1620.94,3130
1622.41,2707
1623.88,2412
1625.35,2252
1626.81,2062
1628.28,2030
1629.74,1879
1631.21,1817
1632.67,1785
1634.13,1752
1635.6,1725
1637.06,1655
1638.51,1693
1639.97,1686
1641.43,1568
1642.89,1598
1644.34,1647
1645.8,1590
1647.25,1591
1648.7,1533
1650.15,1531
1651.6,1564
1653.05,1503
1654.5,1499
1655.95,1514
1657.4,1592
1658.84,1529
1660.28,1518
1661.73,1533
1663.17,1489
1664.61,1621
1666.05,1548
1667.49,1518
1668.93,1535
1670.37,1539
1671.8,1518
1673.24,1501
1674.67,1519
1676.11,1520
1677.54,1596
1678.97,1515
1680.4,1486
1681.83,1560
1683.26,1535
1684.69,1486
1686.11,1518
1687.54,1501
1688.96,1522
1690.39,1530
1691.81,1539
1693.23,1562
1694.65,1459
1696.07,1455
1697.49,1451
1698.91,1417
1700.32,1419
1701.74,1469
1703.15,1446
1704.57,1482
1705.98,1413
1707.39,1395
1708.8,1444
1710.21,1364
1711.62,1369
1713.03,1411
1714.43,1358
1715.84,1355
1717.24,1362
1718.65,1390
1720.05,1391
1721.45,1326
1722.85,1339
1724.25,1264
1725.65,1352
1727.05,1363
1728.44,1314
1729.84,1316
1731.23,1248
1732.63,1271
1734.02,1307
1735.41,1309
1736.8,1267
1738.19,1316
1739.58,1272
1740.97,1282
1742.35,1222
1743.74,1290
1745.12,1281
1746.51,1185
1747.89,1271
1749.27,1257
1750.65,1256
1752.03,1225
1753.41,1232
1754.79,1200
1756.17,1182
1757.54,1202
1758.92,1206
1760.29,1290
1761.66,1198
1763.03,1235
1764.41,1198
1765.78,1301
1767.14,1237
1768.51,1168
1769.88,1235
1771.24,1134
1772.61,1215
1773.97,1175
1775.34,1206
1776.7,1250
1778.06,1144
1779.42,1168
1780.78,1155
1782.13,1187
1783.49,1085
1784.85,1178
1786.2,1175
1787.56,1121
1788.91,1128
1790.26,1101
1791.61,1119
1792.96,1121
1794.31,1109
1795.66,1130
1797,1138
1798.35,1097
1799.69,1149
1801.04,1079
1802.38,1075
1803.72,1172
1805.06,1102
1806.4,1079
1807.74,999
1809.08,1139
1810.42,1109
1811.75,1067
1813.09,1102
1814.42,1023
1815.76,1053
1817.09,1030
1818.42,1074
1819.75,1051
1821.08,1070
1822.4,1048
1823.73,1117
1825.06,1084
1826.38,1109
1827.71,1062
1829.03,1055
1830.35,1048
1831.67,1075
1832.99,1012
1834.31,1061
1835.63,1016
1836.95,1028
1838.26,998
1839.58,1000
1840.89,983
1842.2,979
1843.52,1024
1844.83,976
1846.14,978
1847.45,999
1848.75,967
1850.06,970
1851.37,1005
1852.67,980
1853.98,1094
1855.28,1065
1856.58,1001
1857.88,999
1859.18,976
1860.48,1016
1861.78,997
1863.08,1065
1864.37,997
1865.67,974
1866.96,995
1868.26,982
1869.55,959
1870.84,966
1872.13,999
1873.42,936
1874.71,965
1875.99,1048
1877.28,966
1878.56,1001
1879.85,1002
1881.13,970
1882.41,959
1883.69,944
1884.97,949
1886.25,987
1887.53,945
1888.81,967
1890.09,884
1891.36,978
1892.63,989
1893.91,922
1895.18,985
1896.45,970
1897.72,921
1898.99,923
1900.26,894
1901.53,951
1902.79,890
1904.06,928
1905.32,879
1906.58,907
1907.85,909
1909.11,949
1910.37,907
1911.63,835
1912.89,863
1914.14,848
1915.4,808
1916.65,824
1917.91,854
1919.16,912
1920.41,860
1921.67,892
1922.92,834
1924.17,885
1925.41,871
1926.66,866
1927.91,873
1929.15,858
1930.4,864
1931.64,858
1932.88,827
1934.12,837
1935.36,858
1936.6,818
1937.84,808
1939.08,853
1940.32,789
1941.55,843
1942.79,780
1944.02,809
1945.25,799
1946.48,795
1947.71,761
1948.94,826
1950.17,826
1951.4,833
1952.62,805
1953.85,789
1955.07,764
1956.3,763
1957.52,774
1958.74,746
1959.96,759
1961.18,757
1962.4,723
1963.62,738
1964.83,755
1966.05,735
1967.26,710
1968.48,730
1969.69,744
1970.9,725
1972.11,706
1973.32,736
1974.53,713
1975.74,719
1976.94,696
1978.15,708
1979.35,742
1980.56,710
1981.76,696
1982.96,705
1984.16,679
1985.36,691
1986.56,668
1987.76,658
1988.95,683
1990.15,668
1991.34,670
1992.54,675
1993.73,670
1994.92,631
1996.11,663
1997.3,651
1998.49,643
1999.68,677
