ENLIGHTEN Version,1.7.2
Measurement ID,20190905-082427-453518-WP-00340
Serial Number,WP-00340
Label,08:24:27 WP-00340
Integration Time,1000
Timestamp,2019-09-05 08:24:27.453518
Note,
Temperature,10.010854111966182
CCD C0,801.7174072265625
CCD C1,0.14122000336647034
CCD C2,-5.609700110653648e-06
CCD C3,-8.541699791919655e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785
Laser Enable,True
Laser Power,100
Laser Temperature,0
Pixel Count,1024

Pixel,Wavelength,Wavenumber,Processed
0,801.72,265.63,830.00
1,801.86,267.83,1025.00
2,802.00,270.02,1339.00
3,802.14,272.22,1714.00
4,802.28,274.41,2205.00
5,802.42,276.60,2861.00
6,802.56,278.80,3639.00
7,802.71,280.99,4600.00
8,802.85,283.18,5797.00
9,802.99,285.37,7094.00
10,803.13,287.55,8760.00
11,803.27,289.74,10251.00
12,803.41,291.93,11864.00
13,803.55,294.11,13438.00
14,803.69,296.30,14787.00
15,803.83,298.48,15934.00
16,803.98,300.66,16916.00
17,804.12,302.84,17762.00
18,804.26,305.02,18051.00
19,804.40,307.20,18438.00
20,804.54,309.38,18498.00
21,804.68,311.56,18514.00
22,804.82,313.74,18523.00
23,804.96,315.91,18577.00
24,805.10,318.09,18702.00
25,805.24,320.26,18630.00
26,805.39,322.43,18725.00
27,805.53,324.61,18866.00
28,805.67,326.78,18995.00
29,805.81,328.95,19051.00
30,805.95,331.12,19107.00
31,806.09,333.28,19290.00
32,806.23,335.45,19240.00
33,806.37,337.62,19229.00
34,806.51,339.78,19284.00
35,806.65,341.95,19402.00
36,806.79,344.11,19563.00
37,806.93,346.27,19617.00
38,807.08,348.43,19626.00
39,807.22,350.59,19838.00
40,807.36,352.75,19849.00
41,807.50,354.91,19920.00
42,807.64,357.07,19942.00
43,807.78,359.23,19965.00
44,807.92,361.38,19977.00
45,808.06,363.54,19922.00
46,808.20,365.69,19860.00
47,808.34,367.84,19920.00
48,808.48,370.00,19801.00
49,808.62,372.15,19824.00
50,808.76,374.30,20006.00
51,808.90,376.45,19990.00
52,809.04,378.59,20051.00
53,809.19,380.74,20231.00
54,809.33,382.89,20191.00
55,809.47,385.03,20256.00
56,809.61,387.18,20446.00
57,809.75,389.32,20446.00
58,809.89,391.46,20587.00
59,810.03,393.60,20587.00
60,810.17,395.74,20697.00
61,810.31,397.88,20922.00
62,810.45,400.02,21033.00
63,810.59,402.16,21287.00
64,810.73,404.29,21394.00
65,810.87,406.43,21658.00
66,811.01,408.57,21881.00
67,811.15,410.70,22189.00
68,811.29,412.83,22537.00
69,811.43,414.96,23055.00
70,811.57,417.09,23443.00
71,811.71,419.22,23705.00
72,811.85,421.35,24055.00
73,811.99,423.48,24196.00
74,812.13,425.61,24632.00
75,812.27,427.73,25042.00
76,812.41,429.86,25499.00
77,812.55,431.98,25982.00
78,812.69,434.11,26386.00
79,812.83,436.23,26766.00
80,812.97,438.35,27278.00
81,813.11,440.47,27675.00
82,813.26,442.59,27998.00
83,813.40,444.71,28107.00
84,813.54,446.82,28076.00
85,813.68,448.94,27993.00
86,813.82,451.05,27666.00
87,813.96,453.17,27257.00
88,814.10,455.28,26677.00
89,814.24,457.39,25953.00
90,814.38,459.51,25387.00
91,814.52,461.62,24484.00
92,814.66,463.73,23943.00
93,814.80,465.83,23275.00
94,814.94,467.94,22714.00
95,815.08,470.05,22224.00
96,815.22,472.15,22075.00
97,815.36,474.26,21556.00
98,815.50,476.36,21251.00
99,815.63,478.47,21101.00
100,815.77,480.57,21078.00
101,815.91,482.67,20852.00
102,816.05,484.77,20835.00
103,816.19,486.87,20735.00
104,816.33,488.97,20577.00
105,816.47,491.06,20693.00
106,816.61,493.16,20532.00
107,816.75,495.25,20601.00
108,816.89,497.35,20517.00
109,817.03,499.44,20304.00
110,817.17,501.53,20395.00
111,817.31,503.62,20151.00
112,817.45,505.71,20030.00
113,817.59,507.80,20088.00
114,817.73,509.89,20089.00
115,817.87,511.98,19992.00
116,818.01,514.07,19895.00
117,818.15,516.15,19859.00
118,818.29,518.24,19710.00
119,818.43,520.32,19722.00
120,818.57,522.40,19702.00
121,818.71,524.48,19514.00
122,818.85,526.56,19636.00
123,818.99,528.64,19465.00
124,819.13,530.72,19417.00
125,819.27,532.80,19575.00
