ENLIGHTEN Version,1.7.2
Measurement ID,20190905-084416-429035-WP-00340
Serial Number,WP-00340
Label,08:44:16 WP-00340
Integration Time,500
Timestamp,2019-09-05 08:44:16.429035
Note,
Temperature,10.027889651658995
CCD C0,801.7174072265625
CCD C1,0.14122000336647034
CCD C2,-5.609700110653648e-06
CCD C3,-8.541699791919655e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785
Laser Enable,True
Laser Power,100
Laser Temperature,0
Pixel Count,1024

Pixel,Wavelength,Wavenumber,Processed
0,801.72,265.63,400.00
1,801.86,267.83,531.00
2,802.00,270.02,675.00
3,802.14,272.22,850.00
4,802.28,274.41,1132.00
5,802.42,276.60,1425.00
6,802.56,278.80,1828.00
7,802.71,280.99,2348.00
8,802.85,283.18,2974.00
9,802.99,285.37,3677.00
10,803.13,287.55,4446.00
11,803.27,289.74,5314.00
12,803.41,291.93,6091.00
13,803.55,294.11,6896.00
14,803.69,296.30,7613.00
15,803.83,298.48,8205.00
16,803.98,300.66,8600.00
17,804.12,302.84,8999.00
18,804.26,305.02,9242.00
19,804.40,307.20,9354.00
20,804.54,309.38,9392.00
21,804.68,311.56,9472.00
22,804.82,313.74,9489.00
23,804.96,315.91,9561.00
24,805.10,318.09,9470.00
25,805.24,320.26,9546.00
26,805.39,322.43,9634.00
27,805.53,324.61,9658.00
28,805.67,326.78,9679.00
29,805.81,328.95,9701.00
30,805.95,331.12,9725.00
31,806.09,333.28,9799.00
32,806.23,335.45,9809.00
33,806.37,337.62,9849.00
34,806.51,339.78,9890.00
35,806.65,341.95,10040.00
36,806.79,344.11,10029.00
37,806.93,346.27,9927.00
38,807.08,348.43,10092.00
39,807.22,350.59,10134.00
40,807.36,352.75,10092.00
41,807.50,354.91,10115.00
42,807.64,357.07,10137.00
43,807.78,359.23,10159.00
44,807.92,361.38,10274.00
45,808.06,363.54,10199.00
46,808.20,365.69,10098.00
47,808.34,367.84,10208.00
48,808.48,370.00,10204.00
49,808.62,372.15,10190.00
50,808.76,374.30,10191.00
51,808.90,376.45,10271.00
52,809.04,378.59,10195.00
53,809.19,380.74,10293.00
54,809.33,382.89,10360.00
55,809.47,385.03,10404.00
56,809.61,387.18,10404.00
57,809.75,389.32,10417.00
58,809.89,391.46,10493.00
59,810.03,393.60,10556.00
60,810.17,395.74,10578.00
61,810.31,397.88,10714.00
62,810.45,400.02,10832.00
63,810.59,402.16,10868.00
64,810.73,404.29,11005.00
65,810.87,406.43,10992.00
66,811.01,408.57,11230.00
67,811.15,410.70,11300.00
68,811.29,412.83,11489.00
69,811.43,414.96,11792.00
70,811.57,417.09,11991.00
71,811.71,419.22,11955.00
72,811.85,421.35,12297.00
73,811.99,423.48,12354.00
74,812.13,425.61,12500.00
75,812.27,427.73,12739.00
76,812.41,429.86,12965.00
77,812.55,431.98,13200.00
78,812.69,434.11,13326.00
79,812.83,436.23,13757.00
80,812.97,438.35,13950.00
81,813.11,440.47,14180.00
82,813.26,442.59,14233.00
83,813.40,444.71,14387.00
84,813.54,446.82,14517.00
85,813.68,448.94,14228.00
86,813.82,451.05,14091.00
87,813.96,453.17,13845.00
88,814.10,455.28,13560.00
89,814.24,457.39,13126.00
90,814.38,459.51,12883.00
91,814.52,461.62,12483.00
92,814.66,463.73,12209.00
93,814.80,465.83,11859.00
94,814.94,467.94,11612.00
95,815.08,470.05,11374.00
96,815.22,472.15,11205.00
97,815.36,474.26,11041.00
98,815.50,476.36,10885.00
99,815.63,478.47,10704.00
100,815.77,480.57,10749.00
101,815.91,482.67,10634.00
102,816.05,484.77,10568.00
103,816.19,486.87,10478.00
104,816.33,488.97,10461.00
105,816.47,491.06,10522.00
106,816.61,493.16,10484.00
107,816.75,495.25,10419.00
108,816.89,497.35,10461.00
109,817.03,499.44,10302.00
110,817.17,501.53,10298.00
111,817.31,503.62,10219.00
112,817.45,505.71,10221.00
113,817.59,507.80,10107.00
114,817.73,509.89,10223.00
115,817.87,511.98,10109.00
116,818.01,514.07,10160.00
117,818.15,516.15,10121.00
118,818.29,518.24,10016.00
119,818.43,520.32,10062.00
120,818.57,522.40,10014.00
121,818.71,524.48,9940.00
122,818.85,526.56,9976.00
123,818.99,528.64,9947.00
124,819.13,530.72,10017.00
125,819.27,532.80,9970.00
126,819.40,534.88,9888.00
127,819.54,536.95,9866.00
128,819.68,539.03,9911.00
129,819.82,541.10,9974.00
130,819.96,543.17,9990.00
131,820.10,545.24,9952.00
132,820.24,547.32,9948.00
133,820.38,549.39,10010.00
134,820.52,551.45,10106.00
135,820.66,553.52,10145.00
136,820.80,555.59,10161.00
137,820.94,557.66,10287.00
138,821.08,559.72,10261.00
139,821.22,561.78,10256.00
140,821.35,563.85,10396.00
141,821.49,565.91,10374.00
142,821.63,567.97,10573.00
143,821.77,570.03,10666.00
144,821.91,572.09,10750.00
145,822.05,574.15,10961.00
146,822.19,576.21,11050.00
147,822.33,578.26,11186.00
148,822.47,580.32,11399.00
149,822.61,582.37,11498.00
150,822.75,584.42,11639.00
151,822.88,586.48,11891.00
152,823.02,588.53,12015.00
153,823.16,590.58,12226.00
154,823.30,592.63,12396.00
155,823.44,594.68,12541.00
156,823.58,596.72,12825.00
157,823.72,598.77,12969.00
158,823.86,600.82,13256.00
159,824.00,602.86,13404.00
160,824.13,604.90,13514.00
161,824.27,606.95,13560.00
162,824.41,608.99,13683.00
163,824.55,611.03,13606.00
164,824.69,613.07,13507.00
165,824.83,615.11,13301.00
166,824.97,617.15,13120.00
167,825.10,619.18,12709.00
168,825.24,621.22,12607.00
169,825.38,623.25,12270.00
170,825.52,625.29,12063.00
171,825.66,627.32,11994.00
172,825.80,629.35,11935.00
173,825.94,631.38,11870.00
174,826.07,633.41,11730.00
175,826.21,635.44,11503.00
176,826.35,637.47,11276.00
177,826.49,639.50,11064.00
178,826.63,641.52,10652.00
179,826.77,643.55,10372.00
180,826.91,645.57,10362.00
181,827.04,647.60,10075.00
182,827.18,649.62,10029.00
183,827.32,651.64,10017.00
184,827.46,653.66,9989.00
185,827.60,655.68,9936.00
186,827.74,657.70,9875.00
187,827.87,659.71,9820.00
188,828.01,661.73,9888.00
189,828.15,663.75,9844.00
190,828.29,665.76,9799.00
191,828.43,667.77,9791.00
192,828.56,669.79,9784.00
193,828.70,671.80,9643.00
194,828.84,673.81,9671.00
195,828.98,675.82,9623.00
196,829.12,677.83,9628.00
197,829.25,679.83,9474.00
198,829.39,681.84,9449.00
199,829.53,683.84,9474.00
200,829.67,685.85,9446.00
201,829.81,687.85,9393.00
202,829.94,689.86,9453.00
203,830.08,691.86,9498.00
204,830.22,693.86,9428.00
205,830.36,695.86,9362.00
206,830.50,697.86,9373.00
207,830.63,699.85,9430.00
208,830.77,701.85,9398.00
209,830.91,703.85,9434.00
210,831.05,705.84,9407.00
211,831.18,707.84,9413.00
212,831.32,709.83,9544.00
213,831.46,711.82,9403.00
214,831.60,713.81,9407.00
215,831.74,715.80,9419.00
216,831.87,717.79,9483.00
217,832.01,719.78,9366.00
218,832.15,721.76,9461.00
219,832.29,723.75,9324.00
220,832.42,725.74,9357.00
221,832.56,727.72,9339.00
222,832.70,729.70,9293.00
223,832.84,731.68,9288.00
224,832.97,733.67,9283.00
225,833.11,735.65,9236.00
226,833.25,737.62,9207.00
227,833.39,739.60,9189.00
228,833.52,741.58,9263.00
229,833.66,743.56,9411.00
230,833.80,745.53,9504.00
231,833.93,747.51,9542.00
232,834.07,749.48,9607.00
233,834.21,751.45,9735.00
234,834.35,753.42,9703.00
235,834.48,755.39,9538.00
236,834.62,757.36,9460.00
237,834.76,759.33,9340.00
238,834.89,761.30,9185.00
239,835.03,763.26,9107.00
240,835.17,765.23,9070.00
241,835.31,767.19,9132.00
242,835.44,769.16,9065.00
243,835.58,771.12,9068.00
244,835.72,773.08,9059.00
245,835.85,775.04,9219.00
246,835.99,777.00,9192.00
247,836.13,778.96,9337.00
248,836.26,780.92,9550.00
249,836.40,782.87,9761.00
250,836.54,784.83,10054.00
251,836.68,786.78,10111.00
252,836.81,788.74,10022.00
253,836.95,790.69,9753.00
254,837.09,792.64,9639.00
255,837.22,794.59,9402.00
256,837.36,796.54,9344.00
257,837.50,798.49,9272.00
258,837.63,800.44,9209.00
259,837.77,802.38,9275.00
260,837.91,804.33,9343.00
261,838.04,806.27,9323.00
262,838.18,808.22,9268.00
263,838.31,810.16,9270.00
264,838.45,812.10,9392.00
265,838.59,814.04,9464.00
266,838.72,815.98,9586.00
267,838.86,817.92,9809.00
268,839.00,819.86,9896.00
269,839.13,821.80,9976.00
270,839.27,823.73,10146.00
271,839.41,825.67,10172.00
272,839.54,827.60,10155.00
273,839.68,829.53,10233.00
274,839.81,831.47,10263.00
275,839.95,833.40,10313.00
276,840.09,835.33,10362.00
277,840.22,837.26,10361.00
278,840.36,839.18,10317.00
279,840.50,841.11,10197.00
280,840.63,843.04,10104.00
281,840.77,844.96,9949.00
282,840.90,846.89,9756.00
283,841.04,848.81,9580.00
284,841.18,850.73,9596.00
285,841.31,852.65,9453.00
286,841.45,854.57,9300.00
287,841.58,856.49,9262.00
288,841.72,858.41,9249.00
289,841.86,860.33,9152.00
290,841.99,862.24,9108.00
291,842.13,864.16,9173.00
292,842.26,866.07,9166.00
293,842.40,867.99,9065.00
294,842.53,869.90,9086.00
295,842.67,871.81,9091.00
296,842.81,873.72,9103.00
297,842.94,875.63,9097.00
298,843.08,877.54,9212.00
299,843.21,879.44,9185.00
300,843.35,881.35,9159.00
301,843.48,883.26,9242.00
302,843.62,885.16,9215.00
303,843.75,887.06,9263.00
304,843.89,888.97,9236.00
305,844.03,890.87,9130.00
306,844.16,892.77,9002.00
307,844.30,894.67,8924.00
308,844.43,896.57,8945.00
309,844.57,898.46,8781.00
310,844.70,900.36,8756.00
311,844.84,902.26,8669.00
312,844.97,904.15,8665.00
313,845.11,906.04,8671.00
314,845.24,907.94,8505.00
315,845.38,909.83,8469.00
316,845.51,911.72,8522.00
317,845.65,913.61,8507.00
318,845.78,915.50,8505.00
319,845.92,917.38,8634.00
320,846.05,919.27,8577.00
321,846.19,921.16,8557.00
322,846.32,923.04,8576.00
323,846.46,924.92,8530.00
324,846.59,926.81,8467.00
325,846.73,928.69,8523.00
326,846.86,930.57,8471.00
327,847.00,932.45,8404.00
328,847.13,934.33,8467.00
329,847.27,936.20,8521.00
330,847.40,938.08,8423.00
331,847.54,939.96,8553.00
332,847.67,941.83,8625.00
333,847.81,943.71,8671.00
334,847.94,945.58,8685.00
335,848.08,947.45,8731.00
336,848.21,949.32,8645.00
