ENLIGHTEN Version,1.7.2
Measurement ID,20190905-084340-647028-WP-00340
Serial Number,WP-00340
Label,08:43:40 WP-00340
Integration Time,500
Timestamp,2019-09-05 08:43:40.647028
Note,
Temperature,10.04492359135179
CCD C0,801.7174072265625
CCD C1,0.14122000336647034
CCD C2,-5.609700110653648e-06
CCD C3,-8.541699791919655e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785
Laser Enable,True
Laser Power,100
Laser Temperature,0
Pixel Count,1024

Pixel,Wavelength,Wavenumber,Processed
0,801.72,265.63,424.00
1,801.86,267.83,538.00
2,802.00,270.02,673.00
3,802.14,272.22,829.00
4,802.28,274.41,1116.00
5,802.42,276.60,1434.00
6,802.56,278.80,1815.00
7,802.71,280.99,2298.00
8,802.85,283.18,2907.00
9,802.99,285.37,3588.00
10,803.13,287.55,4383.00
11,803.27,289.74,5174.00
12,803.41,291.93,5988.00
13,803.55,294.11,6845.00
14,803.69,296.30,7503.00
15,803.83,298.48,8030.00
16,803.98,300.66,8589.00
17,804.12,302.84,8889.00
18,804.26,305.02,9143.00
19,804.40,307.20,9253.00
20,804.54,309.38,9238.00
21,804.68,311.56,9365.00
22,804.82,313.74,9325.00
23,804.96,315.91,9376.00
24,805.10,318.09,9472.00
25,805.24,320.26,9394.00
26,805.39,322.43,9451.00
27,805.53,324.61,9495.00
28,805.67,326.78,9529.00
29,805.81,328.95,9607.00
30,805.95,331.12,9685.00
31,806.09,333.28,9686.00
32,806.23,335.45,9736.00
33,806.37,337.62,9814.00
34,806.51,339.78,9809.00
35,806.65,341.95,9894.00
36,806.79,344.11,9791.00
37,806.93,346.27,9881.00
38,807.08,348.43,9953.00
39,807.22,350.59,9934.00
40,807.36,352.75,9996.00
41,807.50,354.91,10048.00
42,807.64,357.07,10054.00
43,807.78,359.23,10059.00
44,807.92,361.38,10090.00
45,808.06,363.54,10016.00
46,808.20,365.69,10061.00
47,808.34,367.84,9962.00
48,808.48,370.00,9989.00
49,808.62,372.15,10000.00
50,808.76,374.30,10046.00
51,808.90,376.45,10100.00
52,809.04,378.59,10181.00
53,809.19,380.74,10184.00
54,809.33,382.89,10250.00
55,809.47,385.03,10231.00
56,809.61,387.18,10292.00
57,809.75,389.32,10248.00
58,809.89,391.46,10389.00
59,810.03,393.60,10406.00
60,810.17,395.74,10473.00
61,810.31,397.88,10492.00
62,810.45,400.02,10516.00
63,810.59,402.16,10739.00
64,810.73,404.29,10732.00
65,810.87,406.43,10944.00
66,811.01,408.57,10956.00
67,811.15,410.70,11195.00
68,811.29,412.83,11380.00
69,811.43,414.96,11528.00
70,811.57,417.09,11737.00
71,811.71,419.22,11838.00
72,811.85,421.35,12066.00
73,811.99,423.48,12248.00
74,812.13,425.61,12444.00
75,812.27,427.73,12647.00
76,812.41,429.86,12776.00
77,812.55,431.98,13018.00
78,812.69,434.11,13242.00
79,812.83,436.23,13418.00
80,812.97,438.35,13638.00
81,813.11,440.47,13814.00
82,813.26,442.59,14014.00
83,813.40,444.71,14019.00
84,813.54,446.82,14138.00
85,813.68,448.94,14024.00
86,813.82,451.05,13874.00
87,813.96,453.17,13596.00
88,814.10,455.28,13293.00
89,814.24,457.39,13054.00
90,814.38,459.51,12748.00
91,814.52,461.62,12300.00
92,814.66,463.73,12010.00
93,814.80,465.83,11686.00
94,814.94,467.94,11471.00
95,815.08,470.05,11171.00
96,815.22,472.15,10967.00
97,815.36,474.26,10843.00
98,815.50,476.36,10799.00
99,815.63,478.47,10680.00
100,815.77,480.57,10602.00
101,815.91,482.67,10475.00
102,816.05,484.77,10343.00
103,816.19,486.87,10431.00
104,816.33,488.97,10410.00
105,816.47,491.06,10400.00
106,816.61,493.16,10324.00
107,816.75,495.25,10431.00
108,816.89,497.35,10345.00
109,817.03,499.44,10225.00
110,817.17,501.53,10233.00
111,817.31,503.62,10109.00
112,817.45,505.71,10135.00
113,817.59,507.80,10138.00
114,817.73,509.89,10109.00
115,817.87,511.98,10105.00
116,818.01,514.07,10168.00
117,818.15,516.15,10039.00
118,818.29,518.24,9928.00
119,818.43,520.32,9962.00
120,818.57,522.40,9919.00
121,818.71,524.48,9871.00
122,818.85,526.56,9837.00
123,818.99,528.64,9877.00
124,819.13,530.72,9785.00
125,819.27,532.80,9907.00
126,819.40,534.88,9862.00
127,819.54,536.95,9877.00
128,819.68,539.03,9853.00
129,819.82,541.10,9837.00
130,819.96,543.17,9952.00
131,820.10,545.24,9929.00
132,820.24,547.32,9972.00
133,820.38,549.39,9951.00
134,820.52,551.45,9976.00
135,820.66,553.52,10117.00
136,820.80,555.59,10090.00
137,820.94,557.66,10101.00
138,821.08,559.72,10182.00
139,821.22,561.78,10197.00
140,821.35,563.85,10296.00
141,821.49,565.91,10375.00
142,821.63,567.97,10442.00
143,821.77,570.03,10568.00
144,821.91,572.09,10614.00
145,822.05,574.15,10722.00
146,822.19,576.21,10902.00
147,822.33,578.26,11064.00
148,822.47,580.32,11203.00
149,822.61,582.37,11382.00
150,822.75,584.42,11489.00
151,822.88,586.48,11671.00
152,823.02,588.53,11841.00
153,823.16,590.58,11991.00
154,823.30,592.63,12243.00
155,823.44,594.68,12384.00
156,823.58,596.72,12639.00
157,823.72,598.77,12795.00
158,823.86,600.82,12974.00
159,824.00,602.86,13286.00
160,824.13,604.90,13389.00
161,824.27,606.95,13396.00
162,824.41,608.99,13492.00
163,824.55,611.03,13407.00
164,824.69,613.07,13297.00
165,824.83,615.11,13168.00
166,824.97,617.15,12861.00
167,825.10,619.18,12700.00
168,825.24,621.22,12420.00
169,825.38,623.25,12161.00
170,825.52,625.29,12023.00
171,825.66,627.32,11884.00
172,825.80,629.35,11798.00
173,825.94,631.38,11789.00
174,826.07,633.41,11635.00
175,826.21,635.44,11380.00
176,826.35,637.47,11125.00
177,826.49,639.50,10864.00
178,826.63,641.52,10643.00
179,826.77,643.55,10354.00
180,826.91,645.57,10219.00
181,827.04,647.60,10083.00
182,827.18,649.62,9997.00
183,827.32,651.64,9927.00
184,827.46,653.66,9849.00
185,827.60,655.68,9818.00
186,827.74,657.70,9830.00
187,827.87,659.71,9742.00
188,828.01,661.73,9774.00
189,828.15,663.75,9789.00
190,828.29,665.76,9786.00
191,828.43,667.77,9725.00
192,828.56,669.79,9713.00
193,828.70,671.80,9630.00
194,828.84,673.81,9614.00
195,828.98,675.82,9510.00
196,829.12,677.83,9610.00
197,829.25,679.83,9546.00
198,829.39,681.84,9438.00
199,829.53,683.84,9387.00
200,829.67,685.85,9438.00
201,829.81,687.85,9452.00
202,829.94,689.86,9388.00
203,830.08,691.86,9335.00
204,830.22,693.86,9431.00
205,830.36,695.86,9401.00
206,830.50,697.86,9402.00
207,830.63,699.85,9425.00
208,830.77,701.85,9369.00
209,830.91,703.85,9449.00
210,831.05,705.84,9466.00
211,831.18,707.84,9413.00
212,831.32,709.83,9436.00
213,831.46,711.82,9373.00
214,831.60,713.81,9348.00
215,831.74,715.80,9400.00
216,831.87,717.79,9464.00
217,832.01,719.78,9361.00
218,832.15,721.76,9397.00
219,832.29,723.75,9380.00
220,832.42,725.74,9346.00
221,832.56,727.72,9388.00
222,832.70,729.70,9276.00
223,832.84,731.68,9238.00
224,832.97,733.67,9271.00
225,833.11,735.65,9154.00
226,833.25,737.62,9156.00
227,833.39,739.60,9215.00
228,833.52,741.58,9285.00
229,833.66,743.56,9327.00
230,833.80,745.53,9455.00
231,833.93,747.51,9668.00
232,834.07,749.48,9685.00
233,834.21,751.45,9802.00
234,834.35,753.42,9683.00
235,834.48,755.39,9641.00
236,834.62,757.36,9403.00
237,834.76,759.33,9242.00
238,834.89,761.30,9133.00
239,835.03,763.26,9098.00
240,835.17,765.23,9076.00
241,835.31,767.19,9044.00
242,835.44,769.16,9082.00
243,835.58,771.12,9014.00
244,835.72,773.08,9053.00
245,835.85,775.04,9114.00
246,835.99,777.00,9200.00
247,836.13,778.96,9401.00
248,836.26,780.92,9692.00
249,836.40,782.87,9969.00
250,836.54,784.83,10055.00
251,836.68,786.78,10251.00
252,836.81,788.74,9963.00
253,836.95,790.69,9833.00
254,837.09,792.64,9698.00
255,837.22,794.59,9406.00
256,837.36,796.54,9322.00
257,837.50,798.49,9238.00
258,837.63,800.44,9262.00
259,837.77,802.38,9254.00
260,837.91,804.33,9248.00
261,838.04,806.27,9242.00
262,838.18,808.22,9274.00
263,838.31,810.16,9331.00
264,838.45,812.10,9409.00
265,838.59,814.04,9528.00
266,838.72,815.98,9694.00
267,838.86,817.92,9795.00
268,839.00,819.86,9936.00
269,839.13,821.80,10157.00
270,839.27,823.73,10254.00
271,839.41,825.67,10231.00
272,839.54,827.60,10240.00
273,839.68,829.53,10368.00
274,839.81,831.47,10423.00
275,839.95,833.40,10464.00
276,840.09,835.33,10506.00
277,840.22,837.26,10489.00
278,840.36,839.18,10434.00
279,840.50,841.11,10393.00
280,840.63,843.04,10202.00
281,840.77,844.96,10111.00
282,840.90,846.89,9856.00
283,841.04,848.81,9698.00
284,841.18,850.73,9592.00
285,841.31,852.65,9420.00
286,841.45,854.57,9319.00
