ENLIGHTEN Version,1.7.2
Measurement ID,20190905-083932-737261-WP-00340
Serial Number,WP-00340
Label,08:39:32 WP-00340
Integration Time,500
Timestamp,2019-09-05 08:39:32.737261
Note,
Temperature,9.99381697227335
CCD C0,801.7174072265625
CCD C1,0.14122000336647034
CCD C2,-5.609700110653648e-06
CCD C3,-8.541699791919655e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785
Laser Enable,True
Laser Power,100
Laser Temperature,0
Pixel Count,1024

Pixel,Wavelength,Wavenumber,Processed
0,801.72,265.63,719.00
1,801.86,267.83,887.00
2,802.00,270.02,1152.00
3,802.14,272.22,1472.00
4,802.28,274.41,1910.00
5,802.42,276.60,2482.00
6,802.56,278.80,3143.00
7,802.71,280.99,4058.00
8,802.85,283.18,5127.00
9,802.99,285.37,6272.00
10,803.13,287.55,7729.00
11,803.27,289.74,9074.00
12,803.41,291.93,10464.00
13,803.55,294.11,11781.00
14,803.69,296.30,12997.00
15,803.83,298.48,13989.00
16,803.98,300.66,14663.00
17,804.12,302.84,15333.00
18,804.26,305.02,15673.00
19,804.40,307.20,15983.00
20,804.54,309.38,16168.00
21,804.68,311.56,16239.00
22,804.82,313.74,16212.00
23,804.96,315.91,16260.00
24,805.10,318.09,16290.00
25,805.24,320.26,16184.00
26,805.39,322.43,16311.00
27,805.53,324.61,16410.00
28,805.67,326.78,16411.00
29,805.81,328.95,16495.00
30,805.95,331.12,16579.00
31,806.09,333.28,16634.00
32,806.23,335.45,16683.00
33,806.37,337.62,16700.00
34,806.51,339.78,16636.00
35,806.65,341.95,16752.00
36,806.79,344.11,16699.00
37,806.93,346.27,16834.00
38,807.08,348.43,16880.00
39,807.22,350.59,16876.00
40,807.36,352.75,16818.00
41,807.50,354.91,16885.00
42,807.64,357.07,16885.00
43,807.78,359.23,16887.00
44,807.92,361.38,16940.00
45,808.06,363.54,16864.00
46,808.20,365.69,16837.00
47,808.34,367.84,16727.00
48,808.48,370.00,16672.00
49,808.62,372.15,16785.00
50,808.76,374.30,16745.00
51,808.90,376.45,16921.00
52,809.04,378.59,16880.00
53,809.19,380.74,17021.00
54,809.33,382.89,17022.00
55,809.47,385.03,17094.00
56,809.61,387.18,17097.00
57,809.75,389.32,17094.00
58,809.89,391.46,17182.00
59,810.03,393.60,17161.00
60,810.17,395.74,17232.00
61,810.31,397.88,17340.00
62,810.45,400.02,17426.00
63,810.59,402.16,17608.00
64,810.73,404.29,17771.00
65,810.87,406.43,17872.00
66,811.01,408.57,18022.00
67,811.15,410.70,18116.00
68,811.29,412.83,18338.00
69,811.43,414.96,18625.00
70,811.57,417.09,18942.00
71,811.71,419.22,19092.00
72,811.85,421.35,19447.00
73,811.99,423.48,19387.00
74,812.13,425.61,19840.00
75,812.27,427.73,20097.00
76,812.41,429.86,20366.00
77,812.55,431.98,20747.00
78,812.69,434.11,20858.00
79,812.83,436.23,21238.00
80,812.97,438.35,21742.00
81,813.11,440.47,21827.00
82,813.26,442.59,22033.00
83,813.40,444.71,22159.00
84,813.54,446.82,22273.00
85,813.68,448.94,22192.00
86,813.82,451.05,21889.00
87,813.96,453.17,21635.00
88,814.10,455.28,21255.00
89,814.24,457.39,20771.00
90,814.38,459.51,20163.00
91,814.52,461.62,19748.00
92,814.66,463.73,19351.00
93,814.80,465.83,18965.00
94,814.94,467.94,18614.00
95,815.08,470.05,18188.00
96,815.22,472.15,18107.00
97,815.36,474.26,17770.00
98,815.50,476.36,17621.00
99,815.63,478.47,17340.00
100,815.77,480.57,17309.00
101,815.91,482.67,17301.00
102,816.05,484.77,17155.00
103,816.19,486.87,17222.00
104,816.33,488.97,17108.00
105,816.47,491.06,17115.00
106,816.61,493.16,17092.00
107,816.75,495.25,17051.00
108,816.89,497.35,17087.00
109,817.03,499.44,17055.00
110,817.17,501.53,16985.00
111,817.31,503.62,17053.00
112,817.45,505.71,17035.00
113,817.59,507.80,16940.00
