ENLIGHTEN Version,1.7.2
Measurement ID,20190716-203352-180384-WP-00340
Serial Number,WP-00340
Label,Acetone
Integration Time,100
Timestamp,2019-07-16 20:33:52.180384
Note,
Temperature,-99
CCD C0,801.7174072265625
CCD C1,0.14122000336647034
CCD C2,-5.609700110653648e-06
CCD C3,-8.541699791919655e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
265.63,32.00
267.83,40.80
270.02,57.00
272.22,61.40
274.41,76.40
276.60,106.60
278.80,125.60
280.99,160.80
283.18,200.20
285.37,244.40
287.55,296.60
289.74,349.60
291.93,399.00
294.11,461.40
296.30,500.60
298.48,538.40
300.66,567.00
302.84,585.60
305.02,592.60
307.20,609.40
309.38,607.80
311.56,615.20
313.74,608.80
315.91,602.60
318.09,605.60
320.26,606.20
322.43,604.00
324.61,605.00
326.78,605.40
328.95,608.00
331.12,610.40
333.28,611.60
335.45,615.00
337.62,617.20
339.78,630.40
341.95,634.60
344.11,643.20
346.27,641.80
348.43,654.00
350.59,664.60
352.75,674.00
354.91,695.00
357.07,712.00
359.23,728.20
361.38,753.20
363.54,774.20
365.69,819.00
367.84,867.80
370.00,922.60
372.15,997.40
374.30,1079.40
376.45,1195.40
378.59,1295.60
380.74,1461.80
382.89,1616.60
385.03,1760.80
387.18,1913.00
389.32,1969.80
391.46,1992.20
393.60,1915.80
395.74,1777.60
397.88,1609.60
400.02,1421.20
402.16,1249.00
404.29,1113.00
406.43,999.20
408.57,908.40
410.70,835.00
412.83,772.00
414.96,736.00
417.09,703.60
419.22,677.40
421.35,653.00
423.48,645.20
425.61,622.20
427.73,617.60
429.86,613.60
431.98,594.20
434.11,591.60
436.23,587.00
438.35,585.80
440.47,580.20
442.59,586.00
444.71,569.60
446.82,577.20
448.94,590.40
451.05,579.40
453.17,607.60
455.28,617.20
457.39,633.60
459.51,643.00
461.62,665.00
463.73,684.40
465.83,715.20
467.94,733.80
470.05,788.00
472.15,853.80
474.26,932.40
476.36,1035.20
478.47,1146.80
480.57,1283.80
482.67,1460.20
484.77,1656.80
486.87,1798.20
488.97,1929.60
491.06,1978.80
493.16,1976.00
495.25,1911.20
497.35,1821.20
499.44,1724.40
501.53,1646.40
503.62,1615.20
505.71,1619.20
507.80,1645.20
509.89,1699.60
511.98,1818.40
514.07,1991.40
516.15,2233.20
518.24,2572.20
520.32,3046.20
522.40,3612.00
524.48,4171.00
526.56,4677.20
528.64,4946.00
530.72,4897.20
532.80,4584.60
534.88,4010.00
536.95,3343.80
539.03,2758.20
541.10,2223.60
543.17,1832.40
545.24,1539.60
547.32,1315.00
549.39,1166.80
551.45,1026.80
553.52,935.60
555.59,857.40
557.66,783.00
559.72,723.80
561.78,664.20
563.85,631.80
565.91,584.00
567.97,553.80
570.03,526.40
572.09,500.40
574.15,475.20
576.21,455.00
578.26,436.40
580.32,419.40
582.37,393.00
584.42,376.40
586.48,365.20
588.53,340.40
590.58,327.00
592.63,315.00
594.68,307.60
596.72,298.60
598.77,288.40
600.82,278.40
602.86,268.20
604.90,267.60
606.95,265.40
608.99,255.40
611.03,248.80
613.07,252.20
615.11,243.40
617.15,257.40
619.18,245.60
621.22,248.00
623.25,244.80
625.29,256.00
627.32,263.40
629.35,268.40
631.38,277.00
633.41,286.60
635.44,280.60
637.47,275.00
639.50,251.00
641.52,236.40
643.55,229.60
645.57,222.80
647.60,213.20
649.62,198.40
651.64,211.40
653.66,202.20
655.68,196.00
657.70,193.40
659.71,195.40
661.73,195.00
663.75,194.40
665.76,200.40
667.77,199.00
669.79,194.40
671.80,199.00
673.81,202.80
675.82,206.60
677.83,212.00
679.83,222.80
681.84,228.00
683.84,238.20
685.85,251.00
687.85,277.80
689.86,282.20
691.86,289.60
693.86,288.20
695.86,283.40
697.86,285.40
699.85,291.40
701.85,284.20
703.85,290.60
705.84,298.60
707.84,318.80
709.83,322.00
711.82,335.40
713.81,347.60
715.80,364.20
717.79,410.20
719.78,430.00
721.76,463.60
723.75,498.60
725.74,522.40
727.72,553.40
729.70,574.80
