ENLIGHTEN Version,1.7.2
Measurement ID,20190716-204352-340737-WP-00340
Serial Number,WP-00340
Label,Acetone 4mm HDPE
Integration Time,2000
Timestamp,2019-07-16 20:43:52.340737
Note,
Temperature,-99
CCD C0,801.7174072265625
CCD C1,0.14122000336647034
CCD C2,-5.609700110653648e-06
CCD C3,-8.541699791919655e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
265.63,297.00
267.83,367.00
270.02,458.00
272.22,548.00
274.41,732.00
276.60,889.00
278.80,1139.00
280.99,1466.00
283.18,1867.00
285.37,2230.00
287.55,2709.00
289.74,3154.00
291.93,3689.00
294.11,4124.00
296.30,4518.00
298.48,4796.00
300.66,5104.00
302.84,5351.00
305.02,5365.00
307.20,5498.00
309.38,5528.00
311.56,5595.00
313.74,5557.00
315.91,5610.00
318.09,5602.00
320.26,5640.00
322.43,5572.00
324.61,5638.00
326.78,5653.00
328.95,5702.00
331.12,5751.00
333.28,5834.00
335.45,5745.00
337.62,5785.00
339.78,5853.00
341.95,5836.00
344.11,5838.00
346.27,5922.00
348.43,5880.00
350.59,5948.00
352.75,5903.00
354.91,5850.00
357.07,5846.00
359.23,5842.00
361.38,5892.00
363.54,5964.00
365.69,5948.00
367.84,5930.00
370.00,5933.00
372.15,5977.00
374.30,5937.00
376.45,5964.00
378.59,6004.00
380.74,5951.00
382.89,6074.00
385.03,6076.00
387.18,6103.00
389.32,6090.00
391.46,6104.00
393.60,6179.00
395.74,6141.00
397.88,6120.00
400.02,6192.00
402.16,6146.00
404.29,6125.00
406.43,6162.00
408.57,6173.00
410.70,6236.00
412.83,6178.00
414.96,6189.00
417.09,6120.00
419.22,6080.00
421.35,6131.00
423.48,6188.00
425.61,6101.00
427.73,6118.00
429.86,6071.00
431.98,6093.00
434.11,6063.00
436.23,6120.00
438.35,6111.00
440.47,6027.00
442.59,6163.00
444.71,6080.00
446.82,6150.00
448.94,6140.00
451.05,6158.00
453.17,6067.00
455.28,6054.00
457.39,6068.00
459.51,6084.00
461.62,6053.00
463.73,6143.00
465.83,6131.00
467.94,6120.00
470.05,6047.00
472.15,6155.00
474.26,6124.00
476.36,6150.00
478.47,6118.00
480.57,6229.00
482.67,6215.00
484.77,6183.00
486.87,6103.00
488.97,6196.00
491.06,6209.00
493.16,6120.00
495.25,6067.00
497.35,6032.00
499.44,5948.00
501.53,5962.00
503.62,5894.00
505.71,5836.00
507.80,5855.00
509.89,5722.00
511.98,5688.00
514.07,5675.00
516.15,5638.00
518.24,5646.00
520.32,5633.00
522.40,5587.00
524.48,5610.00
526.56,5578.00
528.64,5572.00
530.72,5587.00
532.80,5612.00
534.88,5569.00
536.95,5537.00
539.03,5523.00
541.10,5547.00
543.17,5433.00
545.24,5529.00
547.32,5433.00
549.39,5478.00
551.45,5420.00
553.52,5460.00
555.59,5475.00
557.66,5429.00
559.72,5416.00
561.78,5439.00
563.85,5414.00
565.91,5418.00
567.97,5397.00
570.03,5421.00
572.09,5407.00
574.15,5401.00
576.21,5393.00
578.26,5359.00
580.32,5376.00
582.37,5439.00
584.42,5362.00
586.48,5390.00
588.53,5472.00
590.58,5399.00
592.63,5401.00
594.68,5391.00
596.72,5429.00
598.77,5458.00
600.82,5452.00
602.86,5422.00
604.90,5414.00
606.95,5336.00
608.99,5326.00
611.03,5371.00
613.07,5254.00
615.11,5300.00
617.15,5306.00
619.18,5270.00
621.22,5308.00
623.25,5247.00
625.29,5210.00
627.32,5273.00
629.35,5199.00
631.38,5272.00
633.41,5241.00
635.44,5205.00
637.47,5169.00
639.50,5226.00
641.52,5195.00
643.55,5252.00
645.57,5205.00
647.60,5197.00
649.62,5216.00
651.64,5226.00
653.66,5136.00
655.68,5266.00
657.70,5163.00
659.71,5175.00
661.73,5161.00
663.75,5182.00
665.76,5176.00
667.77,5184.00
669.79,5198.00
671.80,5182.00
673.81,5192.00
675.82,5138.00
677.83,5214.00
679.83,5206.00
681.84,5226.00
683.84,5186.00
685.85,5188.00
687.85,5204.00
689.86,5249.00
691.86,5252.00
693.86,5222.00
695.86,5286.00
697.86,5232.00
699.85,5246.00
701.85,5317.00
703.85,5251.00
705.84,5338.00
707.84,5289.00
709.83,5336.00
711.82,5404.00
713.81,5359.00
715.80,5508.00
717.79,5530.00
719.78,5572.00
721.76,5507.00
723.75,5567.00
725.74,5541.00
727.72,5460.00
729.70,5461.00
731.68,5519.00
733.67,5439.00
735.65,5382.00
737.62,5425.00
739.60,5473.00
741.58,5466.00
743.56,5452.00
745.53,5425.00
747.51,5419.00
749.48,5428.00
751.45,5403.00
753.42,5466.00
755.39,5439.00
757.36,5436.00
759.33,5384.00
761.30,5369.00
763.26,5432.00
765.23,5515.00
767.19,5492.00
769.16,5561.00
771.12,5639.00
773.08,5713.00
775.04,5720.00
777.00,5781.00
778.96,5921.00
780.92,6036.00
782.87,6137.00
784.83,6253.00
786.78,6278.00
788.74,6274.00
790.69,6194.00
792.64,6078.00
794.59,6012.00
796.54,5892.00
798.49,5813.00
800.44,5820.00
802.38,5793.00
804.33,5767.00
806.27,5823.00
808.22,5783.00
810.16,5791.00
812.10,5730.00
814.04,5679.00
815.98,5695.00
817.92,5715.00
819.86,5682.00
821.80,5740.00
823.73,5745.00
825.67,5745.00
827.60,5726.00
829.53,5758.00
831.47,5785.00
833.40,5799.00
835.33,5812.00
837.26,5769.00
839.18,5885.00
841.11,5828.00
843.04,5874.00
844.96,5893.00
846.89,5808.00
848.81,5905.00
850.73,5899.00
852.65,5891.00
854.57,5860.00
856.49,5928.00
858.41,5954.00
860.33,5927.00
862.24,5918.00
864.16,5929.00
866.07,5934.00
867.99,5886.00
869.90,5986.00
871.81,5951.00
873.72,5939.00
875.63,5987.00
877.54,5823.00
879.44,5967.00
881.35,5903.00
883.26,5903.00
885.16,5915.00
887.06,5868.00
888.97,5905.00
890.87,5818.00
892.77,5924.00
894.67,5880.00
896.57,5859.00
898.46,5772.00
900.36,5792.00
902.26,5681.00
904.15,5732.00
906.04,5684.00
907.94,5619.00
909.83,5703.00
911.72,5599.00
913.61,5572.00
915.50,5614.00
917.38,5547.00
919.27,5538.00
921.16,5564.00
923.04,5578.00
924.92,5519.00
926.81,5467.00
928.69,5470.00
930.57,5532.00
932.45,5414.00
934.33,5418.00
936.20,5399.00
938.08,5414.00
939.96,5359.00
941.83,5401.00
943.71,5334.00
945.58,5260.00
947.45,5243.00
949.32,5224.00
951.19,5244.00
953.06,5223.00
954.93,5195.00
956.79,5275.00
958.66,5236.00
960.52,5302.00
962.39,5231.00
964.25,5159.00
966.11,5214.00
967.97,5266.00
969.83,5241.00
971.69,5206.00
973.55,5166.00
975.41,5224.00
977.26,5210.00
979.12,5247.00
980.97,5166.00
982.82,5218.00
984.68,5254.00
986.53,5241.00
988.38,5219.00
990.23,5224.00
992.07,5275.00
993.92,5249.00
995.77,5283.00
997.61,5319.00
999.46,5252.00
1001.30,5331.00
1003.14,5336.00
1004.98,5369.00
1006.82,5359.00
1008.66,5363.00
1010.50,5469.00
1012.34,5412.00
1014.17,5422.00
1016.01,5475.00
1017.84,5471.00
1019.68,5508.00
1021.51,5585.00
1023.34,5443.00
1025.17,5568.00
1027.00,5677.00
1028.83,5696.00
1030.65,5619.00
1032.48,5690.00
1034.31,5758.00
1036.13,5761.00
1037.95,5821.00
1039.77,5897.00
1041.60,5973.00
1043.42,6188.00
1045.24,6445.00
1047.05,6691.00
1048.87,7242.00
1050.69,7923.00
1052.50,9451.00
1054.32,11764.00
1056.13,14580.00
1057.94,17690.00
1059.75,19908.00
1061.56,20817.00
1063.37,20138.00
1065.18,17981.00
1066.99,15030.00
1068.80,12260.00
1070.60,10236.00
1072.41,9046.00
1074.21,8517.00
1076.01,8193.00
1077.81,8121.00
1079.61,8011.00
1081.41,7992.00
1083.21,7925.00
1085.01,7807.00
1086.81,7636.00
1088.60,7488.00
1090.40,7303.00
1092.19,7241.00
1093.98,7016.00
1095.77,6837.00
1097.56,6702.00
1099.35,6500.00
1101.14,6523.00
1102.93,6432.00
1104.72,6428.00
1106.50,6472.00
1108.29,6529.00
1110.07,6671.00
1111.85,6864.00
1113.63,7126.00
1115.41,7594.00
1117.19,8197.00
1118.97,9515.00
1120.75,11399.00
1122.53,14157.00
1124.30,17163.00
1126.08,19769.00
1127.85,20972.00
1129.62,20974.00
1131.39,19073.00
1133.17,16014.00
1134.93,12846.00
1136.70,10098.00
1138.47,8326.00
1140.24,7305.00
1142.00,6690.00
1143.77,6274.00
1145.53,6022.00
1147.29,5916.00
1149.06,5734.00
1150.82,5751.00
1152.58,5738.00
1154.34,5720.00
1156.09,5794.00
1157.85,5800.00
1159.61,5830.00
1161.36,6234.00
1163.11,6734.00
1164.87,7203.00
1166.62,7585.00
1168.37,7775.00
1170.12,7686.00
1171.87,7356.00
1173.62,6803.00
1175.36,6314.00
1177.11,5827.00
1178.85,5618.00
1180.60,5393.00
1182.34,5237.00
1184.08,5173.00
1185.82,5163.00
1187.56,5163.00
1189.30,5096.00
1191.04,5094.00
1192.78,5097.00
1194.51,5038.00
1196.25,5098.00
1197.98,4971.00
1199.71,5024.00
1201.45,5024.00
1203.18,4982.00
1204.91,5094.00
1206.64,5043.00
1208.36,4987.00
1210.09,4984.00
1211.82,4973.00
1213.54,4967.00
1215.27,5012.00
1216.99,4973.00
1218.71,5070.00
1220.43,5066.00
1222.15,4923.00
1223.87,4950.00
1225.59,5023.00
1227.31,4990.00
1229.02,5014.00
1230.74,5079.00
1232.45,5079.00
1234.16,5056.00
1235.88,5025.00
1237.59,4994.00
1239.30,5028.00
1241.01,4953.00
1242.71,5009.00
1244.42,5041.00
1246.13,5076.00
1247.83,5003.00
1249.54,5087.00
1251.24,5077.00
1252.94,5258.00
1254.64,5257.00
1256.34,5286.00
1258.04,5485.00
1259.74,5547.00
1261.44,5638.00
1263.13,5753.00
1264.83,5865.00
1266.52,5997.00
1268.22,6051.00
1269.91,6181.00
1271.60,6162.00
1273.29,6153.00
1274.98,6329.00
1276.67,6401.00
1278.35,6527.00
1280.04,6704.00
1281.73,7247.00
