ENLIGHTEN Version,1.7.2
Measurement ID,20190716-204042-340595-WP-00340
Serial Number,WP-00340
Label,Aklkanes 2mm HDPE
Integration Time,2000
Timestamp,2019-07-16 20:40:42.340595
Note,
Temperature,-99
CCD C0,801.7174072265625
CCD C1,0.14122000336647034
CCD C2,-5.609700110653648e-06
CCD C3,-8.541699791919655e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
265.63,239.00
267.83,246.00
270.02,322.00
272.22,439.00
274.41,487.00
276.60,696.00
278.80,818.00
280.99,1039.00
283.18,1322.00
285.37,1598.00
287.55,1872.00
289.74,2258.00
291.93,2514.00
294.11,2850.00
296.30,3196.00
298.48,3403.00
300.66,3563.00
302.84,3784.00
305.02,3751.00
307.20,3835.00
309.38,3860.00
311.56,3895.00
313.74,3889.00
315.91,3898.00
318.09,3902.00
320.26,3955.00
322.43,3898.00
324.61,3892.00
326.78,3972.00
328.95,3966.00
331.12,3960.00
333.28,3970.00
335.45,4025.00
337.62,3999.00
339.78,4086.00
341.95,4054.00
344.11,4050.00
346.27,4105.00
348.43,4115.00
350.59,4053.00
352.75,4105.00
354.91,4092.00
357.07,4058.00
359.23,4026.00
361.38,4090.00
363.54,4132.00
365.69,4078.00
367.84,4162.00
370.00,4166.00
372.15,4201.00
374.30,4168.00
376.45,4132.00
378.59,4159.00
380.74,4231.00
382.89,4326.00
385.03,4248.00
387.18,4280.00
389.32,4284.00
391.46,4309.00
393.60,4288.00
395.74,4345.00
397.88,4385.00
400.02,4433.00
402.16,4338.00
404.29,4451.00
406.43,4401.00
408.57,4429.00
410.70,4385.00
412.83,4437.00
414.96,4366.00
417.09,4446.00
419.22,4387.00
421.35,4400.00
423.48,4406.00
425.61,4372.00
427.73,4391.00
429.86,4377.00
431.98,4328.00
434.11,4425.00
436.23,4353.00
438.35,4387.00
440.47,4341.00
442.59,4415.00
444.71,4369.00
446.82,4377.00
448.94,4311.00
451.05,4388.00
453.17,4343.00
455.28,4299.00
457.39,4315.00
459.51,4351.00
461.62,4334.00
463.73,4296.00
465.83,4271.00
467.94,4305.00
470.05,4318.00
472.15,4238.00
474.26,4283.00
476.36,4229.00
478.47,4271.00
480.57,4324.00
482.67,4349.00
484.77,4352.00
486.87,4328.00
488.97,4331.00
491.06,4351.00
493.16,4303.00
495.25,4252.00
497.35,4248.00
499.44,4116.00
501.53,4100.00
503.62,4003.00
505.71,3968.00
507.80,3890.00
509.89,3790.00
511.98,3822.00
514.07,3747.00
516.15,3747.00
518.24,3734.00
520.32,3759.00
522.40,3627.00
524.48,3649.00
526.56,3698.00
528.64,3645.00
530.72,3602.00
532.80,3589.00
534.88,3574.00
536.95,3544.00
539.03,3529.00
541.10,3578.00
543.17,3577.00
545.24,3567.00
547.32,3532.00
549.39,3577.00
551.45,3483.00
553.52,3489.00
555.59,3484.00
557.66,3430.00
559.72,3437.00
561.78,3405.00
563.85,3508.00
565.91,3523.00
567.97,3466.00
570.03,3424.00
572.09,3413.00
574.15,3474.00
576.21,3452.00
578.26,3451.00
580.32,3496.00
582.37,3461.00
584.42,3451.00
586.48,3420.00
588.53,3500.00
590.58,3447.00
592.63,3485.00
594.68,3479.00
596.72,3489.00
598.77,3416.00
600.82,3452.00
602.86,3436.00
604.90,3392.00
606.95,3409.00
608.99,3399.00
611.03,3384.00
613.07,3413.00
615.11,3377.00
617.15,3362.00
619.18,3339.00
621.22,3291.00
623.25,3270.00
625.29,3314.00
627.32,3303.00
629.35,3289.00
631.38,3335.00
633.41,3328.00
635.44,3315.00
637.47,3302.00
639.50,3239.00
641.52,3307.00
643.55,3270.00
645.57,3306.00
647.60,3236.00
649.62,3242.00
651.64,3268.00
653.66,3232.00
655.68,3219.00
657.70,3215.00
659.71,3289.00
661.73,3262.00
663.75,3243.00
665.76,3265.00
667.77,3237.00
669.79,3270.00
671.80,3171.00
673.81,3223.00
675.82,3243.00
677.83,3289.00
679.83,3266.00
681.84,3213.00
683.84,3243.00
685.85,3230.00
687.85,3301.00
689.86,3242.00
691.86,3301.00
693.86,3312.00
695.86,3320.00
697.86,3256.00
699.85,3249.00
701.85,3257.00
703.85,3325.00
705.84,3352.00
707.84,3382.00
709.83,3371.00
711.82,3392.00
713.81,3485.00
715.80,3499.00
717.79,3508.00
719.78,3515.00
721.76,3527.00
723.75,3601.00
725.74,3563.00
727.72,3620.00
729.70,3576.00
731.68,3485.00
733.67,3607.00
735.65,3601.00
737.62,3634.00
739.60,3610.00
741.58,3580.00
743.56,3664.00
745.53,3592.00
747.51,3641.00
749.48,3630.00
751.45,3662.00
753.42,3651.00
755.39,3623.00
757.36,3681.00
759.33,3695.00
761.30,3637.00
763.26,3723.00
765.23,3776.00
