ENLIGHTEN Version,1.7.2
Measurement ID,20190716-204512-468308-WP-00340
Serial Number,WP-00340
Label,Alkanes-4mm-HDPE
Integration Time,2000
Timestamp,2019-07-16 20:45:12.468308
Note,
Temperature,-99
CCD C0,801.7174072265625
CCD C1,0.14122000336647034
CCD C2,-5.609700110653648e-06
CCD C3,-8.541699791919655e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
265.63,253.00
267.83,325.00
270.02,412.00
272.22,496.00
274.41,656.00
276.60,892.00
278.80,1046.00
280.99,1394.00
283.18,1737.00
285.37,2146.00
287.55,2606.00
289.74,3044.00
291.93,3540.00
294.11,3945.00
296.30,4362.00
298.48,4651.00
300.66,4891.00
302.84,5054.00
305.02,5214.00
307.20,5308.00
309.38,5361.00
311.56,5344.00
313.74,5386.00
315.91,5359.00
318.09,5397.00
320.26,5395.00
322.43,5361.00
324.61,5435.00
326.78,5456.00
328.95,5480.00
331.12,5505.00
333.28,5461.00
335.45,5533.00
337.62,5532.00
339.78,5627.00
341.95,5602.00
344.11,5576.00
346.27,5679.00
348.43,5615.00
350.59,5772.00
352.75,5597.00
354.91,5620.00
357.07,5617.00
359.23,5614.00
361.38,5643.00
363.54,5698.00
365.69,5638.00
367.84,5709.00
370.00,5715.00
372.15,5783.00
374.30,5731.00
376.45,5791.00
378.59,5707.00
380.74,5787.00
382.89,5796.00
385.03,5798.00
387.18,5844.00
389.32,5863.00
391.46,5853.00
393.60,5867.00
395.74,5960.00
397.88,5840.00
400.02,5967.00
402.16,5998.00
404.29,5926.00
406.43,5875.00
408.57,5970.00
410.70,5911.00
412.83,6019.00
414.96,5955.00
417.09,5977.00
419.22,5892.00
421.35,5937.00
423.48,5909.00
425.61,5911.00
427.73,5865.00
429.86,5926.00
431.98,5844.00
434.11,5953.00
436.23,5945.00
438.35,5841.00
440.47,5846.00
442.59,5851.00
444.71,5884.00
446.82,5956.00
448.94,5914.00
451.05,5901.00
453.17,5843.00
455.28,5879.00
457.39,5899.00
459.51,5860.00
461.62,5812.00
463.73,5899.00
465.83,5884.00
467.94,5848.00
470.05,5872.00
472.15,5859.00
474.26,5901.00
476.36,5854.00
478.47,5941.00
480.57,5867.00
482.67,5955.00
484.77,6015.00
486.87,5916.00
488.97,6000.00
491.06,5946.00
493.16,5821.00
495.25,5916.00
497.35,5743.00
499.44,5722.00
501.53,5646.00
503.62,5671.00
505.71,5585.00
507.80,5501.00
509.89,5480.00
511.98,5450.00
514.07,5449.00
516.15,5353.00
518.24,5347.00
520.32,5376.00
522.40,5304.00
524.48,5271.00
526.56,5272.00
528.64,5253.00
530.72,5321.00
532.80,5209.00
534.88,5207.00
536.95,5277.00
539.03,5191.00
541.10,5197.00
543.17,5182.00
545.24,5230.00
547.32,5226.00
549.39,5117.00
551.45,5171.00
553.52,5108.00
555.59,5184.00
557.66,5186.00
559.72,5146.00
561.78,5182.00
563.85,5056.00
565.91,5150.00
567.97,5123.00
570.03,5201.00
572.09,5131.00
574.15,5134.00
576.21,5121.00
578.26,5043.00
580.32,5155.00
582.37,5181.00
584.42,5094.00
586.48,5161.00
588.53,5144.00
590.58,5146.00
592.63,5199.00
594.68,5207.00
596.72,5235.00
598.77,5131.00
600.82,5182.00
602.86,5188.00
604.90,5098.00
606.95,5134.00
608.99,5085.00
611.03,5089.00
613.07,4986.00
615.11,5066.00
617.15,5005.00
619.18,5019.00
621.22,5011.00
623.25,4961.00
625.29,5014.00
627.32,5058.00
629.35,4931.00
631.38,4964.00
633.41,5059.00
635.44,5031.00
637.47,5004.00
639.50,4912.00
641.52,4973.00
643.55,4995.00
645.57,4945.00
647.60,4935.00
649.62,4971.00
651.64,4961.00
653.66,4896.00
655.68,4941.00
657.70,4931.00
659.71,4952.00
661.73,4919.00
663.75,4856.00
665.76,4923.00
667.77,4925.00
669.79,4960.00
671.80,4904.00
673.81,4941.00
675.82,4944.00
677.83,4980.00
679.83,4929.00
681.84,4956.00
683.84,4994.00
685.85,5013.00
687.85,4940.00
689.86,4952.00
691.86,4937.00
693.86,4944.00
695.86,4980.00
697.86,4971.00
699.85,4925.00
701.85,5009.00
703.85,5007.00
705.84,5003.00
707.84,5034.00
709.83,5109.00
711.82,5081.00
713.81,5119.00
715.80,5241.00
717.79,5227.00
719.78,5304.00
721.76,5258.00
723.75,5247.00
725.74,5282.00
727.72,5296.00
729.70,5170.00
731.68,5264.00
733.67,5285.00
735.65,5144.00
737.62,5229.00
739.60,5163.00
741.58,5203.00
743.56,5155.00
745.53,5201.00
747.51,5210.00
749.48,5144.00
751.45,5176.00
753.42,5213.00
755.39,5089.00
757.36,5117.00
759.33,5154.00
761.30,5188.00
763.26,5203.00
765.23,5235.00
767.19,5234.00
769.16,5256.00
771.12,5281.00
773.08,5170.00
775.04,5294.00
777.00,5412.00
778.96,5426.00
780.92,5320.00
782.87,5427.00
784.83,5401.00
786.78,5422.00
788.74,5422.00
790.69,5387.00
792.64,5428.00
794.59,5489.00
796.54,5513.00
798.49,5444.00
800.44,5511.00
802.38,5492.00
804.33,5473.00
806.27,5452.00
808.22,5483.00
