ENLIGHTEN Version,1.7.2
Measurement ID,20190716-203318-654710-WP-00340
Serial Number,WP-00340
Label,Cyclohexane
Integration Time,50
Timestamp,2019-07-16 20:33:18.654710
Note,
Temperature,-99
CCD C0,801.7174072265625
CCD C1,0.14122000336647034
CCD C2,-5.609700110653648e-06
CCD C3,-8.541699791919655e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
265.63,7.00
267.83,10.80
270.02,16.20
272.22,22.00
274.41,18.40
276.60,21.00
278.80,27.60
280.99,40.20
283.18,47.40
285.37,50.60
287.55,73.60
289.74,75.20
291.93,95.20
294.11,98.00
296.30,112.20
298.48,113.80
300.66,127.40
302.84,120.60
305.02,123.40
307.20,121.20
309.38,129.80
311.56,133.80
313.74,136.60
315.91,140.00
318.09,131.60
320.26,136.40
322.43,141.60
324.61,144.00
326.78,146.60
328.95,146.40
331.12,146.80
333.28,154.20
335.45,146.60
337.62,159.40
339.78,160.20
341.95,169.20
344.11,180.60
346.27,180.00
348.43,188.60
350.59,208.60
352.75,222.80
354.91,232.80
357.07,251.80
359.23,271.00
361.38,313.00
363.54,344.60
365.69,418.80
367.84,503.00
370.00,616.80
372.15,778.40
374.30,969.60
376.45,1174.40
378.59,1387.80
380.74,1546.20
382.89,1561.00
385.03,1454.40
387.18,1250.20
389.32,996.80
391.46,791.20
393.60,644.40
395.74,540.80
397.88,485.20
400.02,454.80
402.16,460.20
404.29,464.00
406.43,500.40
408.57,541.60
410.70,619.20
412.83,747.20
414.96,927.40
417.09,1200.40
419.22,1520.00
421.35,1836.40
423.48,2036.00
425.61,2078.40
427.73,1933.80
429.86,1680.20
431.98,1353.80
434.11,1065.60
436.23,831.60
438.35,679.60
440.47,580.20
442.59,501.00
444.71,447.60
446.82,413.20
448.94,377.80
451.05,355.20
453.17,342.80
455.28,331.00
457.39,324.00
459.51,320.80
461.62,318.40
463.73,326.80
465.83,332.40
467.94,340.60
470.05,361.60
472.15,371.60
474.26,378.60
476.36,382.00
478.47,373.20
480.57,358.80
482.67,325.80
484.77,309.20
486.87,279.40
488.97,261.40
491.06,242.00
493.16,228.40
495.25,214.60
497.35,197.00
499.44,189.80
501.53,185.20
503.62,178.20
505.71,176.00
507.80,160.20
509.89,167.60
511.98,163.40
514.07,172.60
516.15,165.80
518.24,177.00
520.32,175.60
522.40,174.60
524.48,176.20
526.56,170.40
528.64,165.20
530.72,157.20
532.80,141.20
534.88,139.60
536.95,140.80
539.03,135.20
541.10,129.80
543.17,125.80
545.24,114.40
547.32,112.20
549.39,108.80
551.45,117.00
553.52,104.00
555.59,102.20
557.66,100.80
559.72,97.60
561.78,99.40
563.85,90.20
565.91,95.40
567.97,92.00
570.03,86.60
572.09,84.20
574.15,92.60
576.21,85.00
578.26,80.80
580.32,79.40
582.37,83.80
584.42,78.60
586.48,82.40
588.53,80.20
590.58,79.80
592.63,84.80
594.68,90.20
596.72,89.60
598.77,94.00
600.82,85.60
602.86,89.20
604.90,86.20
606.95,81.80
608.99,84.20
611.03,86.20
613.07,91.20
615.11,85.80
617.15,87.00
619.18,95.20
621.22,91.40
623.25,101.60
625.29,87.60
627.32,85.20
629.35,89.40
631.38,89.40
633.41,81.00
635.44,74.80
637.47,68.20
639.50,71.40
641.52,69.40
643.55,75.20
645.57,66.60
647.60,67.60
649.62,68.40
651.64,67.20
653.66,67.40
655.68,73.20
657.70,72.00
659.71,70.60
661.73,64.20
663.75,69.20
665.76,67.80
667.77,70.80
669.79,67.80
671.80,65.00
673.81,73.00
675.82,71.00
677.83,70.00
679.83,71.80
681.84,70.00
683.84,64.60
685.85,69.80
687.85,78.40
689.86,72.40
691.86,75.80
693.86,71.60
695.86,72.00
697.86,77.20
699.85,84.20
701.85,84.40
703.85,87.60
705.84,83.20
707.84,89.20
709.83,94.80
711.82,91.20
713.81,97.00
715.80,108.00
717.79,111.40
719.78,109.80
721.76,115.40
723.75,124.80
725.74,135.80
727.72,144.20
729.70,147.40
731.68,150.80
733.67,159.80
735.65,170.80
737.62,180.80
739.60,190.60
741.58,216.60
743.56,230.40
745.53,241.00
747.51,264.40
749.48,281.60
751.45,317.60
753.42,359.80
755.39,381.40
757.36,426.80
759.33,475.60
761.30,512.80
763.26,572.80
765.23,631.60
767.19,683.80
769.16,756.00
771.12,834.80
773.08,935.80
775.04,1041.40
777.00,1206.40
778.96,1387.00
780.92,1615.40
782.87,1883.40
784.83,2213.80
786.78,2755.20
788.74,3735.00
790.69,5761.00
792.64,10115.20
794.59,18405.80
796.54,29637.40
798.49,39468.80
800.44,44107.60
802.38,39754.00
804.33,35401.00
806.27,24024.60
808.22,13198.00
810.16,6470.00
812.10,3437.60
814.04,2206.60
815.98,1656.60
817.92,1345.40
819.86,1124.80
821.80,973.60
823.73,850.60
825.67,759.20
827.60,679.20
829.53,632.20
831.47,589.60
833.40,544.40
835.33,499.40
837.26,468.60
839.18,457.20
841.11,451.60
843.04,443.00
844.96,456.40
846.89,468.60
848.81,481.40
850.73,487.00
852.65,482.20
854.57,456.80
856.49,416.40
858.41,366.80
860.33,331.20
862.24,308.00
864.16,280.60
866.07,266.20
867.99,248.80
869.90,244.40
871.81,233.80
873.72,235.20
875.63,222.40
877.54,221.20
879.44,215.20
881.35,212.60
883.26,206.00
885.16,209.20
887.06,218.00
888.97,209.60
890.87,230.40
892.77,235.00
894.67,236.60
896.57,251.40
898.46,256.80
900.36,265.00
902.26,269.80
904.15,279.80
906.04,268.00
907.94,265.00
909.83,251.20
911.72,232.40
913.61,223.60
915.50,213.40
917.38,206.20
919.27,193.40
921.16,195.60
923.04,190.40
924.92,183.40
926.81,177.40
928.69,166.00
930.57,164.60
932.45,161.80
934.33,154.00
936.20,154.80
938.08,162.20
939.96,159.60
941.83,162.20
943.71,155.40
945.58,166.80
947.45,171.40
949.32,173.80
951.19,172.00
953.06,173.80
954.93,184.20
956.79,188.00
958.66,204.40
960.52,210.40
962.39,225.40
964.25,231.40
966.11,247.60
967.97,262.20
969.83,279.00
971.69,298.40
973.55,321.20
975.41,351.00
977.26,376.40
979.12,409.00
980.97,441.20
982.82,480.40
984.68,528.80
986.53,584.80
988.38,638.00
990.23,710.80
992.07,797.80
993.92,883.40
995.77,990.40
997.61,1114.40
999.46,1258.00
1001.30,1440.80
1003.14,1633.20
1004.98,1881.60
1006.82,2183.20
1008.66,2566.00
1010.50,3064.80
1012.34,3703.20
1014.17,4533.20
1016.01,5612.20
1017.84,7034.40
1019.68,8781.20
1021.51,10769.40
1023.34,12743.60
1025.17,14354.80
1027.00,15137.00
1028.83,14938.20
1030.65,13734.20
1032.48,11952.20
1034.31,9906.80
1036.13,8007.00
1037.95,6436.00
1039.77,5362.20
1041.60,4288.00
1043.42,3564.20
1045.24,3050.00
1047.05,2633.40
1048.87,2315.20
1050.69,2034.00
1052.50,1801.80
1054.32,1619.20
1056.13,1463.40
1057.94,1319.20
1059.75,1209.60
1061.56,1094.60
1063.37,1000.40
1065.18,916.20
1066.99,855.00
1068.80,800.00
1070.60,740.60
1072.41,699.40
1074.21,663.60
1076.01,632.20
1077.81,607.00
1079.61,574.40
1081.41,563.20
1083.21,537.60
1085.01,532.20
1086.81,522.20
1088.60,525.00
1090.40,516.40
1092.19,515.60
1093.98,516.00
1095.77,525.00
1097.56,510.20
1099.35,524.60
1101.14,516.80
1102.93,524.00
1104.72,523.40
1106.50,526.80
1108.29,511.40
1110.07,516.00
1111.85,488.40
1113.63,482.80
1115.41,466.00
1117.19,458.80
1118.97,444.80
1120.75,435.60
1122.53,427.20
1124.30,426.00
1126.08,440.00
1127.85,442.60
1129.62,464.20
1131.39,457.20
1133.17,498.40
1134.93,530.80
1136.70,568.40
1138.47,594.00
1140.24,636.40
1142.00,697.60
1143.77,776.60
1145.53,891.20
1147.29,1093.40
1149.06,1439.40
1150.82,2019.20
1152.58,2804.80
1154.34,3515.00
1156.09,3964.00
1157.85,3976.20
1159.61,3636.40
1161.36,2874.00
1163.11,2033.60
1164.87,1354.20
1166.62,941.60
1168.37,719.80
1170.12,593.00
1171.87,522.00
1173.62,475.80
1175.36,453.60
1177.11,409.80
1178.85,393.40
1180.60,386.80
1182.34,374.40
1184.08,371.00
1185.82,357.00
1187.56,349.20
1189.30,340.60
1191.04,344.40
1192.78,348.80
1194.51,348.80
1196.25,365.60
1197.98,372.60
1199.71,384.60
1201.45,408.20
1203.18,409.80
1204.91,434.20
1206.64,464.60
1208.36,481.60
1210.09,500.40
1211.82,529.80
1213.54,539.40
1215.27,553.40
1216.99,577.00
1218.71,598.80
1220.43,621.40
1222.15,659.40
1223.87,697.40
1225.59,731.80
1227.31,772.40
1229.02,837.40
1230.74,908.40
1232.45,978.20
1234.16,1048.40
1235.88,1155.80
1237.59,1263.40
1239.30,1397.40
1241.01,1546.00
1242.71,1706.80
1244.42,1930.00
1246.13,2198.80
1247.83,2526.80
1249.54,2944.20
1251.24,3438.60
1252.94,4143.00
1254.64,5039.60
1256.34,6190.60
1258.04,7607.60
1259.74,9314.20
1261.44,10938.00
1263.13,12383.60
1264.83,13243.00
1266.52,13404.40
1268.22,12716.40
1269.91,11500.40
1271.60,9953.60
1273.29,8344.80
1274.98,6914.60
1276.67,5730.40
1278.35,4809.20
1280.04,4120.00
1281.73,3546.80
1283.41,3110.80
1285.09,2734.40
1286.78,2458.00
1288.46,2234.20
1290.14,2029.80
1291.82,1855.40
1293.49,1720.20
1295.17,1585.40
1296.85,1502.60
1298.52,1428.60
1300.20,1350.00
1301.87,1283.80
1303.54,1238.00
1305.21,1199.60
1306.88,1164.20
1308.55,1130.20
1310.22,1107.40
1311.89,1080.40
1313.56,1078.00
1315.22,1085.60
1316.89,1076.80
1318.55,1091.40
1320.21,1092.80
1321.87,1125.00
1323.53,1151.20
1325.19,1184.60
1326.85,1237.80
1328.51,1302.00
1330.16,1359.80
1331.82,1433.80
1333.47,1559.00
1335.13,1687.00
1336.78,1860.20
1338.43,2036.60
1340.08,2259.20
1341.73,2481.40
1343.38,2684.00
1345.03,2807.20
1346.67,2878.40
1348.32,2820.00
1349.96,2685.40
1351.61,2503.20
1353.25,2275.80
1354.89,2057.20
1356.53,1840.20
1358.17,1636.60
1359.81,1477.60
1361.45,1344.40
1363.08,1254.80
1364.72,1144.80
1366.35,1097.80
1367.99,1027.40
1369.62,991.60
1371.25,952.20
1372.88,939.60
1374.51,904.60
1376.14,908.60
1377.77,891.00
1379.39,900.80
1381.02,895.80
1382.64,904.40
1384.27,893.60
1385.89,897.20
1387.51,904.20
1389.13,911.20
1390.75,922.60
1392.37,929.80
1393.99,942.80
1395.60,957.40
1397.22,993.60
1398.83,1012.80
1400.45,1060.60
1402.06,1100.00
1403.67,1159.80
1405.28,1217.80
1406.89,1269.60
1408.50,1381.80
1410.11,1472.20
1411.71,1570.80
1413.32,1723.20
1414.92,1930.60
1416.53,2138.80
1418.13,2367.20
1419.73,2653.00
1421.33,2948.60
1422.93,3298.40
1424.53,3598.60
1426.13,3947.00
1427.72,4290.20
1429.32,4671.00
1430.91,5155.80
1432.51,5777.00
1434.10,6630.00
1435.69,7664.60
1437.28,8873.60
1438.87,10196.40
1440.46,11285.00
1442.05,12108.40
1443.64,12354.60
1445.22,12055.00
1446.81,11315.20
1448.39,10159.40
1449.97,8895.20
1451.55,7594.60
1453.14,6541.40
1454.72,5581.60
1456.29,4907.00
1457.87,4352.00
1459.45,3968.40
1461.02,3716.20
1462.60,3526.00
1464.17,3341.60
1465.75,3156.40
1467.32,2915.00
1468.89,2663.60
1470.46,2382.60
1472.03,2137.60
1473.59,1937.40
1475.16,1787.00
1476.73,1688.60
1478.29,1624.80
1479.86,1558.40
1481.42,1505.20
1482.98,1469.20
1484.54,1423.40
1486.10,1366.60
1487.66,1309.40
1489.22,1252.40
1490.77,1203.20
1492.33,1120.00
1493.88,1074.00
1495.44,1001.40
1496.99,986.40
1498.54,935.80
1500.09,875.00
1501.64,846.80
1503.19,799.80
1504.74,768.00
1506.29,743.40
1507.83,731.60
1509.38,710.00
1510.92,670.80
1512.47,658.60
1514.01,658.20
1515.55,634.80
1517.09,613.80
1518.63,620.00
1520.16,607.80
1521.70,597.00
1523.24,572.20
1524.77,575.80
1526.31,565.60
1527.84,573.00
1529.37,570.00
1530.90,581.00
1532.43,571.60
1533.96,580.40
1535.49,571.60
1537.02,586.40
1538.54,574.20
1540.07,567.60
1541.59,553.40
1543.11,564.80
1544.64,534.80
1546.16,518.40
1547.68,510.00
1549.20,504.60
1550.71,493.60
1552.23,495.40
1553.75,489.80
1555.26,479.40
1556.78,483.60
1558.29,485.40
1559.80,502.60
1561.31,484.80
1562.82,495.40
1564.33,490.40
1565.84,502.40
1567.35,496.00
1568.85,506.00
1570.36,492.20
1571.86,500.80
1573.36,507.00
1574.87,492.20
1576.37,479.40
1577.87,470.00
1579.37,464.00
1580.87,461.40
1582.36,457.20
1583.86,449.00
1585.35,443.00
1586.85,443.80
1588.34,438.00
1589.83,434.40
1591.32,417.80
1592.81,408.60
1594.30,416.60
1595.79,413.80
1597.28,398.40
1598.76,397.00
1600.25,395.60
1601.73,397.40
1603.22,387.60
1604.70,396.20
1606.18,383.00
1607.66,383.60
1609.14,388.40
1610.62,368.00
1612.10,375.40
1613.57,373.40
1615.05,381.00
1616.52,373.20
1617.99,378.00
1619.47,371.80
1620.94,369.20
1622.41,370.60
1623.88,372.80
1625.35,378.00
1626.81,376.60
1628.28,373.00
1629.74,369.40
1631.21,371.20
1632.67,361.20
1634.13,380.00
1635.60,373.40
1637.06,369.80
1638.51,365.80
1639.97,370.60
1641.43,365.80
1642.89,373.80
1644.34,373.40
1645.80,370.60
1647.25,374.80
1648.70,375.60
1650.15,380.20
1651.60,366.80
1653.05,365.40
1654.50,372.60
1655.95,369.80
1657.40,375.60
1658.84,369.40
1660.28,368.60
1661.73,372.20
1663.17,378.40
1664.61,368.60
1666.05,377.60
1667.49,369.00
1668.93,371.20
1670.37,380.00
1671.80,378.60
1673.24,380.00
1674.67,391.20
1676.11,390.80
1677.54,393.60
1678.97,400.80
1680.40,409.80
1681.83,425.40
1683.26,428.80
1684.69,439.80
1686.11,436.80
1687.54,440.00
1688.96,445.00
1690.39,449.00
1691.81,433.80
1693.23,425.40
1694.65,421.40
1696.07,414.40
1697.49,392.60
1698.91,381.20
1700.32,381.00
1701.74,373.60
1703.15,351.80
1704.57,353.00
1705.98,348.40
1707.39,346.00
