ENLIGHTEN Version,1.7.2
Measurement ID,20190716-203850-732698-WP-00340
Serial Number,WP-00340
Label,Cyclohexane 2mm HDPE
Integration Time,2000
Timestamp,2019-07-16 20:38:50.732698
Note,
Temperature,-99
CCD C0,801.7174072265625
CCD C1,0.14122000336647034
CCD C2,-5.609700110653648e-06
CCD C3,-8.541699791919655e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
265.63,216.00
267.83,280.00
270.02,272.00
272.22,449.00
274.41,504.00
276.60,700.00
278.80,877.00
280.99,1068.00
283.18,1339.00
285.37,1691.00
287.55,1988.00
289.74,2370.00
291.93,2663.00
294.11,2968.00
296.30,3303.00
298.48,3580.00
300.66,3759.00
302.84,3911.00
305.02,4018.00
307.20,4065.00
309.38,4067.00
311.56,4092.00
313.74,4130.00
315.91,4157.00
318.09,4149.00
320.26,4125.00
322.43,4102.00
324.61,4145.00
326.78,4210.00
328.95,4218.00
331.12,4225.00
333.28,4254.00
335.45,4353.00
337.62,4292.00
339.78,4348.00
341.95,4334.00
344.11,4309.00
346.27,4358.00
348.43,4476.00
350.59,4303.00
352.75,4373.00
354.91,4340.00
357.07,4360.00
359.23,4381.00
361.38,4347.00
363.54,4423.00
365.69,4341.00
367.84,4455.00
370.00,4450.00
372.15,4543.00
374.30,4594.00
376.45,4665.00
378.59,4710.00
380.74,4792.00
382.89,4775.00
385.03,4672.00
387.18,4718.00
389.32,4712.00
391.46,4704.00
393.60,4625.00
395.74,4640.00
397.88,4680.00
400.02,4640.00
402.16,4625.00
404.29,4632.00
406.43,4644.00
408.57,4692.00
410.70,4756.00
412.83,4686.00
414.96,4801.00
417.09,4817.00
419.22,4920.00
421.35,4961.00
423.48,4982.00
425.61,5028.00
427.73,4921.00
429.86,4858.00
431.98,4754.00
434.11,4703.00
436.23,4636.00
438.35,4676.00
440.47,4672.00
442.59,4674.00
444.71,4624.00
446.82,4620.00
448.94,4606.00
451.05,4634.00
453.17,4681.00
455.28,4609.00
457.39,4587.00
459.51,4604.00
461.62,4543.00
463.73,4585.00
465.83,4564.00
467.94,4564.00
470.05,4528.00
472.15,4550.00
474.26,4585.00
476.36,4528.00
478.47,4552.00
480.57,4630.00
482.67,4613.00
484.77,4584.00
486.87,4630.00
488.97,4611.00
491.06,4557.00
493.16,4581.00
495.25,4516.00
497.35,4373.00
499.44,4381.00
501.53,4393.00
503.62,4244.00
505.71,4265.00
507.80,4084.00
509.89,4159.00
511.98,4163.00
514.07,4050.00
516.15,4086.00
518.24,3974.00
520.32,4018.00
522.40,3993.00
524.48,3936.00
526.56,4008.00
528.64,3873.00
530.72,3931.00
532.80,3896.00
534.88,3955.00
536.95,3894.00
539.03,3811.00
541.10,3903.00
543.17,3881.00
545.24,3801.00
547.32,3884.00
549.39,3826.00
551.45,3747.00
553.52,3834.00
555.59,3866.00
557.66,3805.00
559.72,3856.00
561.78,3778.00
563.85,3829.00
565.91,3759.00
567.97,3793.00
570.03,3818.00
572.09,3786.00
574.15,3811.00
576.21,3755.00
578.26,3835.00
580.32,3723.00
582.37,3845.00
584.42,3849.00
586.48,3856.00
588.53,3724.00
590.58,3886.00
592.63,3777.00
594.68,3755.00
596.72,3782.00
598.77,3791.00
600.82,3823.00
602.86,3778.00
