ENLIGHTEN Version,1.7.2
Measurement ID,20190716-203239-148394-WP-00340
Serial Number,WP-00340
Label,Ethanol
Integration Time,200
Timestamp,2019-07-16 20:32:39.148394
Note,
Temperature,-99
CCD C0,801.7174072265625
CCD C1,0.14122000336647034
CCD C2,-5.609700110653648e-06
CCD C3,-8.541699791919655e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
265.63,64.40
267.83,80.40
270.02,91.20
272.22,116.20
274.41,140.40
276.60,194.20
278.80,241.80
280.99,296.40
283.18,366.80
285.37,441.80
287.55,532.60
289.74,607.40
291.93,692.60
294.11,772.00
296.30,831.40
298.48,881.80
300.66,916.40
302.84,930.20
305.02,934.80
307.20,935.20
309.38,918.20
311.56,905.60
313.74,914.40
315.91,911.20
318.09,903.60
320.26,881.20
322.43,892.80
324.61,884.80
326.78,880.80
328.95,876.00
331.12,870.60
333.28,885.20
335.45,875.40
337.62,869.00
339.78,892.60
341.95,881.40
344.11,894.60
346.27,898.60
348.43,897.20
350.59,904.80
352.75,906.80
354.91,919.00
357.07,931.20
359.23,943.00
361.38,946.20
363.54,943.80
365.69,978.80
367.84,997.80
370.00,1001.40
372.15,1036.80
374.30,1052.20
376.45,1061.00
378.59,1059.60
380.74,1083.80
382.89,1111.20
385.03,1130.80
387.18,1155.80
389.32,1191.00
391.46,1225.40
393.60,1270.80
395.74,1325.20
397.88,1381.40
400.02,1454.00
402.16,1533.40
404.29,1640.20
406.43,1726.20
408.57,1843.20
410.70,1997.00
412.83,2191.60
414.96,2418.20
417.09,2694.00
419.22,3051.40
421.35,3495.40
423.48,3932.80
425.61,4341.20
427.73,4734.60
429.86,4949.20
431.98,5054.80
434.11,5008.40
436.23,4849.00
438.35,4611.00
440.47,4285.00
442.59,3965.60
444.71,3672.20
446.82,3399.00
448.94,3111.60
451.05,2844.40
453.17,2625.40
455.28,2421.60
457.39,2236.00
459.51,2065.80
461.62,1927.20
463.73,1817.20
465.83,1701.20
467.94,1617.20
470.05,1512.00
472.15,1463.40
474.26,1401.80
476.36,1362.80
478.47,1323.00
480.57,1294.00
482.67,1276.00
484.77,1228.00
486.87,1225.20
488.97,1203.80
491.06,1156.80
493.16,1137.60
495.25,1085.40
497.35,1050.20
499.44,1029.60
501.53,992.40
503.62,970.00
505.71,937.80
507.80,906.80
509.89,888.60
511.98,877.80
514.07,860.00
516.15,837.80
518.24,821.80
520.32,812.80
522.40,805.60
524.48,779.40
526.56,774.00
528.64,767.40
530.72,743.40
532.80,747.40
534.88,739.60
536.95,733.80
539.03,719.00
541.10,715.00
543.17,731.80
545.24,714.20
547.32,708.40
549.39,705.00
551.45,697.00
553.52,693.80
555.59,698.60
557.66,700.40
559.72,693.60
561.78,699.60
563.85,693.20
565.91,699.60
567.97,704.20
570.03,706.80
572.09,690.80
574.15,712.80
576.21,711.80
578.26,727.60
580.32,735.00
582.37,745.80
584.42,763.20
586.48,771.60
588.53,785.00
590.58,780.20
592.63,777.20
594.68,788.20
596.72,756.00
598.77,747.60
600.82,744.60
602.86,732.00
604.90,722.40
606.95,701.60
608.99,687.40
611.03,681.00
613.07,678.20
615.11,665.20
617.15,661.80
619.18,662.00
621.22,653.80
623.25,661.00
625.29,662.40
627.32,660.20
629.35,651.20
631.38,656.60
633.41,640.20
635.44,647.20
637.47,654.00
639.50,646.20
641.52,652.00
643.55,648.00
645.57,657.40
647.60,656.00
649.62,651.60
651.64,653.40
653.66,652.00
655.68,658.80
657.70,659.60
659.71,646.00
661.73,658.60
663.75,649.20
665.76,653.00
667.77,654.40
669.79,654.80
671.80,669.00
673.81,652.80
675.82,640.00
677.83,641.40
679.83,657.20
681.84,641.40
683.84,658.00
685.85,646.40
687.85,646.60
689.86,642.20
691.86,644.40
693.86,660.60
695.86,659.60
697.86,669.80
699.85,653.60
701.85,660.80
703.85,649.80
705.84,660.00
707.84,661.80
709.83,662.40
711.82,656.60
713.81,667.20
715.80,655.00
717.79,654.40
719.78,656.80
721.76,656.80
723.75,670.20
725.74,680.20
727.72,671.00
729.70,675.80
731.68,694.60
733.67,693.60
735.65,696.20
737.62,711.80
739.60,720.40
741.58,748.20
743.56,744.00
745.53,771.20
747.51,795.80
749.48,846.40
751.45,880.40
753.42,925.80
755.39,968.20
757.36,1043.80
759.33,1095.60
761.30,1146.00
763.26,1184.20
765.23,1207.00
767.19,1175.80
769.16,1144.00
771.12,1099.00
773.08,1038.40
775.04,980.40
777.00,950.60
778.96,932.60
780.92,919.00
782.87,922.80
784.83,932.00
786.78,958.00
788.74,981.20
790.69,997.40
792.64,1018.60
794.59,1058.40
796.54,1119.00
798.49,1162.60
800.44,1233.00
802.38,1312.40
804.33,1391.80
806.27,1489.00
808.22,1673.40
810.16,1876.60
812.10,2147.20
814.04,2395.80
815.98,2553.40
817.92,2574.40
819.86,2449.40
821.80,2192.00
823.73,1927.40
825.67,1720.80
827.60,1591.60
829.53,1544.40
831.47,1556.40
833.40,1582.80
835.33,1610.40
837.26,1653.20
839.18,1735.00
841.11,1814.00
843.04,1916.80
844.96,2022.00
846.89,2159.80
848.81,2308.20
850.73,2520.40
852.65,2780.00
854.57,3047.20
856.49,3402.20
858.41,3840.40
860.33,4407.60
862.24,5168.80
864.16,6239.60
866.07,7723.60
867.99,9842.00
869.90,12915.00
871.81,17218.80
873.72,22806.80
875.63,29601.80
877.54,36435.40
879.44,42086.20
881.35,45468.80
883.26,45489.20
885.16,42247.60
887.06,36578.80
888.97,29718.20
890.87,23006.40
892.77,17337.20
894.67,13014.20
896.57,9917.60
898.46,7732.80
900.36,6216.20
902.26,5181.80
904.15,4445.80
906.04,3904.80
907.94,3438.00
909.83,3107.60
911.72,2807.00
913.61,2587.00
915.50,2406.60
917.38,2243.60
919.27,2103.60
921.16,1970.80
923.04,1910.60
924.92,1804.40
926.81,1739.40
928.69,1678.60
930.57,1640.40
932.45,1608.20
934.33,1562.00
936.20,1534.40
938.08,1514.60
939.96,1473.40
941.83,1463.80
943.71,1445.00
945.58,1435.60
947.45,1448.20
949.32,1447.40
951.19,1445.00
953.06,1436.20
954.93,1396.80
956.79,1372.40
958.66,1323.00
960.52,1277.40
962.39,1258.80
964.25,1217.60
966.11,1219.60
967.97,1219.00
969.83,1214.40
971.69,1224.40
973.55,1233.20
975.41,1259.00
977.26,1246.60
979.12,1271.80
980.97,1298.00
982.82,1326.80
984.68,1348.60
986.53,1403.60
988.38,1425.80
990.23,1450.00
992.07,1499.40
993.92,1544.20
995.77,1589.40
997.61,1658.80
999.46,1681.80
1001.30,1742.20
1003.14,1799.00
1004.98,1897.20
1006.82,1962.60
1008.66,2056.80
1010.50,2140.00
1012.34,2252.80
1014.17,2401.40
1016.01,2533.00
1017.84,2714.00
1019.68,2887.40
1021.51,3097.00
1023.34,3397.20
1025.17,3666.00
1027.00,4054.20
1028.83,4470.20
1030.65,4976.20
1032.48,5610.80
1034.31,6366.00
1036.13,7236.20
1037.95,8343.20
1039.77,9667.20
1041.60,10990.60
1043.42,12340.60
1045.24,13602.60
1047.05,14644.00
1048.87,15371.00
1050.69,15614.80
1052.50,15457.00
1054.32,14697.60
1056.13,13719.40
1057.94,12513.40
1059.75,11247.80
1061.56,10106.40
1063.37,9300.40
1065.18,8643.60
1066.99,8221.80
1068.80,7989.60
1070.60,7937.40
1072.41,8071.20
1074.21,8247.40
1076.01,8651.60
1077.81,9105.60
1079.61,9719.40
1081.41,10527.00
1083.21,11356.40
1085.01,12339.00
1086.81,13378.80
1088.60,14396.60
1090.40,15313.00
1092.19,15909.40
1093.98,16190.80
1095.77,15986.60
1097.56,15369.00
1099.35,14311.60
1101.14,13052.20
1102.93,11691.00
1104.72,10389.60
1106.50,9255.40
1108.29,8435.40
1110.07,7811.00
1111.85,7291.80
1113.63,6940.20
1115.41,6653.60
1117.19,6409.40
1118.97,6213.00
1120.75,5996.80
1122.53,5753.60
1124.30,5490.60
1126.08,5189.60
1127.85,4891.60
1129.62,4567.40
1131.39,4271.80
1133.17,3975.60
1134.93,3703.00
1136.70,3475.20
1138.47,3261.40
1140.24,3092.00
1142.00,2916.80
1143.77,2784.00
1145.53,2667.40
1147.29,2578.60
1149.06,2476.40
1150.82,2391.40
1152.58,2329.40
1154.34,2278.00
1156.09,2230.80
1157.85,2182.20
1159.61,2112.80
1161.36,2050.80
1163.11,2019.40
1164.87,1939.60
1166.62,1888.40
1168.37,1829.20
1170.12,1784.80
1171.87,1733.60
1173.62,1722.80
1175.36,1671.00
1177.11,1661.80
1178.85,1616.60
1180.60,1598.20
1182.34,1594.60
1184.08,1576.60
1185.82,1579.40
1187.56,1556.40
1189.30,1559.60
1191.04,1534.20
1192.78,1566.80
1194.51,1544.40
1196.25,1548.60
1197.98,1535.80
1199.71,1565.80
1201.45,1564.60
1203.18,1591.20
1204.91,1606.00
1206.64,1608.60
1208.36,1627.20
1210.09,1651.40
1211.82,1678.00
1213.54,1726.40
1215.27,1749.40
1216.99,1775.00
1218.71,1811.00
1220.43,1851.00
1222.15,1898.80
1223.87,1962.60
1225.59,2011.80
1227.31,2064.00
1229.02,2144.00
1230.74,2206.00
1232.45,2261.40
1234.16,2341.80
1235.88,2417.00
1237.59,2492.20
1239.30,2571.80
1241.01,2643.80
1242.71,2746.00
1244.42,2837.40
1246.13,2940.60
1247.83,3090.00
1249.54,3206.80
1251.24,3376.80
1252.94,3537.80
1254.64,3743.60
1256.34,3969.80
1258.04,4244.40
1259.74,4605.00
1261.44,4992.20
1263.13,5445.40
1264.83,6021.40
1266.52,6603.20
1268.22,7272.40
1269.91,7893.60
1271.60,8436.20
1273.29,8817.80
1274.98,9003.60
1276.67,8906.80
1278.35,8674.80
1280.04,8279.20
1281.73,7690.20
1283.41,7144.00
1285.09,6607.40
1286.78,6150.60
1288.46,5701.40
1290.14,5348.80
1291.82,5058.40
1293.49,4847.40
1295.17,4636.40
1296.85,4476.40
1298.52,4407.60
1300.20,4273.80
1301.87,4202.60
1303.54,4086.60
1305.21,4090.40
1306.88,4039.00
1308.55,4040.00
1310.22,3991.20
1311.89,3957.00
1313.56,3950.60
1315.22,3936.80
1316.89,3934.40
1318.55,3919.80
1320.21,3933.40
1321.87,3922.80
1323.53,3922.40
1325.19,3925.00
1326.85,3955.40
1328.51,3976.40
1330.16,3983.20
1331.82,3996.20
1333.47,4023.80
1335.13,4025.40
1336.78,4084.80
1338.43,4066.80
1340.08,4115.80
1341.73,4122.00
1343.38,4163.80
1345.03,4180.40
1346.67,4199.20
1348.32,4214.60
1349.96,4251.20
1351.61,4251.40
1353.25,4259.40
1354.89,4317.60
1356.53,4332.80
1358.17,4362.80
1359.81,4430.40
1361.45,4470.20
1363.08,4526.40
1364.72,4587.40
1366.35,4620.60
1367.99,4762.20
1369.62,4866.80
1371.25,4972.20
1372.88,5085.60
1374.51,5199.60
1376.14,5340.80
1377.77,5450.60
1379.39,5538.20
1381.02,5614.60
1382.64,5730.80
1384.27,5781.60
1385.89,5803.60
1387.51,5832.80
1389.13,5857.40
1390.75,5849.20
1392.37,5926.20
1393.99,5936.80
1395.60,6000.60
1397.22,6089.80
1398.83,6200.00
1400.45,6327.20
1402.06,6491.40
1403.67,6561.00
1405.28,6729.60
1406.89,6872.20
1408.50,7049.20
1410.11,7191.80
1411.71,7347.00
1413.32,7501.40
1414.92,7704.40
1416.53,7840.20
1418.13,8030.40
1419.73,8238.20
1421.33,8424.40
1422.93,8657.80
1424.53,8871.20
1426.13,9117.60
1427.72,9436.60
1429.32,9715.60
1430.91,10129.80
1432.51,10560.00
1434.10,11107.20
1435.69,11735.00
1437.28,12473.60
1438.87,13331.60
1440.46,14287.20
1442.05,15432.00
1443.64,16639.00
1445.22,17884.60
1446.81,19206.00
1448.39,20451.40
1449.97,21495.60
1451.55,22133.60
1453.14,22462.40
1454.72,22409.00
1456.29,21832.20
1457.87,20852.20
1459.45,19512.00
1461.02,18115.40
1462.60,16707.40
1464.17,15356.00
1465.75,14127.20
1467.32,13189.40
1468.89,12448.00
1470.46,11790.60
1472.03,11412.40
1473.59,11162.20
1475.16,10963.20
1476.73,10970.00
1478.29,10862.00
1479.86,10857.80
1481.42,10750.00
1482.98,10530.00
1484.54,10276.80
1486.10,9910.40
1487.66,9480.80
1489.22,9051.40
1490.77,8557.20
1492.33,8117.60
1493.88,7670.40
1495.44,7265.20
1496.99,6929.20
1498.54,6594.20
1500.09,6308.40
1501.64,6088.60
1503.19,5890.40
1504.74,5698.60
1506.29,5497.20
1507.83,5361.00
1509.38,5232.00
1510.92,5085.60
1512.47,4978.80
1514.01,4880.80
1515.55,4765.60
1517.09,4692.60
1518.63,4569.20
1520.16,4484.20
1521.70,4401.20
1523.24,4348.40
1524.77,4254.80
1526.31,4168.60
1527.84,4101.00
1529.37,4012.60
1530.90,3957.80
1532.43,3887.60
1533.96,3823.20
1535.49,3781.60
1537.02,3719.80
1538.54,3672.20
1540.07,3608.00
1541.59,3570.00
1543.11,3492.80
1544.64,3464.20
1546.16,3391.00
1547.68,3360.00
1549.20,3318.00
1550.71,3291.00
1552.23,3230.00
1553.75,3199.60
1555.26,3152.60
1556.78,3109.80
1558.29,3058.60
1559.80,3031.20
1561.31,3010.40
1562.82,2965.80
1564.33,2929.00
1565.84,2887.20
1567.35,2859.60
1568.85,2834.00
1570.36,2796.80
1571.86,2775.60
1573.36,2746.80
1574.87,2720.60
1576.37,2697.20
1577.87,2680.80
1579.37,2648.60
1580.87,2611.00
1582.36,2600.60
1583.86,2565.40
1585.35,2547.60
1586.85,2544.80
1588.34,2500.80
1589.83,2500.80
1591.32,2498.40
1592.81,2454.40
1594.30,2484.20
1595.79,2460.00
1597.28,2462.00
1598.76,2432.20
1600.25,2437.80
1601.73,2425.20
1603.22,2451.40
1604.70,2459.80
1606.18,2453.00
1607.66,2464.80
1609.14,2461.60
1610.62,2479.40
1612.10,2465.80
1613.57,2472.00
1615.05,2470.80
1616.52,2448.20
1617.99,2436.20
1619.47,2423.00
1620.94,2418.20
1622.41,2400.80
1623.88,2377.40
1625.35,2358.40
1626.81,2324.40
1628.28,2318.00
1629.74,2288.00
1631.21,2261.40
1632.67,2270.00
1634.13,2231.80
1635.60,2235.80
1637.06,2217.20
1638.51,2201.80
1639.97,2186.20
1641.43,2177.60
1642.89,2197.60
1644.34,2154.80
1645.80,2146.40
1647.25,2146.00
1648.70,2141.60
1650.15,2151.80
1651.60,2107.40
1653.05,2114.80
1654.50,2096.20
1655.95,2100.20
1657.40,2092.60
1658.84,2076.20
1660.28,2070.00
1661.73,2071.80
1663.17,2079.60
1664.61,2065.40
1666.05,2039.80
1667.49,2061.60
1668.93,2042.40
1670.37,2020.40
1671.80,2022.80
1673.24,2019.00
1674.67,2023.60
1676.11,2012.80
1677.54,2018.40
1678.97,2009.20
1680.40,2021.40
1681.83,1997.60
1683.26,2017.00
1684.69,2009.40
1686.11,1990.40
1687.54,1977.20
1688.96,1988.80
1690.39,1979.60
1691.81,1958.20
1693.23,1987.60
1694.65,1964.40
1696.07,1984.20
1697.49,1964.80
1698.91,1982.40
1700.32,1986.40
1701.74,1976.20
1703.15,1997.80
1704.57,2020.60
1705.98,2019.60
1707.39,2004.60
1708.80,2001.20
1710.21,1981.20
1711.62,1953.60
1713.03,1937.00
1714.43,1888.60
1715.84,1864.80
1717.24,1866.40
1718.65,1829.80
1720.05,1802.60
1721.45,1769.40
1722.85,1754.60
1724.25,1743.20
1725.65,1725.40
1727.05,1692.80
1728.44,1665.40
1729.84,1658.60
1731.23,1635.60
1732.63,1618.40
1734.02,1608.20
1735.41,1595.40
1736.80,1574.20
1738.19,1559.60
1739.58,1538.60
1740.97,1525.60
1742.35,1506.40
1743.74,1503.40
1745.12,1497.80
1746.51,1502.60
1747.89,1464.60
1749.27,1450.20
1750.65,1456.40
1752.03,1448.60
1753.41,1432.40
1754.79,1434.00
