ENLIGHTEN Version,1.7.2
Measurement ID,20190716-204452-044226-WP-00340
Serial Number,WP-00340
Label,Ethanol-4mm-HDPE
Integration Time,2000
Timestamp,2019-07-16 20:44:52.044226
Note,
Temperature,-99
CCD C0,801.7174072265625
CCD C1,0.14122000336647034
CCD C2,-5.609700110653648e-06
CCD C3,-8.541699791919655e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
265.63,263.00
267.83,341.00
270.02,412.00
272.22,504.00
274.41,620.00
276.60,835.00
278.80,1100.00
280.99,1386.00
283.18,1762.00
285.37,2123.00
287.55,2657.00
289.74,3017.00
291.93,3529.00
294.11,4008.00
296.30,4269.00
298.48,4604.00
300.66,4926.00
302.84,5125.00
305.02,5165.00
307.20,5361.00
309.38,5328.00
311.56,5390.00
313.74,5386.00
315.91,5401.00
318.09,5357.00
320.26,5456.00
322.43,5411.00
324.61,5425.00
326.78,5492.00
328.95,5518.00
331.12,5543.00
333.28,5541.00
335.45,5634.00
337.62,5667.00
339.78,5608.00
341.95,5623.00
344.11,5629.00
346.27,5700.00
348.43,5686.00
350.59,5642.00
352.75,5703.00
354.91,5626.00
357.07,5651.00
359.23,5676.00
361.38,5728.00
363.54,5656.00
365.69,5732.00
367.84,5766.00
370.00,5772.00
372.15,5745.00
374.30,5720.00
376.45,5779.00
378.59,5715.00
380.74,5852.00
382.89,5800.00
385.03,5833.00
387.18,5844.00
389.32,5842.00
391.46,5800.00
393.60,5896.00
395.74,6008.00
397.88,5966.00
400.02,5944.00
402.16,5986.00
404.29,5929.00
406.43,5945.00
408.57,5977.00
410.70,5892.00
412.83,5967.00
414.96,5957.00
417.09,5989.00
419.22,5915.00
421.35,5985.00
423.48,5983.00
425.61,5880.00
427.73,5945.00
429.86,5943.00
431.98,5973.00
434.11,5947.00
436.23,5916.00
438.35,5882.00
440.47,5900.00
442.59,5969.00
444.71,5909.00
446.82,5966.00
448.94,5897.00
451.05,5974.00
453.17,5905.00
455.28,5966.00
457.39,5901.00
459.51,5894.00
461.62,5861.00
463.73,5859.00
465.83,5768.00
467.94,5865.00
470.05,5927.00
472.15,5902.00
474.26,5972.00
476.36,5913.00
478.47,5928.00
480.57,5981.00
482.67,5989.00
484.77,5934.00
486.87,5914.00
488.97,5945.00
491.06,5920.00
493.16,5941.00
495.25,5901.00
