ENLIGHTEN Version,1.7.2
Measurement ID,20190716-204546-483836-WP-00340
Serial Number,WP-00340
Label,Ibuprofen-4mm-HDPE
Integration Time,2000
Timestamp,2019-07-16 20:45:46.483836
Note,
Temperature,-99
CCD C0,801.7174072265625
CCD C1,0.14122000336647034
CCD C2,-5.609700110653648e-06
CCD C3,-8.541699791919655e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
265.63,368.00
267.83,424.00
270.02,551.00
272.22,702.00
274.41,854.00
276.60,1142.00
278.80,1455.00
280.99,1839.00
283.18,2376.00
285.37,2812.00
287.55,3474.00
289.74,4118.00
291.93,4807.00
294.11,5336.00
296.30,5838.00
298.48,6280.00
300.66,6761.00
302.84,6938.00
305.02,7014.00
307.20,7172.00
309.38,7208.00
311.56,7168.00
313.74,7279.00
315.91,7246.00
318.09,7282.00
320.26,7215.00
322.43,7336.00
324.61,7344.00
326.78,7324.00
328.95,7368.00
331.12,7412.00
333.28,7447.00
335.45,7501.00
337.62,7486.00
339.78,7554.00
341.95,7583.00
344.11,7495.00
346.27,7659.00
348.43,7632.00
350.59,7742.00
352.75,7718.00
354.91,7612.00
357.07,7616.00
359.23,7621.00
361.38,7728.00
363.54,7691.00
365.69,7712.00
367.84,7598.00
370.00,7640.00
372.15,7640.00
374.30,7687.00
376.45,7760.00
378.59,7733.00
380.74,7749.00
382.89,7818.00
385.03,7712.00
387.18,7788.00
389.32,7863.00
391.46,7756.00
393.60,7808.00
395.74,7906.00
397.88,7889.00
400.02,7923.00
402.16,7868.00
404.29,7961.00
406.43,7979.00
408.57,7958.00
410.70,7884.00
412.83,8136.00
414.96,8040.00
417.09,8083.00
419.22,8085.00
421.35,8079.00
423.48,8037.00
425.61,8060.00
427.73,7986.00
429.86,7996.00
431.98,7927.00
434.11,7933.00
436.23,7971.00
438.35,7884.00
440.47,7880.00
442.59,7894.00
444.71,7880.00
446.82,7855.00
448.94,7780.00
451.05,7809.00
453.17,7812.00
455.28,7886.00
457.39,7873.00
459.51,7830.00
461.62,7813.00
463.73,7855.00
465.83,7804.00
467.94,7825.00
470.05,7856.00
472.15,7828.00
474.26,7884.00
476.36,7874.00
478.47,7777.00
480.57,7846.00
482.67,7935.00
484.77,7920.00
486.87,7912.00
488.97,7972.00
491.06,7930.00
493.16,7997.00
495.25,7944.00
497.35,7902.00
499.44,7752.00
501.53,7740.00
503.62,7646.00
505.71,7603.00
507.80,7567.00
509.89,7545.00
511.98,7488.00
514.07,7515.00
516.15,7430.00
518.24,7373.00
520.32,7377.00
522.40,7290.00
524.48,7349.00
526.56,7279.00
528.64,7203.00
530.72,7263.00
532.80,7233.00
534.88,7330.00
536.95,7227.00
539.03,7159.00
541.10,7227.00
543.17,7181.00
545.24,7155.00
547.32,7185.00
549.39,7152.00
551.45,7172.00
553.52,7166.00
555.59,7122.00
557.66,7120.00
559.72,7113.00
561.78,7214.00
563.85,7100.00
565.91,7170.00
567.97,7077.00
570.03,7173.00
572.09,7189.00
574.15,7174.00
576.21,7213.00
578.26,7170.00
580.32,7189.00
582.37,7283.00
584.42,7156.00
586.48,7210.00
588.53,7229.00
590.58,7275.00
592.63,7258.00
594.68,7212.00
596.72,7213.00
598.77,7102.00
600.82,7059.00
602.86,7158.00
604.90,7052.00
606.95,7000.00
608.99,7057.00
611.03,7079.00
613.07,6947.00
615.11,6997.00
617.15,6999.00
619.18,7035.00
621.22,7075.00
623.25,6976.00
625.29,6995.00
627.32,7284.00
629.35,7198.00
631.38,7416.00
633.41,7437.00
635.44,7395.00
637.47,7353.00
639.50,7271.00
641.52,7065.00
643.55,7029.00
645.57,6961.00
647.60,6964.00
649.62,6985.00
651.64,6965.00
653.66,6947.00
655.68,7018.00
657.70,6991.00
659.71,7022.00
661.73,6958.00
663.75,7021.00
665.76,7050.00
667.77,7010.00
669.79,7081.00
671.80,6908.00
673.81,7052.00
675.82,6913.00
677.83,7103.00
679.83,6928.00
681.84,6961.00
683.84,7027.00
685.85,6908.00
687.85,6987.00
689.86,6940.00
691.86,6953.00
693.86,6892.00
695.86,7025.00
