ENLIGHTEN Version,1.7.2
Measurement ID,20190716-203513-590553-WP-00340
Serial Number,WP-00340
Label,Isopropanol
Integration Time,100
Timestamp,2019-07-16 20:35:13.590553
Note,
Temperature,-99
CCD C0,801.7174072265625
CCD C1,0.14122000336647034
CCD C2,-5.609700110653648e-06
CCD C3,-8.541699791919655e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
265.63,31.20
267.83,42.80
270.02,49.60
272.22,61.00
274.41,73.40
276.60,95.20
278.80,113.60
280.99,142.20
283.18,172.80
285.37,220.20
287.55,265.60
289.74,309.20
291.93,341.60
294.11,393.00
296.30,418.80
298.48,449.80
300.66,470.60
302.84,493.60
305.02,498.20
307.20,504.20
309.38,513.60
311.56,515.80
313.74,519.20
315.91,511.40
318.09,515.80
320.26,512.80
322.43,521.80
324.61,519.40
326.78,532.60
328.95,535.80
331.12,539.80
333.28,542.80
335.45,553.40
337.62,555.20
339.78,590.00
341.95,601.20
344.11,609.20
346.27,624.00
348.43,658.00
350.59,670.40
352.75,718.80
354.91,761.40
357.07,844.00
359.23,927.00
361.38,1066.60
363.54,1252.00
365.69,1481.00
367.84,1672.40
370.00,1798.00
372.15,1857.60
374.30,1778.80
376.45,1636.60
378.59,1441.00
380.74,1294.60
382.89,1164.40
385.03,1071.80
387.18,1004.20
389.32,979.60
391.46,947.40
393.60,950.60
395.74,951.00
397.88,979.60
400.02,984.00
402.16,1028.20
404.29,1091.40
406.43,1136.00
408.57,1220.40
410.70,1295.80
412.83,1396.60
414.96,1542.20
417.09,1686.60
419.22,1865.40
421.35,2037.80
423.48,2181.20
425.61,2306.80
427.73,2354.20
429.86,2386.80
431.98,2373.60
434.11,2331.40
436.23,2263.60
438.35,2195.00
440.47,2068.40
442.59,1991.00
444.71,1877.40
446.82,1772.20
448.94,1657.60
451.05,1542.40
453.17,1470.40
455.28,1387.20
457.39,1300.20
459.51,1239.00
461.62,1208.80
463.73,1172.20
465.83,1165.40
467.94,1162.40
470.05,1198.80
472.15,1269.00
474.26,1398.20
476.36,1570.60
478.47,1815.00
480.57,2095.80
482.67,2391.00
484.77,2643.80
486.87,2772.40
488.97,2788.80
