ENLIGHTEN Version,1.7.2
Measurement ID,20190716-203954-292325-WP-00340
Serial Number,WP-00340
Label,Isopropanol-2mm-HDPE
Integration Time,2000
Timestamp,2019-07-16 20:39:54.292325
Note,
Temperature,-99
CCD C0,801.7174072265625
CCD C1,0.14122000336647034
CCD C2,-5.609700110653648e-06
CCD C3,-8.541699791919655e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
265.63,233.00
267.83,288.00
270.02,318.00
272.22,422.00
274.41,538.00
276.60,694.00
278.80,824.00
280.99,1018.00
283.18,1316.00
285.37,1568.00
287.55,1885.00
289.74,2241.00
291.93,2505.00
294.11,2856.00
296.30,3135.00
298.48,3399.00
300.66,3556.00
302.84,3730.00
305.02,3740.00
307.20,3805.00
309.38,3943.00
311.56,3910.00
313.74,3898.00
315.91,3896.00
318.09,3851.00
320.26,3970.00
322.43,3913.00
324.61,3962.00
326.78,4036.00
328.95,4028.00
331.12,4018.00
333.28,4048.00
335.45,4044.00
337.62,4054.00
339.78,4088.00
341.95,4108.00
344.11,4118.00
346.27,4143.00
348.43,4195.00
350.59,4181.00
352.75,4092.00
354.91,4121.00
357.07,4139.00
359.23,4157.00
361.38,4180.00
363.54,4172.00
365.69,4234.00
367.84,4291.00
370.00,4235.00
372.15,4343.00
374.30,4315.00
376.45,4347.00
378.59,4364.00
380.74,4383.00
382.89,4379.00
385.03,4286.00
387.18,4294.00
389.32,4360.00
391.46,4394.00
393.60,4328.00
395.74,4351.00
397.88,4347.00
400.02,4423.00
402.16,4404.00
404.29,4470.00
406.43,4435.00
408.57,4440.00
410.70,4490.00
412.83,4517.00
414.96,4482.00
417.09,4469.00
419.22,4568.00
421.35,4508.00
423.48,4573.00
425.61,4611.00
427.73,4505.00
429.86,4535.00
431.98,4501.00
434.11,4547.00
436.23,4579.00
438.35,4499.00
440.47,4560.00
442.59,4449.00
444.71,4409.00
446.82,4472.00
448.94,4436.00
451.05,4440.00
453.17,4489.00
455.28,4394.00
457.39,4427.00
459.51,4410.00
461.62,4366.00
463.73,4298.00
465.83,4449.00
467.94,4395.00
470.05,4337.00
472.15,4428.00
474.26,4385.00
