ENLIGHTEN Version,1.7.2
Measurement ID,20190716-220650-336364-WP-00438
Serial Number,WP-00438
Label,cyclohexane
Integration Time,500
Timestamp,2019-07-16 22:06:50.336364
Note,
Temperature,-99
CCD C0,807.1400146484375
CCD C1,0.11761099845170975
CCD C2,-1.6414700439781882e-05
CCD C3,2.3293600381890656e-09
CCD Offset,0
CCD Gain,8.0
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1952

Wavenumber,Processed, 
0.00, 
0.00, 
0.00,
41.00,51.00,83.00,134.00,158.00,90.00,324.00,241.00,287.00,326.00,451.00,403.00,496.00,624.00,671.00,769.00,885.00,728.00,1091.00,869.00,965.00,711.00,877.00,832.00,725.00,658.00,603.00,463.00,549.00,387.00,422.00,477.00,425.00,579.00,597.00,612.00,737.00,794.00,910.00,946.00,1019.00,1092.00,1133.00,1054.00,1149.00,1011.00,974.00,791.00,640.00,747.00,602.00,446.00,420.00,374.00,330.00,259.00,386.00,276.00,201.00,175.00,116.00,178.00,110.00,126.00,154.00,102.00,219.00,88.00,206.00,269.00,177.00,154.00,146.00,196.00,138.00,108.00,94.00,107.00,108.00,76.00,39.00,183.00,-28.00,176.00,56.00,104.00,14.00,95.00,10.00,104.00,86.00,19.00,7.00,15.00,86.00,20.00,48.00,112.00,99.00,-36.00,22.00,3.00,-25.00,86.00,3.00,42.00,-22.00,-13.00,12.00,-23.00,-66.00,-28.00,-1.00,-22.00,-52.00,51.00,87.00,-48.00,57.00,-78.00,-181.00,-20.00,52.00,76.00,91.00,26.00,-82.00,21.00,0.00,-28.00,34.00,-90.00,67.00,10.00,-18.00,30.00,1.00,28.00,5.00,21.00,-130.00,-113.00,77.00,-33.00,2.00,28.00,-1.00,-13.00,-10.00,-56.00,-55.00,61.00,72.00,90.00,-13.00,84.00,26.00,-19.00,16.00,-48.00,-54.00,-34.00,-89.00,57.00,32.00,65.00,-62.00,-29.00,15.00,41.00,-102.00,-12.00,-75.00,7.00,-93.00,-9.00,-16.00,76.00,-42.00,73.00,-7.00,52.00,-1.00,-87.00,45.00,-26.00,-41.00,42.00,-93.00,74.00,-17.00,80.00,-92.00,-73.00,-59.00,-9.00,34.00,-32.00,51.00,-87.00,-21.00,31.00,-72.00,-4.00,17.00,-66.00,-5.00,26.00,20.00,37.00,-44.00,15.00,-82.00,0.00,-42.00,83.00,66.00,86.00,128.00,-2.00,34.00,-17.00,28.00,-10.00,99.00,106.00,20.00,25.00,79.00,39.00,204.00,179.00,72.00,34.00,181.00,165.00,147.00,154.00,197.00,280.00,287.00,338.00,386.00,333.00,342.00,533.00,579.00,572.00,801.00,849.00,1160.00,1259.00,1561.00,1667.00,2157.00,2491.00,3332.00,4036.00,5271.00,6937.00,9447.00,11903.00,15369.00,17556.00,20146.00,21042.00,22886.00,22224.00,22422.00,20342.00,19410.00,17208.00,15289.00,13179.00,11407.00,8422.00,6278.00,4057.00,2929.00,2220.00,1780.00,1259.00,1175.00,766.00,718.00,631.00,371.00,607.00,521.00,443.00,308.00,320.00,388.00,173.00,213.00,257.00,311.00,276.00,362.00,259.00,277.00,273.00,254.00,156.00,217.00,118.00,167.00,261.00,251.00,188.00,174.00,238.00,103.00,116.00,176.00,146.00,166.00,148.00,28.00,151.00,78.00,84.00,77.00,99.00,147.00,103.00,134.00,162.00,82.00,84.00,83.00,-14.00,181.00,109.00,155.00,131.00,92.00,198.00,126.00,149.00,158.00,330.00,97.00,154.00,110.00,112.00,105.00,124.00,84.00,137.00,82.00,93.00,-60.00,32.00,45.00,13.00,-71.00,46.00,19.00,-7.00,51.00,227.00,143.00,56.00,64.00,-8.00,15.00,164.00,52.00,110.00,106.00,65.00,98.00,223.00,158.00,131.00,161.00,118.00,29.00,237.00,199.00,176.00,194.00,98.00,100.00,228.00,357.00,253.00,285.00,290.00,376.00,383.00,413.00,515.00,519.00,661.00,757.00,777.00,803.00,948.00,1241.00,1314.00,1536.00,1693.00,1894.00,2128.00,2435.00,2769.00,3183.00,3574.00,4292.00,4717.00,5518.00,6074.00,6928.00,7509.00,7986.00,7970.00,8489.00,8448.00,8303.00,7864.00,7588.00,6892.00,6648.00,6004.00,5342.00,4607.00,4096.00,3464.00,3038.00,2503.00,2358.00,2033.00,1763.00,1639.00,1365.00,1244.00,1029.00,938.00,972.00,822.00,783.00,718.00,740.00,728.00,610.00,556.00,481.00,499.00,445.00,373.00,352.00,348.00,292.00,416.00,303.00,357.00,337.00,333.00,201.00,381.00,223.00,262.00,282.00,128.00,253.00,321.00,282.00,380.00,321.00,213.00,217.00,331.00,232.00,277.00,317.00,353.00,239.00,198.00,202.00,293.00,286.00,402.00,283.00,222.00,156.00,174.00,270.00,366.00,394.00,208.00,269.00,266.00,465.00,604.00,486.00,423.00,550.00,667.00,746.00,808.00,752.00,938.00,1192.00,1288.00,1500.00,1702.00,1836.00,1947.00,2020.00,2219.00,2377.00,2151.00,2093.00,1943.00,1785.00,1585.00,1369.00,995.00,783.00,490.00,531.00,427.00,378.00,454.00,357.00,359.00,216.00,173.00,313.00,231.00,346.00,260.00,143.00,188.00,177.00,234.00,310.00,230.00,161.00,283.00,199.00,243.00,293.00,242.00,448.00,385.00,211.00,334.00,345.00,269.00,384.00,272.00,475.00,503.00,624.00,398.00,392.00,365.00,633.00,649.00,568.00,719.00,631.00,719.00,780.00,940.00,910.00,958.00,1241.00,1117.00,1376.00,1473.00,1582.00,1657.00,1739.00,2055.00,2444.00,2724.00,2987.00,3321.00,3836.00,4107.00,4629.00,5186.00,6000.00,6087.00,6576.00,7016.00,7466.00,7603.00,8060.00,7561.00,7918.00,7607.00,7243.00,6702.00,6564.00,5827.00,5153.00,4595.00,3896.00,3467.00,2946.00,2606.00,2671.00,2066.00,2058.00,1745.00,1594.00,1500.00,1317.00,1137.00,1194.00,1228.00,1008.00,930.00,1284.00,822.00,823.00,679.00,670.00,858.00,757.00,857.00,743.00,788.00,634.00,665.00,716.00,720.00,609.00,805.00,895.00,777.00,882.00,700.00,809.00,864.00,834.00,993.00,1034.00,1104.00,984.00,1092.00,1196.00,1229.00,1380.00,1363.00,1535.00,1494.00,1580.00,1555.00,1646.00,1365.00,1424.00,1486.00,1352.00,1351.00,1459.00,1192.00,1138.00,1163.00,1009.00,1057.00,1030.00,806.00,979.00,932.00,662.00,690.00,739.00,776.00,795.00,655.00,371.00,568.00,574.00,565.00,723.00,645.00,790.00,711.00,644.00,628.00,555.00,604.00,681.00,680.00,671.00,656.00,640.00,767.00,872.00,703.00,960.00,949.00,808.00,865.00,946.00,986.00,1176.00,971.00,1104.00,1211.00,1339.00,1487.00,1618.00,1717.00,2095.00,2049.00,2048.00,2400.00,2661.00,2842.00,3015.00,3402.00,3531.00,3762.00,4135.00,4742.00,4820.00,5433.00,5589.00,6027.00,6599.00,6787.00,7066.00,7400.00,7415.00,7690.00,7674.00,7866.00,7427.00,7576.00,7073.00,6598.00,6226.00,5732.00,5371.00,4641.00,4423.00,4011.00,3728.00,3439.00,3072.00,2987.00,2736.00,2586.00,2298.00,2285.00,2164.00,2156.00,1958.00,1772.00,1622.00,1497.00,1500.00,1294.00,1269.00,1268.00,1110.00,1193.00,1092.00,833.00,1003.00,979.00,815.00,767.00,668.00,762.00,777.00,803.00,758.00,715.00,382.00,622.00,519.00,641.00,473.00,573.00,516.00,443.00,389.00,675.00,524.00,440.00,468.00,387.00,306.00,553.00,432.00,354.00,349.00,103.00,406.00,421.00,307.00,423.00,287.00,487.00,277.00,384.00,203.00,439.00,273.00,347.00,384.00,381.00,176.00,400.00,194.00,190.00,322.00,203.00,278.00,227.00,340.00,302.00,115.00,283.00,139.00,91.00,160.00,220.00,196.00,256.00,243.00,317.00,375.00,163.00,332.00,329.00,164.00,326.00,221.00,132.00,120.00,429.00,197.00,294.00,295.00,142.00,256.00,192.00,114.00,120.00,177.00,200.00,163.00,83.00,300.00,139.00,131.00,162.00,174.00,325.00,76.00,25.00,199.00,84.00,278.00,85.00,53.00,163.00,190.00,229.00,206.00,13.00,139.00,106.00,100.00,88.00,72.00,85.00,138.00,335.00,116.00,59.00,167.00,25.00,335.00,92.00,75.00,258.00,272.00,234.00,204.00,272.00,81.00,105.00,87.00,173.00,59.00,11.00,214.00,119.00,256.00,199.00,220.00,123.00,90.00,172.00,142.00,-19.00,158.00,118.00,208.00,131.00,121.00,-61.00,187.00,-45.00,177.00,58.00,-52.00,147.00,194.00,28.00,89.00,113.00,51.00,43.00,27.00,47.00,137.00,293.00,134.00,210.00,131.00,36.00,96.00,238.00,195.00,155.00,125.00,3.00,20.00,199.00,154.00,200.00,78.00,121.00,57.00,139.00,-30.00,84.00,70.00,134.00,-79.00,134.00,158.00,55.00,70.00,79.00,-59.00,125.00,-35.00,89.00,112.00,138.00,123.00,107.00,-6.00,41.00,26.00,139.00,116.00,121.00,148.00,97.00,58.00,73.00,32.00,42.00,-18.00,168.00,-72.00,1.00,95.00,133.00,79.00,2.00,-3.00,127.00,74.00,68.00,-44.00,-61.00,31.00,41.00,-25.00,108.00,57.00,-131.00,-30.00,30.00,176.00,22.00,48.00,146.00,86.00,63.00,14.00,34.00,13.00,39.00,-5.00,23.00,-115.00,62.00,172.00,245.00,162.00,-46.00,130.00,111.00,15.00,99.00,140.00,92.00,50.00,-118.00 
,118.00, 
,82.00, 
,-22.00, 
,146.00, 
,92.00, 
,-79.00, 
