ENLIGHTEN Version,1.7.2
Measurement ID,20190716-204120-788254-WP-00340
Serial Number,WP-00340
Label,2mm-HDPE
Integration Time,2000
Timestamp,2019-07-16 20:41:20.788254
Note,
Temperature,-99
CCD C0,801.7174072265625
CCD C1,0.14122000336647034
CCD C2,-5.609700110653648e-06
CCD C3,-8.541699791919655e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
265.63,216.00
267.83,229.00
270.02,263.00
272.22,367.00
274.41,432.00
276.60,614.00
278.80,748.00
280.99,914.00
283.18,1185.00
285.37,1440.00
287.55,1661.00
289.74,1967.00
291.93,2233.00
294.11,2527.00
296.30,2827.00
298.48,3025.00
300.66,3141.00
302.84,3369.00
305.02,3384.00
307.20,3360.00
309.38,3502.00
311.56,3428.00
313.74,3465.00
315.91,3476.00
318.09,3535.00
320.26,3506.00
322.43,3527.00
324.61,3466.00
326.78,3530.00
328.95,3563.00
331.12,3595.00
333.28,3607.00
335.45,3670.00
337.62,3689.00
339.78,3671.00
341.95,3716.00
344.11,3667.00
346.27,3702.00
348.43,3681.00
350.59,3690.00
352.75,3668.00
354.91,3698.00
357.07,3702.00
359.23,3706.00
361.38,3704.00
363.54,3662.00
365.69,3728.00
367.84,3673.00
370.00,3693.00
372.15,3807.00
374.30,3746.00
376.45,3738.00
378.59,3763.00
380.74,3883.00
382.89,3845.00
385.03,3814.00
387.18,3824.00
389.32,3902.00
391.46,3843.00
393.60,3877.00
395.74,3879.00
397.88,3864.00
400.02,3885.00
402.16,3843.00
404.29,3892.00
406.43,3872.00
408.57,3891.00
410.70,3843.00
412.83,3855.00
414.96,3920.00
417.09,3915.00
419.22,3940.00
421.35,3958.00
423.48,3888.00
425.61,3957.00
427.73,3913.00
429.86,3913.00
431.98,3875.00
434.11,3824.00
436.23,3876.00
438.35,3928.00
440.47,3903.00
442.59,3909.00
444.71,3861.00
446.82,3880.00
448.94,3925.00
451.05,3907.00
453.17,3941.00
455.28,3808.00
457.39,3830.00
459.51,3826.00
461.62,3870.00
463.73,3934.00
465.83,3839.00
467.94,3820.00
470.05,3814.00
472.15,3839.00
474.26,3910.00
476.36,3815.00
478.47,3902.00
