ENLIGHTEN Version,1.7.2
Measurement ID,20190716-203439-276592-WP-00340
Serial Number,WP-00340
Label,Alkanes
Integration Time,200
Timestamp,2019-07-16 20:34:39.276592
Note,
Temperature,-99
CCD C0,801.7174072265625
CCD C1,0.14122000336647034
CCD C2,-5.609700110653648e-06
CCD C3,-8.541699791919655e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
265.63,202.60
267.83,260.20
270.02,328.20
272.22,422.40
274.41,538.80
276.60,689.20
278.80,872.00
280.99,1116.20
283.18,1402.00
285.37,1703.40
287.55,2056.60
289.74,2406.60
291.93,2755.20
294.11,3114.80
296.30,3375.60
298.48,3602.40
300.66,3712.60
302.84,3823.80
305.02,3848.00
307.20,3867.40
309.38,3829.00
311.56,3809.80
313.74,3772.60
315.91,3763.60
318.09,3762.60
320.26,3736.20
322.43,3705.80
324.61,3682.80
326.78,3653.40
328.95,3597.40
331.12,3541.00
333.28,3471.60
335.45,3408.60
337.62,3339.80
339.78,3325.20
341.95,3281.60
344.11,3261.60
346.27,3187.60
348.43,3207.80
350.59,3173.80
352.75,3148.60
354.91,3121.60
357.07,3128.40
359.23,3135.40
361.38,3133.80
363.54,3172.80
365.69,3286.40
367.84,3410.80
370.00,3444.40
372.15,3496.00
374.30,3511.20
376.45,3490.80
378.59,3480.40
380.74,3470.20
382.89,3480.40
385.03,3516.20
387.18,3563.20
389.32,3637.20
391.46,3747.40
393.60,3847.60
395.74,3979.60
397.88,4162.60
400.02,4365.00
402.16,4577.80
404.29,4675.60
406.43,4735.80
408.57,4704.00
410.70,4616.80
412.83,4509.40
414.96,4447.00
417.09,4364.40
419.22,4327.60
421.35,4300.40
423.48,4250.60
425.61,4225.60
427.73,4175.60
429.86,4142.80
431.98,4112.40
434.11,4107.60
436.23,4148.20
438.35,4222.40
440.47,4253.60
442.59,4295.80
444.71,4279.80
446.82,4276.20
448.94,4164.80
451.05,4105.80
453.17,4001.20
455.28,3959.20
457.39,3884.00
459.51,3844.60
461.62,3822.40
463.73,3783.40
465.83,3749.80
467.94,3675.80
470.05,3604.20
472.15,3548.80
474.26,3470.80
476.36,3434.40
478.47,3461.20
480.57,3474.00
482.67,3552.40
484.77,3729.80
486.87,3962.60
488.97,4142.40
491.06,4270.20
493.16,4285.40
495.25,4157.20
497.35,3927.80
499.44,3676.00
501.53,3463.80
503.62,3253.20
505.71,3068.40
507.80,2939.40
509.89,2843.80
511.98,2795.60
514.07,2801.20
516.15,2826.40
518.24,2900.40
520.32,2981.40
522.40,2998.80
524.48,2923.00
526.56,2862.60
528.64,2763.40
530.72,2671.20
532.80,2589.20
534.88,2524.00
536.95,2465.80
539.03,2445.40
541.10,2377.60
543.17,2317.60
545.24,2235.60
547.32,2175.80
549.39,2112.80
551.45,2058.20
553.52,2009.00
555.59,1994.20
557.66,2000.20
559.72,2000.20
561.78,2006.40
563.85,1994.80
565.91,1945.20
567.97,1896.00
570.03,1845.40
572.09,1781.20
574.15,1708.80
576.21,1635.40
578.26,1557.60
580.32,1527.60
582.37,1481.00
584.42,1455.80
586.48,1480.80
588.53,1545.60
590.58,1559.80
592.63,1605.20
594.68,1567.80
596.72,1540.00
598.77,1485.20
600.82,1449.00
602.86,1434.20
604.90,1406.60
606.95,1396.60
608.99,1414.60
611.03,1393.20
613.07,1404.20
615.11,1406.20
617.15,1377.00
619.18,1355.00
621.22,1330.20
623.25,1276.00
625.29,1242.20
627.32,1219.80
629.35,1193.40
631.38,1161.20
633.41,1138.40
635.44,1108.60
637.47,1079.20
639.50,1036.60
641.52,1005.60
643.55,959.60
645.57,945.40
647.60,924.80
649.62,915.20
651.64,891.20
653.66,909.60
655.68,927.20
657.70,945.00
659.71,976.80
661.73,1004.80
663.75,1038.20
665.76,1050.80
667.77,1041.20
669.79,1062.80
671.80,1034.40
673.81,1055.20
675.82,1087.20
677.83,1122.60
679.83,1195.80
681.84,1250.60
683.84,1318.00
685.85,1361.20
687.85,1398.20
689.86,1419.20
691.86,1464.80
693.86,1534.20
695.86,1591.40
697.86,1692.80
699.85,1766.80
701.85,1860.60
703.85,1973.20
705.84,2103.80
707.84,2259.80
709.83,2411.40
711.82,2552.20
713.81,2681.60
715.80,2800.20
717.79,2919.80
719.78,3044.60
721.76,3202.40
723.75,3369.60
725.74,3541.80
727.72,3698.80
729.70,3820.40
731.68,3972.00
733.67,4133.00
735.65,4317.20
737.62,4521.00
739.60,4745.60
741.58,4967.60
743.56,5296.60
745.53,5664.80
747.51,6102.20
749.48,6563.80
751.45,6914.40
753.42,7105.00
755.39,7136.00
757.36,7155.20
759.33,7194.40
761.30,7272.80
763.26,7474.40
765.23,7672.00
767.19,7785.60
769.16,7770.40
771.12,7693.20
773.08,7445.60
775.04,7123.60
777.00,6866.60
778.96,6673.20
780.92,6486.40
782.87,6406.40
784.83,6324.20
786.78,6311.60
788.74,6262.40
790.69,6306.40
792.64,6263.20
794.59,6317.00
796.54,6347.40
798.49,6316.40
800.44,6338.80
802.38,6441.20
804.33,6543.00
806.27,6654.60
808.22,6829.40
810.16,7037.40
812.10,7272.20
814.04,7455.60
815.98,7635.20
817.92,7857.80
819.86,8016.40
821.80,8146.00
823.73,8277.80
825.67,8394.20
827.60,8437.20
829.53,8525.60
831.47,8613.60
833.40,8724.60
835.33,8835.60
837.26,9020.80
839.18,9219.20
841.11,9369.20
843.04,9596.60
844.96,9645.40
846.89,9529.40
848.81,9255.60
850.73,8850.80
852.65,8348.40
854.57,7915.60
856.49,7585.40
858.41,7398.80
860.33,7396.00
862.24,7485.00
864.16,7697.40
866.07,7825.40
867.99,7963.80
869.90,8024.20
871.81,8034.00
873.72,8004.00
875.63,7911.60
877.54,7890.20
879.44,7876.60
881.35,8029.40
883.26,8175.00
885.16,8503.00
887.06,8887.40
888.97,9218.20
890.87,9356.60
892.77,9360.20
894.67,9109.60
896.57,8720.60
898.46,8185.60
900.36,7593.00
902.26,7064.80
904.15,6624.60
906.04,6254.20
907.94,6007.40
909.83,5802.40
911.72,5682.40
913.61,5552.00
915.50,5497.00
917.38,5427.40
919.27,5341.40
921.16,5291.00
923.04,5230.20
924.92,5200.40
926.81,5177.20
928.69,5158.60
930.57,5184.80
932.45,5219.00
934.33,5219.80
936.20,5239.60
938.08,5212.80
939.96,5188.20
941.83,5215.40
943.71,5252.60
945.58,5365.20
947.45,5537.20
949.32,5688.40
951.19,5865.20
953.06,5984.20
954.93,6025.00
956.79,6010.40
958.66,5963.20
960.52,5895.80
962.39,5903.20
964.25,5899.60
966.11,5904.00
967.97,5919.60
969.83,5962.20
971.69,5941.80
973.55,5933.60
975.41,5933.60
977.26,5827.00
979.12,5716.60
980.97,5616.40
982.82,5574.40
984.68,5492.80
986.53,5414.00
988.38,5417.00
990.23,5412.80
992.07,5475.20
993.92,5545.80
995.77,5625.40
997.61,5730.00
999.46,5862.00
1001.30,5969.80
1003.14,6098.20
1004.98,6226.20
1006.82,6347.80
1008.66,6545.60
1010.50,6691.80
1012.34,6857.20
1014.17,7024.60
1016.01,7223.80
1017.84,7432.20
1019.68,7740.80
1021.51,8062.80
1023.34,8440.80
1025.17,8958.80
1027.00,9378.80
1028.83,9842.40
1030.65,10168.60
1032.48,10424.40
1034.31,10495.00
1036.13,10496.60
1037.95,10493.00
1039.77,10385.60
1041.60,10278.20
1043.42,10155.80
1045.24,10114.40
1047.05,10192.20
1048.87,10281.40
1050.69,10445.40
1052.50,10771.40
1054.32,11049.40
1056.13,11442.40
1057.94,11690.60
1059.75,11724.80
1061.56,11760.80
1063.37,11623.60
1065.18,11418.60
1066.99,11133.40
1068.80,10899.60
1070.60,10725.60
1072.41,10615.60
1074.21,10521.20
1076.01,10376.00
1077.81,10159.20
1079.61,9940.40
1081.41,9620.60
1083.21,9222.20
1085.01,8910.20
1086.81,8533.60
1088.60,8174.40
1090.40,7873.80
1092.19,7554.80
1093.98,7268.40
1095.77,6991.00
1097.56,6660.60
1099.35,6367.40
1101.14,6054.40
1102.93,5794.60
1104.72,5490.20
1106.50,5221.20
1108.29,5006.20
1110.07,4847.20
1111.85,4659.00
1113.63,4596.40
1115.41,4552.80
1117.19,4533.00
1118.97,4591.80
1120.75,4718.40
1122.53,4874.60
1124.30,5146.60
1126.08,5527.80
1127.85,5970.20
1129.62,6493.20
1131.39,6884.20
1133.17,7221.00
1134.93,7499.60
1136.70,7559.40
1138.47,7574.00
1140.24,7588.20
1142.00,7534.60
1143.77,7479.20
1145.53,7512.80
1147.29,7604.40
1149.06,7667.80
1150.82,7851.60
1152.58,8098.40
1154.34,8325.80
1156.09,8627.20
1157.85,8769.60
1159.61,8879.40
1161.36,8827.40
1163.11,8561.60
1164.87,8223.40
1166.62,7760.60
1168.37,7325.00
1170.12,6881.40
1171.87,6576.80
1173.62,6268.20
1175.36,6058.40
1177.11,5837.60
1178.85,5722.80
1180.60,5598.80
1182.34,5494.20
1184.08,5383.80
1185.82,5269.00
1187.56,5144.60
1189.30,5057.40
1191.04,4987.00
1192.78,4910.80
1194.51,4865.00
1196.25,4836.80
1197.98,4852.00
1199.71,4854.60
1201.45,4885.60
1203.18,4905.20
1204.91,4899.20
1206.64,4923.80
1208.36,4942.00
1210.09,4950.00
1211.82,4971.60
1213.54,4966.00
1215.27,4972.80
1216.99,4969.00
1218.71,4975.00
1220.43,5014.00
1222.15,5018.00
1223.87,5060.40
1225.59,5137.20
1227.31,5251.80
1229.02,5302.20
1230.74,5396.00
1232.45,5480.20
1234.16,5520.80
1235.88,5624.60
1237.59,5728.80
1239.30,5831.40
1241.01,5974.20
1242.71,6123.00
1244.42,6236.20
1246.13,6414.00
1247.83,6636.00
1249.54,6866.40
1251.24,7076.60
1252.94,7258.00
1254.64,7434.20
1256.34,7543.40
1258.04,7684.40
1259.74,7875.60
1261.44,8055.40
1263.13,8162.60
1264.83,8296.00
1266.52,8412.40
1268.22,8427.40
1269.91,8525.00
1271.60,8490.40
1273.29,8519.20
1274.98,8514.80
