ENLIGHTEN Version,1.7.2
Measurement ID,20190905-090333-468782-WP-00340
Serial Number,WP-00340
Label,HDPE-2
Integration Time,500
Timestamp,2019-09-05 09:03:33.468782
Note,
Temperature,10.010854111966182
CCD C0,801.7174072265625
CCD C1,0.14122000336647034
CCD C2,-5.609700110653648e-06
CCD C3,-8.541699791919655e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785
Laser Enable,True
Laser Power,100
Laser Temperature,0
Pixel Count,1024

Pixel,Wavelength,Wavenumber,Processed
0,801.72,265.63,213.00
1,801.86,267.83,227.00
2,802.00,270.02,315.00
3,802.14,272.22,372.00
4,802.28,274.41,502.00
5,802.42,276.60,622.00
6,802.56,278.80,793.00
7,802.71,280.99,1050.00
8,802.85,283.18,1272.00
9,802.99,285.37,1571.00
10,803.13,287.55,1937.00
11,803.27,289.74,2277.00
12,803.41,291.93,2656.00
13,803.55,294.11,2977.00
14,803.69,296.30,3245.00
15,803.83,298.48,3524.00
16,803.98,300.66,3687.00
17,804.12,302.84,3834.00
18,804.26,305.02,3905.00
19,804.40,307.20,3946.00
20,804.54,309.38,4008.00
21,804.68,311.56,4010.00
22,804.82,313.74,4054.00
23,804.96,315.91,4019.00
24,805.10,318.09,3980.00
25,805.24,320.26,4107.00
26,805.39,322.43,4025.00
27,805.53,324.61,4069.00
28,805.67,326.78,4128.00
29,805.81,328.95,4140.00
30,805.95,331.12,4153.00
31,806.09,333.28,4197.00
32,806.23,335.45,4170.00
33,806.37,337.62,4160.00
34,806.51,339.78,4229.00
35,806.65,341.95,4210.00
36,806.79,344.11,4223.00
37,806.93,346.27,4191.00
38,807.08,348.43,4269.00
39,807.22,350.59,4256.00
40,807.36,352.75,4254.00
41,807.50,354.91,4254.00
42,807.64,357.07,4244.00
43,807.78,359.23,4233.00
44,807.92,361.38,4216.00
45,808.06,363.54,4210.00
46,808.20,365.69,4200.00
47,808.34,367.84,4160.00
48,808.48,370.00,4250.00
49,808.62,372.15,4252.00
50,808.76,374.30,4256.00
51,808.90,376.45,4282.00
52,809.04,378.59,4236.00
53,809.19,380.74,4274.00
54,809.33,382.89,4244.00
55,809.47,385.03,4229.00
56,809.61,387.18,4277.00
57,809.75,389.32,4330.00
58,809.89,391.46,4303.00
59,810.03,393.60,4303.00
60,810.17,395.74,4353.00
61,810.31,397.88,4328.00
62,810.45,400.02,4377.00
63,810.59,402.16,4356.00
64,810.73,404.29,4409.00
65,810.87,406.43,4366.00
66,811.01,408.57,4305.00
67,811.15,410.70,4332.00
68,811.29,412.83,4355.00
69,811.43,414.96,4385.00
70,811.57,417.09,4326.00
71,811.71,419.22,4288.00
72,811.85,421.35,4316.00
73,811.99,423.48,4362.00
74,812.13,425.61,4313.00
75,812.27,427.73,4336.00
76,812.41,429.86,4329.00
77,812.55,431.98,4318.00
78,812.69,434.11,4345.00
79,812.83,436.23,4261.00
80,812.97,438.35,4311.00
81,813.11,440.47,4328.00
82,813.26,442.59,4358.00
83,813.40,444.71,4361.00
84,813.54,446.82,4368.00
85,813.68,448.94,4340.00
86,813.82,451.05,4373.00
87,813.96,453.17,4339.00
88,814.10,455.28,4433.00
89,814.24,457.39,4322.00
90,814.38,459.51,4376.00
91,814.52,461.62,4415.00
92,814.66,463.73,4405.00
93,814.80,465.83,4409.00
94,814.94,467.94,4402.00
95,815.08,470.05,4433.00
96,815.22,472.15,4429.00
97,815.36,474.26,4444.00
98,815.50,476.36,4409.00
99,815.63,478.47,4476.00
100,815.77,480.57,4425.00
101,815.91,482.67,4415.00
102,816.05,484.77,4463.00
103,816.19,486.87,4446.00
104,816.33,488.97,4476.00
105,816.47,491.06,4451.00
106,816.61,493.16,4423.00
107,816.75,495.25,4442.00
108,816.89,497.35,4482.00
109,817.03,499.44,4446.00
110,817.17,501.53,4381.00
111,817.31,503.62,4336.00
112,817.45,505.71,4362.00
113,817.59,507.80,4366.00
114,817.73,509.89,4373.00
115,817.87,511.98,4391.00
116,818.01,514.07,4400.00
117,818.15,516.15,4385.00
118,818.29,518.24,4332.00
119,818.43,520.32,4377.00
120,818.57,522.40,4377.00
121,818.71,524.48,4446.00
122,818.85,526.56,4356.00
123,818.99,528.64,4385.00
124,819.13,530.72,4372.00
125,819.27,532.80,4386.00
