ENLIGHTEN Version,1.7.2
Measurement ID,20190905-090225-268495-WP-00340
Serial Number,WP-00340
Label,09:02:25 WP-00340
Integration Time,500
Timestamp,2019-09-05 09:02:25.268495
Note,
Temperature,10.010854111966182
CCD C0,801.7174072265625
CCD C1,0.14122000336647034
CCD C2,-5.609700110653648e-06
CCD C3,-8.541699791919655e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785
Laser Enable,True
Laser Power,100
Laser Temperature,0
Pixel Count,1024

Pixel,Wavelength,Wavenumber,Processed
0,801.72,265.63,93.00
1,801.86,267.83,106.00
2,802.00,270.02,154.00
3,802.14,272.22,189.00
4,802.28,274.41,246.00
5,802.42,276.60,285.00
6,802.56,278.80,392.00
7,802.71,280.99,506.00
8,802.85,283.18,648.00
9,802.99,285.37,786.00
10,803.13,287.55,943.00
11,803.27,289.74,1122.00
12,803.41,291.93,1292.00
13,803.55,294.11,1456.00
14,803.69,296.30,1627.00
15,803.83,298.48,1748.00
16,803.98,300.66,1821.00
17,804.12,302.84,1926.00
18,804.26,305.02,1965.00
19,804.40,307.20,2038.00
20,804.54,309.38,2037.00
21,804.68,311.56,2024.00
22,804.82,313.74,2059.00
23,804.96,315.91,2032.00
24,805.10,318.09,2028.00
25,805.24,320.26,2026.00
26,805.39,322.43,2089.00
27,805.53,324.61,2058.00
28,805.67,326.78,2054.00
29,805.81,328.95,2076.00
30,805.95,331.12,2099.00
31,806.09,333.28,2106.00
32,806.23,335.45,2076.00
33,806.37,337.62,2137.00
34,806.51,339.78,2123.00
35,806.65,341.95,2119.00
36,806.79,344.11,2115.00
37,806.93,346.27,2116.00
38,807.08,348.43,2106.00
39,807.22,350.59,2108.00
40,807.36,352.75,2120.00
41,807.50,354.91,2136.00
42,807.64,357.07,2136.00
43,807.78,359.23,2135.00
44,807.92,361.38,2146.00
45,808.06,363.54,2130.00
46,808.20,365.69,2134.00
47,808.34,367.84,2136.00
48,808.48,370.00,2130.00
49,808.62,372.15,2147.00
50,808.76,374.30,2159.00
51,808.90,376.45,2126.00
52,809.04,378.59,2144.00
53,809.19,380.74,2119.00
54,809.33,382.89,2144.00
55,809.47,385.03,2174.00
56,809.61,387.18,2165.00
57,809.75,389.32,2167.00
58,809.89,391.46,2199.00
59,810.03,393.60,2177.00
60,810.17,395.74,2201.00
61,810.31,397.88,2230.00
62,810.45,400.02,2229.00
63,810.59,402.16,2199.00
64,810.73,404.29,2227.00
65,810.87,406.43,2225.00
66,811.01,408.57,2198.00
67,811.15,410.70,2210.00
68,811.29,412.83,2213.00
69,811.43,414.96,2165.00
70,811.57,417.09,2187.00
71,811.71,419.22,2197.00
72,811.85,421.35,2199.00
73,811.99,423.48,2209.00
74,812.13,425.61,2181.00
75,812.27,427.73,2184.00
76,812.41,429.86,2146.00
77,812.55,431.98,2161.00
78,812.69,434.11,2110.00
79,812.83,436.23,2184.00
80,812.97,438.35,2165.00
81,813.11,440.47,2148.00
82,813.26,442.59,2161.00
83,813.40,444.71,2197.00
84,813.54,446.82,2198.00
85,813.68,448.94,2188.00
86,813.82,451.05,2127.00
87,813.96,453.17,2157.00
88,814.10,455.28,2203.00
89,814.24,457.39,2153.00
90,814.38,459.51,2210.00
91,814.52,461.62,2211.00
92,814.66,463.73,2199.00
