ENLIGHTEN Version,1.7.2
Measurement ID,20190716-203641-260584-WP-00340
Serial Number,WP-00340
Label,Ibuprofen
Integration Time,500
Timestamp,2019-07-16 20:36:41.260584
Note,
Temperature,-99
CCD C0,801.7174072265625
CCD C1,0.14122000336647034
CCD C2,-5.609700110653648e-06
CCD C3,-8.541699791919655e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
265.63,433.80
267.83,502.60
270.02,575.60
272.22,679.60
274.41,817.60
276.60,984.20
278.80,1208.00
280.99,1487.80
283.18,1795.40
285.37,2192.20
287.55,2611.40
289.74,3063.80
291.93,3594.00
294.11,4167.40
296.30,4811.20
298.48,5565.00
300.66,6336.60
302.84,7008.60
305.02,7416.20
307.20,7556.60
309.38,7413.00
311.56,7045.60
313.74,6566.20
315.91,6118.40
318.09,5922.80
320.26,5800.40
322.43,5824.00
324.61,5925.80
326.78,5969.40
328.95,5981.80
331.12,5993.80
333.28,5855.60
335.45,5736.00
337.62,5666.40
339.78,5610.00
341.95,5648.40
344.11,5812.00
346.27,6088.40
348.43,6483.40
350.59,6975.20
352.75,7541.80
354.91,8046.60
357.07,8170.20
359.23,8294.00
361.38,7990.20
363.54,7358.60
365.69,6737.20
367.84,6147.80
370.00,5705.00
372.15,5561.20
374.30,5559.40
376.45,5648.40
378.59,5768.80
380.74,5865.60
382.89,5901.60
385.03,5776.80
387.18,5622.40
389.32,5445.20
391.46,5266.40
393.60,5147.80
395.74,5100.80
397.88,5134.00
400.02,5187.20
402.16,5318.40
404.29,5605.80
406.43,6108.20
408.57,6787.60
410.70,7775.60
412.83,8951.40
414.96,10088.40
417.09,10837.80
419.22,10992.40
421.35,10740.20
423.48,10064.60
425.61,9332.60
427.73,8736.60
429.86,8318.40
431.98,7967.60
434.11,7526.00
436.23,7001.80
438.35,6445.80
440.47,5907.60
442.59,5454.20
444.71,5131.40
446.82,4882.80
448.94,4741.80
451.05,4598.80
453.17,4528.00
455.28,4449.20
457.39,4394.60
459.51,4367.80
