ENLIGHTEN Version,1.7.2
Measurement ID,20190905-085852-545160-WP-00340
Serial Number,WP-00340
Label,Ibuprofen-NoBaseline-2
Integration Time,400
Timestamp,2019-09-05 08:58:52.545160
Note,
Temperature,10.027889651658995
CCD C0,801.7174072265625
CCD C1,0.14122000336647034
CCD C2,-5.609700110653648e-06
CCD C3,-8.541699791919655e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785
Laser Enable,True
Laser Power,100
Laser Temperature,0
Pixel Count,1024

Pixel,Wavelength,Wavenumber,Processed
0,801.72,265.63,156.00
1,801.86,267.83,177.00
2,802.00,270.02,203.00
3,802.14,272.22,236.00
4,802.28,274.41,270.00
5,802.42,276.60,315.00
6,802.56,278.80,395.00
7,802.71,280.99,480.00
8,802.85,283.18,569.00
9,802.99,285.37,685.00
10,803.13,287.55,771.00
11,803.27,289.74,904.00
12,803.41,291.93,1151.00
13,803.55,294.11,1337.00
14,803.69,296.30,1551.00
15,803.83,298.48,1840.00
16,803.98,300.66,2171.00
17,804.12,302.84,2451.00
18,804.26,305.02,2730.00
19,804.40,307.20,2804.00
20,804.54,309.38,2724.00
21,804.68,311.56,2517.00
22,804.82,313.74,2227.00
23,804.96,315.91,2050.00
24,805.10,318.09,1857.00
25,805.24,320.26,1859.00
26,805.39,322.43,1779.00
27,805.53,324.61,1843.00
28,805.67,326.78,1782.00
29,805.81,328.95,1794.00
30,805.95,331.12,1807.00
31,806.09,333.28,1792.00
32,806.23,335.45,1714.00
33,806.37,337.62,1596.00
34,806.51,339.78,1563.00
35,806.65,341.95,1651.00
36,806.79,344.11,1703.00
37,806.93,346.27,1790.00
38,807.08,348.43,2056.00
39,807.22,350.59,2199.00
40,807.36,352.75,2511.00
41,807.50,354.91,2711.00
42,807.64,357.07,2819.00
43,807.78,359.23,2927.00
44,807.92,361.38,2743.00
45,808.06,363.54,2488.00
46,808.20,365.69,2142.00
47,808.34,367.84,1783.00
48,808.48,370.00,1665.00
49,808.62,372.15,1537.00
50,808.76,374.30,1558.00
51,808.90,376.45,1539.00
52,809.04,378.59,1592.00
53,809.19,380.74,1644.00
54,809.33,382.89,1601.00
55,809.47,385.03,1596.00
56,809.61,387.18,1383.00
57,809.75,389.32,1382.00
58,809.89,391.46,1250.00
59,810.03,393.60,1242.00
60,810.17,395.74,1168.00
61,810.31,397.88,1119.00
62,810.45,400.02,1208.00
63,810.59,402.16,1187.00
64,810.73,404.29,1385.00
65,810.87,406.43,1617.00
66,811.01,408.57,1935.00
67,811.15,410.70,2401.00
68,811.29,412.83,2996.00
69,811.43,414.96,3581.00
70,811.57,417.09,3981.00
71,811.71,419.22,4105.00
72,811.85,421.35,3934.00
73,811.99,423.48,3610.00
74,812.13,425.61,3228.00
75,812.27,427.73,2945.00
76,812.41,429.86,2703.00
77,812.55,431.98,2595.00
78,812.69,434.11,2254.00
79,812.83,436.23,2043.00
80,812.97,438.35,1731.00
81,813.11,440.47,1482.00
82,813.26,442.59,1240.00
83,813.40,444.71,1061.00
84,813.54,446.82,917.00
85,813.68,448.94,842.00
86,813.82,451.05,797.00
87,813.96,453.17,769.00
88,814.10,455.28,658.00
89,814.24,457.39,696.00
90,814.38,459.51,652.00
91,814.52,461.62,664.00
92,814.66,463.73,624.00
93,814.80,465.83,704.00
94,814.94,467.94,655.00
95,815.08,470.05,683.00
96,815.22,472.15,691.00
97,815.36,474.26,677.00
98,815.50,476.36,757.00
99,815.63,478.47,731.00
100,815.77,480.57,783.00
101,815.91,482.67,831.00
102,816.05,484.77,962.00
103,816.19,486.87,1160.00
104,816.33,488.97,1385.00
105,816.47,491.06,1556.00
106,816.61,493.16,1879.00
107,816.75,495.25,1901.00
108,816.89,497.35,2004.00
109,817.03,499.44,1972.00
110,817.17,501.53,1735.00
111,817.31,503.62,1613.00
112,817.45,505.71,1528.00
113,817.59,507.80,1532.00
114,817.73,509.89,1661.00
115,817.87,511.98,1820.00
116,818.01,514.07,1739.00
117,818.15,516.15,1714.00
