ENLIGHTEN Version,1.7.2
Measurement ID,20190905-085556-691922-WP-00340
Serial Number,WP-00340
Label,08:55:56 WP-00340
Integration Time,650
Timestamp,2019-09-05 08:55:56.691922
Note,
Temperature,10.04492359135179
CCD C0,801.7174072265625
CCD C1,0.14122000336647034
CCD C2,-5.609700110653648e-06
CCD C3,-8.541699791919655e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785
Laser Enable,True
Laser Power,100
Laser Temperature,0
Pixel Count,1024

Pixel,Wavelength,Wavenumber,Processed
0,801.72,265.63,293.00
1,801.86,267.83,388.00
2,802.00,270.02,417.00
3,802.14,272.22,491.00
4,802.28,274.41,561.00
5,802.42,276.60,672.00
6,802.56,278.80,775.00
7,802.71,280.99,929.00
8,802.85,283.18,1132.00
9,802.99,285.37,1330.00
10,803.13,287.55,1520.00
11,803.27,289.74,1849.00
12,803.41,291.93,2184.00
13,803.55,294.11,2648.00
14,803.69,296.30,3138.00
15,803.83,298.48,3719.00
16,803.98,300.66,4509.00
17,804.12,302.84,5085.00
18,804.26,305.02,5545.00
19,804.40,307.20,5724.00
20,804.54,309.38,5551.00
21,804.68,311.56,5046.00
22,804.82,313.74,4520.00
23,804.96,315.91,4056.00
24,805.10,318.09,3695.00
25,805.24,320.26,3491.00
26,805.39,322.43,3521.00
27,805.53,324.61,3643.00
28,805.67,326.78,3641.00
29,805.81,328.95,3589.00
30,805.95,331.12,3537.00
31,806.09,333.28,3517.00
32,806.23,335.45,3329.00
33,806.37,337.62,3105.00
34,806.51,339.78,3025.00
35,806.65,341.95,3103.00
36,806.79,344.11,3228.00
37,806.93,346.27,3523.00
38,807.08,348.43,3860.00
39,807.22,350.59,4558.00
40,807.36,352.75,5089.00
41,807.50,354.91,5553.00
42,807.64,357.07,5685.00
43,807.78,359.23,5815.00
44,807.92,361.38,5485.00
45,808.06,363.54,4863.00
46,808.20,365.69,4185.00
47,808.34,367.84,3533.00
48,808.48,370.00,3109.00
49,808.62,372.15,2796.00
50,808.76,374.30,2777.00
51,808.90,376.45,2898.00
52,809.04,378.59,3101.00
53,809.19,380.74,3087.00
54,809.33,382.89,3168.00
55,809.47,385.03,3023.00
56,809.61,387.18,2752.00
57,809.75,389.32,2439.00
58,809.89,391.46,2344.00
59,810.03,393.60,2214.00
60,810.17,395.74,2178.00
61,810.31,397.88,2036.00
62,810.45,400.02,2084.00
